{'短评内容': '我的苹果充电器，忘在房间，11月22号打电话确认有在，今天过来拿就找不见了。这算怎么回事！？', '短评打分': 3}
{'短评内容': '房间不大 但住一个晚上还是很不错的 干净卫生 便宜 隔音效果比较不好 但是性价比还是很高了', '短评打分': 4}
{'短评内容': '有的房间电视是坏的啊 平时检修一下啊 还有希望wifi能普及一下 里面的房间网很差', '短评打分': 5}
{'短评内容': '如果房间里两瓶免费冰露能继续送就好了', '短评打分': 5}
{'短评内容': '挺方便的 楼下有吃有喝 房间很小 空调不错', '短评打分': 5}
{'短评内容': '洗漱自备', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '好好KKK路来咯都哈Ctrl哦', '短评打分': 5}
{'短评内容': '除了信号差其他都很不错~', '短评打分': 5}
{'短评内容': '便宜 位置也还好', '短评打分': 5}
{'短评内容': '价格实惠，房间不大，比较简洁，洗漱用品要自带', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '还行 房间小了点 布局不太合理', '短评打分': 5}
{'短评内容': '去松江考试，没其他房了，没想到布丁这么差，一个下雨的声音竟让人一夜难睡', '短评打分': 2}
{'短评内容': '预定了一间大床一间双人，总体还可以，比较小的，经济实惠型的，距离方便。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '就是位置有点偏，其它还好', '短评打分': 4}
{'短评内容': '房间很小，环境也不是很好', '短评打分': 3}
{'短评内容': '地理位置可以 希望下次可以改进隔音卫生等问题', '短评打分': 5}
{'短评内容': '可以不错还行希望还能住', '短评打分': 5}
{'短评内容': '房间比较小，位置也稍微偏僻一点。但是装修挺可爱的，是活力的橙色。工作人员的服务也不是盖的， the best service。', '短评打分': 3}
