{'短评内容': '早餐很丰富', '短评打分': 5}
{'短评内容': '房间大，有单独的沙发，厕所空间大', '短评打分': 5}
{'短评内容': '非常不错，下次还会入住', '短评打分': 5}
{'短评内容': '很好————————————————————————-/—/——///////////////////', '短评打分': 5}
{'短评内容': '位置很方便，周边配套不足，两公里外有万达广场', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '给别人的订环境还是不错滴', '短评打分': 5}
{'短评内容': '服务快很贴心，取消订单后再重新下单。', '短评打分': 5}
{'短评内容': '服务快，跟贴心，取消订单再重新预订。', '短评打分': 5}
{'短评内容': '挺满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错。。。。。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行吧，就是偏僻了些。', '短评打分': 5}
{'短评内容': '网上便宜，大堂太贵，为什么在酒店大堂不可以网上预定呢？', '短评打分': 5}
{'短评内容': '四星级标准，停车方便有地下停车场，酒店有ATM机。的士不多，但是可以滴滴出行。', '短评打分': 4}
{'短评内容': '朋友住了挺满意的，觉得床睡得舒服，洗澡用水也得大很热。', '短评打分': 4}
{'短评内容': '房间干净，服务还行，说的优惠券不知道怎么拿', '短评打分': 4}
{'短评内容': '靠近又方便些，万达广场18号开业后都较方便，价格也合适就常订这家戴斯酒店安排客人。', '短评打分': 4}
{'短评内容': '性价比高的最近五星酒店，非常满意！下次还来住。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '环境卫生管理体制都不错', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
