{'descr': '还行吧，不过酒店准备的洗发水太不行了，一点沫都没有。', 'star': 5}
{'descr': '酒店卫生还不错', 'star': 3}
{'descr': '酒店卫生还不错', 'star': 3}
{'descr': '环境还可以，好像是在个小区里，比较安静。附近吃饭的地方比较少，有线电视大约有30~40个台，网速不是很快。对于要求不太高的还行。', 'star': 5}
{'descr': '环境还可以，好像是在个小区里，比较安静。附近吃饭的地方比较少，有线电视大约有30~40个台，网速不是很快。对于要求不太高的还行。', 'star': 5}
{'descr': '房间小，一点没有如家什么的好，而且前台大姐服务极差，以后肯定不会入住', 'star': 1}
{'descr': '房间小，一点没有如家什么的好，而且前台大姐服务极差，以后肯定不会入住', 'star': 1}
{'descr': '挺干净的，住的榻榻米，就是交通不太便利，开车门口小区跟学校太容易堵了！', 'star': 5}
{'descr': '挺干净的，住的榻榻米，就是交通不太便利，开车门口小区跟学校太容易堵了！', 'star': 5}
{'descr': '房间和网上照片一样，就是隔音一般，卫生可以，性价比挺高的\n', 'star': 3}
{'descr': '房间和网上照片一样，就是隔音一般，卫生可以，性价比挺高的\n', 'star': 3}
{'descr': '开心假日不错', 'star': 3}
{'descr': '开心假日不错', 'star': 3}
{'descr': '房建比较舒适，价格合理。位置较好，性价比高', 'star': 5}
{'descr': '房建比较舒适，价格合理。位置较好，性价比高', 'star': 5}
{'descr': '和照片一样', 'star': 3}
{'descr': '和照片一样', 'star': 3}
