{'短评内容': '出差可以住下', '短评打分': 4}
{'短评内容': '好像没早餐，服务员态度很好，酒店位置好极了。', '短评打分': 5}
{'短评内容': '服务很好，早餐实惠，卫生干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，挺好的', '短评打分': 5}
{'短评内容': '房间挺好的 推荐入住', '短评打分': 5}
{'短评内容': '住了很多次了，还是一如既往的好', '短评打分': 5}
{'短评内容': '东西不错，是正品，物流很快', '短评打分': 5}
{'短评内容': '房间电话不能用，连总台都联系不上。汗', '短评打分': 4}
{'短评内容': '连锁酒店还是不错的，对的起这价位', '短评打分': 5}
{'短评内容': '连锁酒店还是不错的，对的起这价位', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通便利，就是红旗路施工，有点吵。总体满意！', '短评打分': 5}
{'短评内容': '房间窗户小，不通风，开了空调冷气', '短评打分': 5}
{'短评内容': '附近交通出行，吃饭购物都很方便，床蛮大的，房间干净整洁', '短评打分': 5}
{'短评内容': '这个价格还过得去', '短评打分': 4}
{'短评内容': '将就住', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间大，处于闹市区，吃饭游玩方便', '短评打分': 5}
{'短评内容': '很好很不错，干净整洁，房间有点小，字数字数，字数，字数', '短评打分': 5}
{'短评内容': '基本还不错，就是出于闹区，隔音不是很好，稍微吵了些', '短评打分': 5}
{'短评内容': '订的标间~感觉不错 空间大小足够了~ 之前网上看评价~ 说是在市区的 比较吵  所以刚开始就和前台说了让帮忙安排稍微安静点的房间，前台也照做了~这点很好~满足客户需求哈 、我们房间里的电视机有时有声音有时没声音的。第一次住莫泰 总体满意~  下次还会考虑住的', '短评打分': 5}
{'短评内容': '酒店还不错，服务也还可以，就是停车的地方太小了', '短评打分': 5}
{'短评内容': '湖州市中心最经济实惠的连锁酒店，环境卫生，交通便利，最突出的特点是所处地区热闹繁华，娱乐休闲设施一应俱全', '短评打分': 5}
{'短评内容': '帮朋友定的，听说还可以哦、。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地段不错', '短评打分': 3}
{'短评内容': '酒店不错，在闹市区，交通便利，晚上出来玩也不错。', '短评打分': 5}
{'短评内容': '周边还是蛮热闹的，都是商场和吃饭的地方，主要的步行街，很不错哦', '短评打分': 5}
{'短评内容': '闹市当中，去购物地点，过马路就是，方便。就是房间有些旧了', '短评打分': 5}
{'短评内容': '房间不错，在市区很繁华', '短评打分': 3}
{'短评内容': '地理位置非常好，就在湖州市中心，出行很方便。', '短评打分': 5}
{'短评内容': ' 酒店位置不错，卫生就一般般，不过湖州也没有什么好的酒店。', '短评打分': 3}
{'短评内容': '房间比较一般。不过位置很好，去哪里都方便。', '短评打分': 5}
{'短评内容': '很好，就是住在底楼时被虫子咬了两口，那个痛啊\n', '短评打分': 5}
{'短评内容': '地理位置超级好，市中心，出门是步行街，商业百货云集，中华小吃和各种特色一条龙。出门坐车方便，应该是来湖州的首选住处。', '短评打分': 3}
{'短评内容': ' 总的来说还行 就是看着有点旧', '短评打分': 3}
{'短评内容': '环境还可以，也比较干净，主要是地理位置不错，就在市中心，很方便。', '短评打分': 5}
{'短评内容': '酒店卫生真是差，就是地段好一点！！！！！！！', '短评打分': 1}
{'短评内容': '地段就是市中心，非常方便。吃饭购物都有很多选择。', '短评打分': 5}
{'短评内容': '干净温馨', '短评打分': 3}
{'短评内容': '还可以 市中心交通比较方便 退房的速度比较快到时值得表扬的', '短评打分': 5}
{'短评内容': '不错，位置很好，颜色主题不错，爱人很喜欢，就是太忙了点', '短评打分': 5}
{'短评内容': '一直都住的是这里，不要靠街边的一侧房间比较安静，很好。', '短评打分': 3}
{'短评内容': '    还可以   就是通风不是非常理想   其他都可以', '短评打分': 3}
{'短评内容': '住过两次了，在市中心，门口就有张生记和丁莲芳，还不错', '短评打分': 3}
{'短评内容': '酒店在闹市区，有时候会有点吵，因为后面有所小学，但是去哪还是挺方便的，打车极其方便~~~总体还是挺好的~~~', '短评打分': 5}
{'短评内容': '酒店除了位置好之外，其他的一般，五一期间涨价太多，因此就换了', '短评打分': 1}
{'短评内容': '条件一般，位置还不错，隔音效果有点差，前台人员大部分服务态度很好，但是有一两个态度很差，办理入住太慢，等了很久才有人接待', '短评打分': 5}
{'短评内容': '还可以吧就是前台速度有点慢,卫生什么的还不错，价格也实惠', '短评打分': 5}
{'短评内容': '干净，便捷', '短评打分': 3}
{'短评内容': '隔音不太好', '短评打分': 3}
{'短评内容': '在街边，很吵，隔音效果很差，酒店房间小而脏，布局不合理，床不舒服。', '短评打分': 1}
{'短评内容': '地段不错，性价还好，就是隔音很差，停车难，其它都还还好', '短评打分': 3}
{'短评内容': '酒店设施很旧，很一般的旅馆，但是员工的服务态度还是不错的，挺满意的，交通也挺便利。', '短评打分': 1}
{'短评内容': '环境价格合理', '短评打分': 3}
{'短评内容': '比较干净，主的也很舒服，位置也很好，吃喝玩乐都很方便。', '短评打分': 5}
{'短评内容': '酒店房间很干净。不错！^_^', '短评打分': 3}
{'短评内容': '特价房条件比较差，小，床小，隔音效果差，服务人员态度也不好', '短评打分': 1}
{'短评内容': '市中心地带，出行比较方便，床垫稍薄了点，睡的不舒服，其它都很好', '短评打分': 5}
{'短评内容': '地理位置不错，处于湖州市中心，在湖州来说算是不错的经济型酒店了。', '短评打分': 5}
{'短评内容': '优点：地点在湖州很中心的地段。步行3,5分钟就能到丁莲芳吃千张包，王一品买湖笔，诸老大买粽子。 衣裳街历史街区就在背后。晚上出门就很多吃饭的选择。房间比较干净，装修一般。价格合理。\n缺点： 我去的两天隔壁几个房间重新装修，弄得又吵又乱。', '短评打分': 5}
{'短评内容': '不错,值得推荐。', '短评打分': 3}
{'短评内容': '经济，还舒服。', '短评打分': 3}
{'短评内容': '特价房真的烂到家了!!!!!!!!!!!吵死了 千万别住202!!!!!!!!!!下次也不会去!!!!', '短评打分': 1}
{'短评内容': '市中心地带，出行比较方便，床垫稍薄了点，睡的不舒服，其它都很好', '短评打分': 5}
{'短评内容': '在市中心 交通便利 房间内部设施一般 看在地理位置好的份上 勉强值这价', '短评打分': 5}
{'短评内容': '这酒店还不错，价格也蛮实惠的，又干净整洁，感觉很好，下次继续来', '短评打分': 5}
{'短评内容': '适合歇脚的经济去处。', '短评打分': 3}
{'短评内容': '酒店位置最佳！', '短评打分': 3}
{'短评内容': '出差过来住的特价房，160的价格，床真心的小不说，早上起来洗澡还没有热水，很失望', '短评打分': 3}
{'短评内容': '总体感觉还好吧  主要是地理位置好些 算是在市中心了 ', '短评打分': 5}
{'短评内容': '价格适中，环境还不错，位于市中心，交通还算便利', '短评打分': 5}
{'短评内容': '在网上订的特价大床房，很好很满意。客房很干净，虽然在一楼也不是很吵，淋浴蓬头很给力，总之是一次很愉快的住宿。', '短评打分': 3}
{'短评内容': '环境还好,就是服务员服务态度有待改善,我钱包丢了,押金单也丢了,退房时说没有身份证不能退钱,态度不好,最后还好就是登记的时候有扫描的.', '短评打分': 5}
{'短评内容': '设施相对简单,干净安静,推荐!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '除了二楼有点吵之外,其它的还可以,推荐安', '短评打分': 5}
{'短评内容': '这个价位差不多吧，在湖州的话，价格还可以适当下降，因为本身环境不是特别好', '短评打分': 5}
{'短评内容': '房间环境还可以,这里交通放便', '短评打分': 3}
{'短评内容': '隔音太差。交通是便利了，但是也影响到休息了。另外床太短。其他都还好', '短评打分': 5}
{'短评内容': '酒店在市中心，繁华商圈内，交通便利，就是酒店的顾客很多，前台经常排队，办理入住和退房手续', '短评打分': 5}
{'短评内容': '空调给力热水也给力,就是电视太小了。', '短评打分': 3}
{'短评内容': '特价大床房还不错', '短评打分': 3}
{'短评内容': '这家酒店的生意太好了，办理入住和退房的顾客，经常排队办理，要是赶时间的人，建议慎重考虑，我也等了半天，才办理结束，酒店的整体环境和服务都很好，不赶时间的顾客，首选这家店入住', '短评打分': 5}
{'短评内容': '湖州的酒店都不便宜，从性价比上说这家还算不错。', '短评打分': 5}
{'短评内容': '很好，很舒服的', '短评打分': 3}
{'短评内容': '酒店还是蛮干净的 就是电视不是挂璧的 服务一般般', '短评打分': 3}
{'短评内容': '太冷了，盖了三条被子，空调根本不起作用，虽然服务不错，但是空调真的是大问题啊!', '短评打分': 1}
{'短评内容': ' 在市中心 環境不錯 乾淨 就是太吵了', '短评打分': 3}
{'短评内容': '位于市中心，出行方便，但车位有些紧张，定的特价房，基本还可以，就是空调有股异味', '短评打分': 5}
{'短评内容': '隔音效果差,定的是特价房,到店了入住又没有,前台服务人员态度也不是很友好..', '短评打分': 1}
{'短评内容': '感觉比湖州的锦江好', '短评打分': 3}
{'短评内容': '在湖州市中心，交通便利。空调、热水很足。', '短评打分': 5}
{'短评内容': '酒店挺干净，在闹市方便。价格还值，就是停车场太小。总没地方停。', '短评打分': 3}
{'短评内容': '饭店位置好，交通方便，干净卫生。特别是右转不到五十米有两家百年老店，千张包子、馄饨等好吃的东西真多，游玩归来尝美食，真是太惬意了！', '短评打分': 3}
{'短评内容': '不错…特意为了全家洗澡开的，超舒服，老妈赞不绝口啊！', '短评打分': 3}
{'短评内容': '空调力度不够，开了32度还是像23度，但是地段位于市中心，出门便捷', '短评打分': 5}
{'短评内容': '房间很干净，没有异味，不过面积比较小，临街的房间有点吵。', '短评打分': 5}
{'短评内容': '空调噪声太大，而且制热的速度相当之慢。其他么，就是小卡片禁止一下啦。', '短评打分': 5}
{'短评内容': '空调开起来超的很！服务态度也不是很好！\n这里预定的房间都是最差的留给顾客！', '短评打分': 1}
{'短评内容': '大床只有1.5米宽，店的地理位置好', '短评打分': 3}
{'短评内容': '非常吵，附近连买水的便利店都没有，网络万年断线！烂到掉渣！！！', '短评打分': 1}
{'短评内容': '床上被子卫生情况需要改进，靠近马路边上噪音比较大，地理位置比较好。', '短评打分': 1}
{'短评内容': '位置不错。服务不错。就是对于这个价格。有点。。。', '短评打分': 5}
{'短评内容': '在市中心，比较热闹，宾馆装修也不错，很符合我的审美', '短评打分': 5}
{'短评内容': '还可以，就是每天到了晚上的时候，会发的小卡片，影响不好。', '短评打分': 5}
{'短评内容': '一如既往的实惠，只是停车不方便呐~~这年头车越来越多，可车位还是那么几个呀', '短评打分': 5}
{'短评内容': '位置佳，住过好几次了，每次前台都狠热情滴让我办会员。。。', '短评打分': 5}
{'短评内容': '位于湖州闹市区，吃饭逛街都比较方便，交通也很方便', '短评打分': 5}
{'短评内容': '地处闹市区,交通便捷，也比较吵，唾眠不好的不建议入住', '短评打分': 3}
{'短评内容': '该店地段很好，在闹市区，出行很方便。但是房间内的厕所太臭，我入住时已经10月21日了，天气已经凉了，为什么蚊子哪么多？说明该酒店的卫生管理还是得加强。', '短评打分': 1}
{'短评内容': '不错，干净卫生。。。。\n\n住了2次了，值得推荐', '短评打分': 5}
{'短评内容': '该店地段很好，在闹市区，出行很方便，房间很干净、整齐', '短评打分': 5}
{'短评内容': '满意，服务态度好。', '短评打分': 3}
{'短评内容': '不错的，挺好的酒店，今后还是要住的，就是点评要的字太多', '短评打分': 5}
{'短评内容': '位置绝佳，隔音效果不错，性价比高，是很不错的选择', '短评打分': 5}
{'短评内容': '特价房还算干净，整晚下来还是蛮舒服的，就是洗浴用品是三合一的，这个不好，住在房间里并没有其他人评论的说有一股鞋臭味，另外就是，房间里没有衣柜，衣服只能挂在墙上，这个真心不喜欢', '短评打分': 5}
{'短评内容': '房间设备较之前住过的其他莫泰店老旧很多，网络信号极差，浴室置物架松脱。\n便利之处仅限于店址周边比较热闹而已\n望能改进', '短评打分': 1}
{'短评内容': '地理位置很好，服务很好，安全卫生各方面都挺好的，就是价格有点高啊', '短评打分': 5}
{'短评内容': '地处湖州市中心地段，对面就是繁华的爱山广场，非常方便。', '短评打分': 5}
{'短评内容': '住过多次了，感觉不错！下次来还是会选择这里，交通方便，购物也很方便！', '短评打分': 5}
{'短评内容': '一进房间就有一股地毯的霉味，价格也有点对不起这个价格，但总体还算是干净', '短评打分': 3}
{'短评内容': '还不错 就是吵闹了点  还有就是给我的房间小了点  在拐角住  ', '短评打分': 5}
{'短评内容': '早上服务员打扫声音太大', '短评打分': 3}
{'短评内容': '离中心医院很近，非常方便，价格也合适，就是有点小', '短评打分': 5}
{'短评内容': '总体感觉还可以，性价比较高。潮湿是当地气候原因导致，不可深究。不过在房间里可以看到诸如蚊子、小蛾子等各种小型昆虫。', '短评打分': 5}
{'短评内容': '店处闹市,环境不错,就是房间有股霉味!', '短评打分': 3}
{'短评内容': '位置很好,房间设施等等都不错,很值得推荐.关键整理房间的阿姨的态度都非常好', '短评打分': 5}
{'短评内容': '感觉服务比较差，服务的态度极其不好，房间的卫生间还漏水，但是一次性用具还不错。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置好，周围环境好，房间较大。值得推荐。', '短评打分': 5}
{'短评内容': '一开始给分到5楼，后听说是ELONG介绍来的，给分到一楼，窗户露不全，人感觉有些压抑。不推荐住一楼，其他楼层不太清楚。', '短评打分': 1}
{'短评内容': '地理位置非常好，比一般的经济型酒店要周到，不做的是，房间里的顶装修有点太烂了，应该要补补了吧~', '短评打分': 5}
{'短评内容': '位置很好！在湖州最繁华的地方！房间装修不错，床上用品也还可以！', '短评打分': 5}
{'短评内容': '还行~~就是搞卫生的阿姨不管门口挂的请勿打扰牌都会进来搞卫生~~有点愁人~~', '短评打分': 5}
{'短评内容': '很舒适 位置好', '短评打分': 3}
{'短评内容': 'HENBUGUO WO MEICILAIDOUZHUZAIZHELI XIWANGDAJIALAIZHU', '短评打分': 5}
{'短评内容': '特价房还真是特殊对待，房间吵不说了，连洗澡的淋浴头都是坏的', '短评打分': 1}
{'短评内容': '酒店不错，地理位置很好，通风，服务态度优', '短评打分': 5}
{'短评内容': '酒店在市中心.很干净卫生.被子和枕头象青花瓷花纹,我很喜欢.', '短评打分': 3}
{'短评内容': '位置是挺好的。但是预定的特价大床房只能是一楼的。', '短评打分': 5}
{'短评内容': '还好吧~地理位置不错，环境不错~！！布置和其他地方MOTEL 一样\n', '短评打分': 5}
{'短评内容': '不错，交通方便，吃东西的地方多 字数字数字数字数字数', '短评打分': 5}
{'短评内容': '感觉浴室装修不错,就是提供物品要更全,质量还需提高,比如托鞋,此外洗发水和沐浴露是合在一起的,这点不太能接受\n', '短评打分': 3}
