{'短评内容': '不错   就是有点吵', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，推荐大家来哦', '短评打分': 5}
{'短评内容': '干净，位置好，很舒服', '短评打分': 5}
{'短评内容': '房间干净整洁，设施完善', '短评打分': 5}
{'短评内容': '挺好的。。', '短评打分': 5}
{'短评内容': '怎么说呢，挺好的，不过名字好像有出入，有说是区政府店的也有说是服装城店的，不过好在比较好找，按照地址就可以。', '短评打分': 5}
{'短评内容': '好用', '短评打分': 5}
{'短评内容': '不错很干净  被子也很舒服得劲', '短评打分': 5}
{'短评内容': '酒店挺好，一直都住如家', '短评打分': 5}
{'短评内容': '非常不错   服务员态度挺好', '短评打分': 5}
{'短评内容': '一直都挺不错。', '短评打分': 5}
{'短评内容': 'U我觉得还是不错的，价格也可以', '短评打分': 4}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '不错很好', '短评打分': 5}
{'短评内容': '好…………', '短评打分': 5}
{'短评内容': '一般吧 就是空调一晚上叫一晚上', '短评打分': 4}
{'短评内容': '酒店位置不错，房间虽然不大但干净、温馨，写字桌、台灯、网络一应俱全，而且工作人员服务也很好，态度好、友善可爱，缺点有二：一是电视也太小了，估计和电脑屏幕一样大；二是临街噪音大！ 总体还满意，下次还会考虑入住的！', '短评打分': 5}
{'短评内容': '还可以吧！就那样了，经常来住的', '短评打分': 3}
{'短评内容': '还可以吧？一直住这里。就是那样了。没什么可说的', '短评打分': 3}
{'短评内容': '标志不太明显，不好找', '短评打分': 4}
{'短评内容': '还可以吧！房间挺干净的，一般都住这', '短评打分': 3}
{'短评内容': '服务态度可以，但是房间很小，周围环境还可以，价格就偏高', '短评打分': 5}
{'短评内容': '不错的选择，非常好的酒店。物超所值！前台的服务很热情、周到。这次住宿非常舒心！推荐给大家', '短评打分': 5}
{'短评内容': '房间有小，服务态度可以', '短评打分': 3}
{'短评内容': '不错，干净周围吃饭网吧都挺多的，推荐入住，如家永远都是这么好', '短评打分': 5}
{'短评内容': '这里挺干净，装修很温馨，有院内免费停车场，值得推荐哟', '短评打分': 5}
{'短评内容': '还好还好 第二次入住 房间比第一次好多了 能接受', '短评打分': 5}
{'短评内容': '商务大床房，挺好的', '短评打分': 3}
{'短评内容': '感觉很好,一人住大床间很惬意~服务态度超好', '短评打分': 3}
{'短评内容': '感觉还好 就是房间不大 太压抑了 服务态度不错 ', '短评打分': 5}
{'短评内容': '如家的服务很好，网速也给力!要是有纱窗就好了，不敢开窗户。', '短评打分': 3}
{'短评内容': '＋条件不错，挺满意的', '短评打分': 3}
{'短评内容': '酒店不错，房间很大。经济实惠!', '短评打分': 3}
{'短评内容': '环境还是不错的,房间小点,附近如家就此一家,', '短评打分': 5}
{'短评内容': '酒店位置在汽车站边上，挺方便的。', '短评打分': 3}
{'短评内容': '很好的酒店，地理位置优越交通便利，房间比较宽敞硬件设施良好，服务员热情积极。只是第一天早上有些吵，影响了休息，可能因为我住的房间临街太近了吧。', '短评打分': 5}
{'短评内容': '酒店前台服务周到，服务员态度很好，服务很热情，房间设施干净卫生，整体很满意。', '短评打分': 5}
