{'短评内容': '房间里的拖鞋，一点都不好穿', '短评打分': 4}
{'短评内容': '格调还算喜欢', '短评打分': 5}
{'短评内容': '还不错啊 有停车位', '短评打分': 5}
{'短评内容': '早餐不是很好了', '短评打分': 5}
{'短评内容': '风格不错', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '房间设施差到极点，还没锦江之星这些酒店好。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '外部环境一般，停车免费，房间内天花板漏水，地板翘起来了，有点旧，矿泉15大元一瓶，感觉很一般，不建议去，', '短评打分': 2}
{'短评内容': '环境不错挺干净的', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '超赞的酒店！下高铁就直接来这边了。主要是文艺，靓。', '短评打分': 5}
{'短评内容': '房间设计有文艺气氛！家具公司联合酒店创办。价格合理。楼下有中等价位湘菜馆。干净环境好。停车方便免收费。', '短评打分': 4}
{'短评内容': '房间很有特色，也很大。卫生好，床睡着舒服', '短评打分': 4}
{'短评内容': '非常满意的酒店，还会来住', '短评打分': 5}
