{'短评内容': '还不错的 可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '典型的老北京四合院，很有韵味，中有庭树果实累累，晚上在院里乘凉很惬意。就在南锣鼓巷里，闹中取静，出行方便。早餐稍简但也够吃。', '短评打分': 5}
{'短评内容': '在南锣鼓巷附近，地铁也很方便，对于第一次体验四合院来讲还是非常不错的', '短评打分': 5}
{'短评内容': '酒店在南锣鼓巷商业街，出门逛胡同也方便，离地铁6、7百米的距离，三进四合院，很有老北京的感觉，体验一下还是不错的。酒店老外居多，都很有礼貌，服务员一视同仁，热情周到，看到有人来了，立马出门接下行李。在院子里聊天喝茶挺不错的，但关键北京的旅游一直在赶时间游景点，在酒店里的时间真不多，可惜了！早餐品种不多，但也够吃了，餐厅也是古韵雅致。说下房间，的确小了点，不如星级酒店舒适，双床一米，跟孩子睡，差点被', '短评打分': 5}
{'短评内容': '很好的一家四合院酒店，下次还来', '短评打分': 5}
{'短评内容': '非常有特色的四合院', '短评打分': 5}
{'短评内容': '酒店很好，设施也不错，是地暖。而且服务一级棒，我们天黑我们找不到路，商家还特意派人来接，真心感谢，下次还会再来', '短评打分': 5}
{'短评内容': '一般一般吧', '短评打分': 5}
{'短评内容': '老北京的深秋真是美好，让我想起过去在北京上学的日子', '短评打分': 5}
{'短评内容': '体验老北京四合院，老外很多，坐落南锣鼓巷游玩方便，服务很好，赶飞机起的早酒店给准备好早餐带着。赞', '短评打分': 5}
{'短评内容': '很安静很舒服，交通方便', '短评打分': 4}
{'短评内容': '院内环境挺好的，服务也很周到，很安静舒服', '短评打分': 4}
{'短评内容': '酒店位置很好，设施齐全，服务很好，但是房间太冷了，早餐都是西餐不太好。', '短评打分': 5}
{'短评内容': '位置没得说，就在南锣鼓巷里面的一个胡同里。出酒店门左拐是南锣鼓巷，右拐顺着胡同走十五分钟，是什刹海地铁站，从地铁站旁边走进去就是什刹海，银锭桥、南门涮肉、烟袋斜街就在一起。即住了四合院又体验了北京的胡同。一举多得。前台人员服务好，有礼貌，进出时都会站起来打招呼。四合院打扫的非常干净，进出需要刷卡，安全性没有问题。非常值得推荐！', '短评打分': 5}
{'短评内容': '很有特色的四合院酒店，环境非常好，服务也不错，朋友非常满意，自然很欣慰。下次还会再向来北京旅游，并喜欢回味感受京蕴文化的朋友推荐，在感受北京胡同文化的同时，一同感受了北京四合院文化底蕴，淡然悠闲中品味，不得不说性价比不错。', '短评打分': 5}
{'短评内容': '酒店环境和服务都挺好的。如果在四五月份 住在这个酒店会更舒服，惬意。赏着花，看着古老典型的中国四合院，是种享受。\n', '短评打分': 5}
{'短评内容': '酒店虽然在小巷子里，不过从东鼓楼大街进南锣鼓巷的北口进去还是很近的。特别喜欢这个四合院落的客栈，服务人员都非常的热情，乐于帮助。整个的设计也很有味道，特别是环保概念更让我欣喜。地理位置优越，去哪都方便。早餐也挺丰富的，不愧是大家推荐的一家酒店！', '短评打分': 5}
{'短评内容': '第一次住四合院式的酒店 觉得不错 要是是夏天来就更好了 还能在室外喝喝小茶荡荡秋千什么的 北京人也是很热情 2/2下午德国总理默克尔还来了！交通的话地铁不是很方便 但有公交  酒店的早餐也不错 就是提供的报纸只有英文== 总体来说 我觉得还是家很不错的酒店', '短评打分': 5}
{'短评内容': 'Some waitress (not all) are not friendly, weird.', '短评打分': 5}
{'短评内容': '很有中國胡同四合院的風格特色,\u3000房間整齊, 但灰塵則多了點,要多清潔. 房間較細, 沒有地方放行李, 但浴室面積比例則較大. 此外, 酒店比較難找, 到達附近也沒有顯眼的指示，建議多加顯眼路牌指示！\u3000早餐輕便簡單！\u3000不得不讚兩隻可愛的哈奇犬, 充作親善大使, 令旅館加分.', '短评打分': 5}
{'短评内容': '院子设计的很漂亮，服务也热情，房间收拾的很干净，整体感觉很不错。', '短评打分': 5}
{'短评内容': '服务很周到，房间很舒适，网速也很快，位置也不错，值得推荐。', '短评打分': 5}
{'短评内容': '挺好的 ，很有中国特色，尤其是在北京能在这种地方不用人挤人的，也是种享受了', '短评打分': 3}
{'短评内容': '+挺好', '短评打分': 5}
{'短评内容': '客栈在胡同里，安静舒服，非常喜欢这种风格。', '短评打分': 5}
{'短评内容': '来北京旅行的话可以考虑入住，酒店位置很好，酒店位于南锣鼓巷市中心地带，去景区很近，老北京四合院式的酒店，性价比也比较合理，值得推荐入住。', '短评打分': 5}
{'短评内容': '以四合院來說,算是乾淨的,但是床墊太薄了,不太舒服.', '短评打分': 5}
{'短评内容': '超级赞的酒店！！ 虽然贵，但很值得！explore 北京胡同最好的住宿点', '短评打分': 3}
{'短评内容': '很好的酒店，位置就在南锣鼓巷靠近北口的地方，出行方便，而且很适合在北京体验生活。酒店设施很好，有地暖，卫生间很大，很干净。住的非常舒服。早餐虽然品种少，可是很精致。所以，以后还要来住。', '短评打分': 5}
{'短评内容': '有句话叫做酒香不怕巷子深，用来形容七号院很贴切。第二次入住，感觉依然很好。推荐朋友入住了，也愿意带家人来享受。几个小年轻把不大的酒店管理得不错！', '短评打分': 5}
{'短评内容': '住了几家四合院 这里感觉最好 服务也很好 前台都是年轻人 非常NICE 餐厅和院子闲坐着已经很舒服 在南锣鼓巷 走路到后海不到10分钟 不过 冬天如果没住过四合院的可能会像我一样觉得冷 跟酒店提出后马上加送了一床被子和一个电暖炉 早餐有服务员现场烹制服务 较为丰富 很有品位的一家酒店 下次来住就不挪窝啦 跟XXZHUANG比不在一个档次 还会再来 强烈推荐', '短评打分': 5}
