{'短评内容': '位置好找，房间大', '短评打分': 5}
{'短评内容': '没有包含早餐', '短评打分': 2}
{'短评内容': '环境，房间还不错，WiFI网络速度慢了点', '短评打分': 5}
{'短评内容': '位置还不错停车较方便，走路到附近景点也很方便', '短评打分': 4}
{'短评内容': '插座没电，吹风机不能用', '短评打分': 3}
{'短评内容': '前台接待服务态度很好，点赞', '短评打分': 5}
{'短评内容': '干净卫生，服务也挺好，早餐能在改善一下，网络再改善一下就更完美了', '短评打分': 5}
{'短评内容': '房间干净不错，一直都住在这里，信赖城市之家', '短评打分': 5}
{'短评内容': '一般般吧！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '适合商务出行', '短评打分': 5}
{'短评内容': '服务好，房间干净！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行、设施有点老了', '短评打分': 4}
{'短评内容': '还行吧，比较经济，隔音比较差', '短评打分': 3}
{'短评内容': '酒店下面是餐厅，设置和其它连锁酒店没什么差别，但性价比高，床头的插座带USB插头，充电很方面。旁边就是路口，交通挺方便的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好，就是房间电视不好还有隔音不好，其他都挺好的', '短评打分': 3}
{'短评内容': '可能我的要求有点高，忍不住吐槽一下，酒店能用好一点的卫生纸，房间都没有餐巾纸 ，希望能改善', '短评打分': 4}
{'短评内容': '很干净  服务态度还行  就是满口亳州方言  最赞的是早餐  服务员很和蔼的和你打招呼 吃的过程中还询问早餐怎么样 好不好吃 能不能吃好  用餐结束后还是很礼貌  ', '短评打分': 5}
{'短评内容': '现在的亳州就是个大工地，尘土飞扬，呼吸不爽，完全没古都的丰采，', '短评打分': 1}
