{'短评内容': '我住时酒店外墙在装修，环境差的一塌糊涂，性价比太差了。仅此一次', '短评打分': 3}
{'短评内容': '房间比想象的好！早餐不是很理想', '短评打分': 5}
{'短评内容': '总体感觉还可以', '短评打分': 4}
{'短评内容': '', '短评打分': 4}
{'短评内容': '环境不错。价格可以', '短评打分': 5}
{'短评内容': '酒店还可以，环境很安静！', '短评打分': 4}
{'短评内容': '酒店位置不错，交通便利，门口就有公交站，而且还是快速公交。早餐还不错。房间面积也挺大的。还配置了电脑。建议可能的话每天送，客人，两瓶矿泉水', '短评打分': 5}
{'短评内容': '还不错，卫生可以，就是停车场是收费的，出去的时候也不是很方便，后门总是锁着，早餐不错，临街的房间有点吵。', '短评打分': 5}
{'短评内容': '交通很方便，周边比较吵杂，设备有点旧', '短评打分': 4}
{'短评内容': '房间很大，价格实惠', '短评打分': 5}
{'短评内容': '酒店设施一般，服务一般，希望改进', '短评打分': 2}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '安静、卫生，服务态度不错，24小时热水', '短评打分': 4}
{'短评内容': '自己餐饮做的很好，不用到外边找饭吃了！位置很超级有BRT公交站', '短评打分': 4}
