{'短评内容': '酒店的服务还行，大晚上的该给送红牛呢，机场过来需要打车的，但是性价比不错的，设施比较老了，不过这价格是行', '短评打分': 4}
{'短评内容': '性价比不错的房子，位置嘛……也还行，打车到机场也就四十块钱，离地铁一号线也不远，周围都是小区啥的，不错', '短评打分': 4}
{'短评内容': '超级大的房间，性价比确实不错，就是早餐……额(⊙o⊙)…(⊙o⊙)…太简单了，不过早餐厅的环境不赖呢', '短评打分': 4}
{'短评内容': '很不错…', '短评打分': 5}
{'短评内容': '还行吧……………………………………………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '还算不错的，出差住的', '短评打分': 4}
{'短评内容': '吃饭要走好远，有、免费送机场的大巴', '短评打分': 5}
{'短评内容': '还可以，有送机场，没接机的', '短评打分': 5}
{'短评内容': '很好，前台服务很ok了，就是吃饭不方便，也没有浴足，明明写的有，有待改进', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '周边环境有点差，房间还好', '短评打分': 4}
{'短评内容': '位置有点偏僻，卫生与早餐还算过得去，设施稍微旧了点。免费接送服务不错，对于赶飞机的旅客还是挺方便的。', '短评打分': 4}
{'短评内容': '晚到了一点就被取消的一个订单，郁闷。', '短评打分': 3}
{'短评内容': '晚到了一点就被取消的一个订单，郁闷。', '短评打分': 3}
{'短评内容': '身份证没带，可惜最终没住上', '短评打分': 5}
