{'短评内容': '早餐还可以，值得推荐', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '适合商务出差。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '有床，位置不错。早餐也很棒。房间设施比较古朴，其他一切还可以，就是修路，找了半天才找到地方。。。。。', '短评打分': 5}
{'短评内容': '周边在修地铁道路不好走，房间设施老旧卫生还可以，热水空调却好，早餐品种不是一般的简单还按酒店的级别还节约了!', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境还可以，就是房间灯光太暗了，没有顶灯。服务态度挺好的，还有早上有免费早餐，早餐挺丰盛的。总体来说还可以', '短评打分': 5}
{'短评内容': '不断超越哦', '短评打分': 5}
{'短评内容': '条件不错哦', '短评打分': 5}
{'短评内容': '不错不错  经常入住', '短评打分': 3}
{'短评内容': '还在修路，位置还好找在大路边，房间有点闷，空气不太流通，卫生一般，灯是坏的，洗澡还漏水，房间不隔音，服务还可以，有待改善', '短评打分': 3}
{'短评内容': '房间设施比较老旧，卫生还是比较干净，周边停车不太方便。其他都还可以！', '短评打分': 3}
{'短评内容': '整个房间的卫生挺好的，就是周围正在整修不太好', '短评打分': 3}
{'短评内容': '在修路，酒店有点老了，但价格便宜，到烟厂办事，住着很方便。', '短评打分': 3}
{'短评内容': '前台的服务很好，很晚入住服务还是good', '短评打分': 5}
{'短评内容': '  一般。', '短评打分': 3}
{'短评内容': '价格有吸引力，位置也还可以。不足之处是早餐单调，不支持刷卡。', '短评打分': 5}
{'短评内容': '+位置方便,服务也行,就是房间旧', '短评打分': 5}
{'短评内容': '卫生打扫的还不错，房间挺干净的，位置也还成，交通挺便利。', '短评打分': 5}
{'短评内容': '第二次入住环境比以前要好', '短评打分': 5}
{'短评内容': ' 挺好', '短评打分': 5}
{'短评内容': '舒适度差了些，卫生还是可以的。', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，出行交通相当方便。这一点我比较满意。因为第一次去那边不太熟悉。', '短评打分': 5}
{'短评内容': '服务还不错，员工这方面挺好的都是很友善的。', '短评打分': 5}
{'短评内容': '酒店也太吝啬了，大热天中央空调下午3点就关了，晚上睡觉跟洗桑拿一样！', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店的不能刷卡，比较麻烦，而且酒店的设施特别的老旧，洗澡的时候水还特别的凉，差点感冒了，以后在也不住了', '短评打分': 1}
{'短评内容': '酒店隔音不好，床有点硬，其他都还不错，房间打扫的挺干净，用餐的服务也挺好的，交通比较方便。', '短评打分': 5}
{'短评内容': '酒店离火车挺近的,交通很方便,但是酒店的餐饮方面不好,餐厅是对外的,所以人比较杂,其他方面也都挺不错的', '短评打分': 5}
{'短评内容': '&lt;font face=&quot;黑体&quot;&gt;Sample Text&lt;/font&gt;&lt;font color=&quot;Red&quot;&gt;Sample Text&lt;/font&gt;&lt;br /&gt;\n真的很差，都不知道怎么会被评的三星，卫生间脏西西的，地漏不知道怎么搞的，洗个澡卫生间一地板的水，就差把马桶给淹了，进都进不去。热水一点都不热，洗的', '短评打分': 1}
