{'descr': '十分满意。', 'star': 5}
{'descr': '来哈尔滨就住在这里', 'star': 5}
{'descr': '卫生真的很好，很暖和舒适，服务态度很不错，出行比较方便', 'star': 5}
{'descr': '服务态度很棒，东北人贼拉子热情啦', 'star': 5}
{'descr': '宾馆非常好', 'star': 5}
{'descr': '挺好的，离中央大街很近，附近吃的也很多，下次去还可以住这里', 'star': 5}
{'descr': '很好，很实惠，省了不少，在京东购物真的很方便', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还可以吧，服务态度一般般吧，嗯，比较满意', 'star': 5}
{'descr': '。。', 'star': 5}
{'descr': '很不错的酒店  位置比较好找', 'star': 5}
{'descr': '不错，前台服务好', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '非常好！', 'star': 5}
{'descr': '服务态度真的是好！人都好好，很热情啊！还有前台小哥好帅啊，哈哈哈……', 'star': 5}
{'descr': '差差差', 'star': 2}
{'descr': '位置很好！地方不错！值得大家一去！', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '周边不好停车，其他还好，房间还算宽敞', 'star': 4}
{'descr': '挺好，宽敞，有窗，就是有点冷，卫生间洗手台上有别人头发有点不舒服，其他的都很好，10楼，不错', 'star': 4}
{'descr': '消音太差', 'star': 4}
{'descr': '酒店硬件环境不错，房间大，干净，交通方便。就是服务不怎么好，WIFI不稳定，只有几个衣架。也没地方晾衣服。牙刷和梳子两个人只给一份。感觉很多时候都要自助服务。不过价钱不贵，觉得还行，以后去哈尔滨可以去。', 'star': 3}
{'descr': '如家的住宿条件挺好的，满意的是下午2点前退房，非常人性化。', 'star': 4}
{'descr': '地段很好，离闹市区很近，房间也都很大，是规模较大的一家如家。服务很好，最好的是酒店有自助餐，还可以点餐送到房间，这个很方便。好评～', 'star': 5}
{'descr': '位置还好，但是前台结账有问题，刷的预授权，后来剩余的钱没有返还到账户上，现在还没给，太黑了，不要去', 'star': 1}
{'descr': '房间宽敞明亮，床大，舒服！电梯门口有旅游、医院、交通等信息便条，非常好！美中不足就是早餐稍微简单了些。', 'star': 5}
{'descr': '没办完事，延期一天回京，多订了一天，加起来住了9天，总体算满意。', 'star': 5}
{'descr': '感觉不错，后面就是小夜市，周边大排档、各类小吃很多，看到旁边有个安丰街公交站点，出行方便。\n旁边还有家二人转小剧场，晚上在楼下溜达能听到里面的表演，进到房间也算安静，服务也不错，入住时房间收拾算干净。', 'star': 5}
{'descr': '一般，距离中央大街还是有一定的距离，走路大概15分钟。不过公交还是挺方便。', 'star': 5}
{'descr': '很好，有家的感觉。早上吃的也不错。美中不足的地方，给酒店老板提个建议，给工程部的师傅换套行头。呵呵，我电脑上不去网，工程部的师傅过来帮我调试，结果，那师傅穿的衣服，浑身都是油漆。', 'star': 5}
{'descr': ' 房间很宽敞 也很明亮，交通也很便捷，旁边就是肯德基 烧烤等，离中央大街也很近，酒店的服务也很到位，最喜欢的就是如家的干净，不仅仅是房间干净，给人的感觉就是很干净。就是我住的那个房间浴室里的热水不是很稳定', 'star': 5}
{'descr': '整体来说还好。不过洗澡的地方太小............', 'star': 5}
{'descr': '住的挺舒服的！就是楼道那个门太重了 不好推', 'star': 5}
{'descr': '哈爾濱的交通永遠讓人糾結。。。', 'star': 3}
{'descr': '酒店很不错，房间很大也很整洁，送了两瓶矿泉水，前台也很热情', 'star': 3}
{'descr': '不错，很干净！', 'star': 3}
{'descr': '房间宽敞舒适，出行方便，入住第一天卫生不错，第二天整理的不是很干净，其它均很好！下次还会选择如家。', 'star': 5}
{'descr': '环境不错.服务也挺好.以后还住如家', 'star': 3}
{'descr': '位置还行，早餐也还可以，房间挺干净，就是隔音稍差。总的来说还行。。', 'star': 5}
{'descr': '不错, 会再来', 'star': 3}
{'descr': '房间挺大，里面设施跟全国各地一样。', 'star': 3}
{'descr': '、我己入住、对服爷非常满意', 'star': 3}
{'descr': '位置不错，离出差的地方不远。楼边就有KFC和二人转。', 'star': 5}
{'descr': '每次回哈尔滨，我都会住在这家酒店，住上个10天左右。还好，出行都很方便，就是住在临街的房间有点吵。', 'star': 5}
{'descr': '房间很有家的气息，什么都挺好的，唯一欠缺点的就是，电视不是特别的年轻。前台声音很好听，人很漂亮哦。', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '位置不错，去那里都很近。很干净，前台服务很好，附近很多好吃的饭店。房间也够大够宽敞，就是设施比较老旧。电视太小太破了，都没心情打开看。', 'star': 5}
{'descr': '房間有怪味，搭車很困難？。。。。。。。？ 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '干净，早餐很实惠，工作人员服务态度很好，下次还会选择。', 'star': 5}
{'descr': '很好!!!很舒服！！！！很喜欢！！！！房间够大！！！！比北京上海的要好\n！！！！', 'star': 5}
{'descr': '价格公道，地理位置很好出行方便，房间卫生整洁，有机会继续入住。', 'star': 5}
{'descr': '还不错，就是房间有点小', 'star': 3}
{'descr': '整体不错，和其他如家一样。但随着如家加盟店的不断增多，对于新员工的培训和新员工服务意识的培养对如家管理层是一个考验。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '给朋友订的，没说什么，应该还行吧。交通也方便', 'star': 5}
{'descr': '这个店很好  房间宽敞整洁  闹中取静且交通方便', 'star': 3}
{'descr': '虽然不是很市中心，但是打车非常方便，服务也很不错！', 'star': 5}
{'descr': '都还行，有点冷', 'star': 3}
{'descr': '不错，就是电梯就一个好使。等起来时间长，希望早点修好电梯', 'star': 5}
{'descr': '可以', 'star': 3}
{'descr': '设施服务比较好，位置比较安静，只是位置不太好找，出租车都不想去这里。', 'star': 5}
{'descr': '已经入住如家酒店。', 'star': 3}
{'descr': '环境很好，房间很好大很干净。只是，室内温度有些低，水温也不好，洗澡很不舒服！', 'star': 5}
{'descr': '设施差服务好!', 'star': 3}
{'descr': ' 还可以 但很难找', 'star': 3}
{'descr': ' 房间干净，服务好，物有所值。', 'star': 3}
{'descr': '比有些地方的如家强多了。\n缺点：洗澡水白天有点忽冷忽热，但不是很严重。\n      洗脸池有点黄渍。\n      隔音依然不太好，整夜都有机器嗡嗡的声音，不知道是哪里发出的。\n优点：没有塞小广告的人打扰。\n      卫生间没发现小虫子和小强。\n      服务态度挺好的。\n      卫生间的面积，在如家酒店里，算是超大了，这点非常满意。\n', 'star': 5}
{'descr': '位置很好，离要去办事的地方很近，服务很好，条件一般。性价比很好', 'star': 5}
{'descr': '   酒店冷  服务不周到', 'star': 3}
{'descr': '每次去哈尔滨都住这家店，习惯了！真的很好，交通也方便。', 'star': 5}
{'descr': 'OK 啦,地点好方便,机场巴士下车附近,打车起步价,房间还好,没有其他,服务业可以', 'star': 5}
{'descr': '还不错，性价比比较高，如果对硬件没有太大需求的话，推荐', 'star': 5}
{'descr': '位置较偏，门锁也坏了，环境卫生一般，服务态度挺好', 'star': 1}
{'descr': '非常好，非常好非常好，每次来哈尔滨都是住安国街店，服务好，位置好，楼下的哈尔滨银行全国取款汇款免费。', 'star': 3}
{'descr': '位置好，前台服务很热情，周围还有好多小吃店，很方便。下次还去。', 'star': 5}
{'descr': '住在安国街店，各方面评价标准无可挑剔，外面的市井民风可以感受哈尔滨的普通民生味道，这对于我来讲很喜欢很喜欢。', 'star': 3}
{'descr': '安国街店对我来讲，有着特殊的情愫在里面，每次来哈尔滨必住此店。除去个人情愫在里面外，安国街店的各方面评价标准也是无可挑剔，希望继续发扬下去。', 'star': 5}
{'descr': '第二次入住安国如家店', 'star': 5}
{'descr': '还是不错的 希望还能扩大一点就好了 早餐希望能多点面食 还有就是前台服务员非常好 ', 'star': 5}
{'descr': '很好！如家一贯的风格。旁边的kfc很方便。还是分不出东南西北！', 'star': 3}
{'descr': '不错的噢~~住得很放心 很舒适~位置也不错 很温馨 隔音有点牵强', 'star': 5}
{'descr': '干净，不错，下次会考虑。为什么要20个字以上？沙比啊', 'star': 3}
{'descr': '如家一如既往的风格，很不错！旁边就是KFC，很方便！', 'star': 5}
{'descr': '地理位置没的说，卫生也不错，下次还会光顾', 'star': 5}
{'descr': '  对于订房到入住非常满意', 'star': 5}
{'descr': ' 酒店床太硌 ，别的还行。', 'star': 5}
{'descr': '尚可', 'star': 5}
{'descr': '还不错~就是餐厅没午餐和晚餐~早餐也差了点', 'star': 5}
{'descr': '很好，就是有点遗憾没有早餐，而附近已没有一家合适的早餐店！', 'star': 5}
{'descr': '不错的地理位置，床很舒适', 'star': 5}
{'descr': '交通便利，服务亲切，暖气烧得超好，赞一个', 'star': 5}
{'descr': '整体不错，出行也算方便。我住的房间在边上（靠近马路）不知道是不是这个原因感觉房间不是很暖和。', 'star': 5}
{'descr': '临时帮朋友预定的房间，由于索菲亚中央大街那儿的酒店爆满，所以选择了这家，朋友说交通挺方便的，内部设施、环境也很好~ 服务也很好，值得推荐 ！', 'star': 5}
{'descr': '各方面都可以', 'star': 5}
{'descr': '出入时，服务员都会微笑地和你打招呼，感觉蛮温馨，有家的感觉。是住过的如家中感觉最好的一家。', 'star': 5}
{'descr': '房间有点小，卫生还可以。', 'star': 5}
{'descr': '酒店环境挺好的,房间也蛮干净舒适的,就是房间里的电视收不到台,价格也比较合理,所以基本上还是比较满意的.', 'star': 3}
{'descr': '感觉还可以吧 房间有点小 其他的地方都还不错。门口就有公交车 挺方便的', 'star': 5}
{'descr': '很温馨的地方', 'star': 5}
{'descr': '好  值得一住', 'star': 5}
{'descr': '我觉得性价比还可以，位置挺方便，环境也不错，可以推荐\n ', 'star': 3}
{'descr': '性价比很高  推荐', 'star': 5}
{'descr': '仅仅是可以住而已', 'star': 1}
{'descr': '酒店的设施和服务都是挺不错的，交通位置也很方便，就是晚上楼上那个马桶老有冲水的声音，很吵，也没有人处理，其他都不错。', 'star': 3}
{'descr': '挺干净的,挺舒适的,设施也很完善,价格挺满意的,就是附近的交通有点差,不过总体还是很满意的.', 'star': 3}
{'descr': '位置不错,出行很方便,房间的设施也比较齐全,但房间有油漆味,很不舒服,别的还都不错.', 'star': 3}
{'descr': '酒店本身写的是可以上网，但是那个房间实际是不能上网的，不过服务还不错，位置交通也算是方便，挺好的。', 'star': 3}
{'descr': '房间挺干净的，位置也比较方便，就是卫生间地板太滑了，很容易摔倒，隔音效果太差', 'star': 5}
{'descr': '这是我入住的快捷酒店中性价比最好的', 'star': 5}
{'descr': '我觉得在如家里这个店的房间应该是比较大的，很宽敞，感觉很舒服，而且他的位置不错，交通方便。', 'star': 5}
{'descr': '我们去的时候正好赶上过年，当地出租车生意都比较好，不好叫车，不过酒店服务挺不错的，房间干净。', 'star': 5}
{'descr': '酒店整体来说比较方便，服务环境也不错，位置很不错，交通便利。', 'star': 5}
{'descr': '安国街店是我住过的经济型酒店中，感觉最好的，无论是前台服务还是楼层扫房大姐的态度和意识，都让人感觉很亲切。所以我下月再次去哈尔滨，我决定再次选择如家快捷的 安国街店。', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
