{'descr': '挺好的。。。', 'star': 5}
{'descr': '清静，房间干净，性价比超高！', 'star': 5}
{'descr': '房间挺大，环境不错，比同等价格酒店要好一些，服务态度也很好。唯一遗憾早餐还差点，不过附近的小吃店很多，价格便宜。给好评', 'star': 5}
{'descr': '晚上很晚才到的，感觉很好，非常棒', 'star': 5}
{'descr': '很好，不错，建议', 'star': 5}
{'descr': '房间蛮大的，早餐不错。', 'star': 5}
{'descr': '环境优美，住着舒服，房间大，干净整洁，隔音好，服务热情，退房方便快捷。', 'star': 5}
{'descr': '非常中肯的评价，下次不想去了', 'star': 4}
{'descr': '     酒店定位为中端商务酒店！地理位置、设施设备、环境卫生、服务质量、安全静音等都与之匹配及达标…       个人入住体验后觉得性价比还算比较高的，推荐将要面临去抉择酒店入住的首选之处！！！', 'star': 4}
{'descr': '入住该酒店就是参照着众多宾客在网上点评去的，前两天由于闲暇小聚在酒店抉择时，亲身体验并验证了曾入住过后宾客对该酒店网上的评论真伪性！                                                 酒店的定位是中端商务酒店！位置针对入住的朋友来说还算比较方便，酒店出门左侧直行小吃美食近在咫尺、出行到市区或城北的各工业厂区都还比较方便，自驾的朋友选择高速出入口时巴城站', 'star': 4}
{'descr': '还可以，有点旧', 'star': 3}
{'descr': '环境不错', 'star': 5}
{'descr': '房间大，也比较干净，不错', 'star': 5}
{'descr': '服务还是那么好', 'star': 5}
{'descr': '没有润肤露，价格贵，房间一般，空调不是很好，有待改进', 'star': 1}
{'descr': '房间装修还行，空间较大，卫生有待提高', 'star': 3}
{'descr': '房间宽敞，干净，性价比不错。值得下次入住！有一点出乎意料的是，房间里的矿泉水是收费的，一次性拖鞋也是收费的。早餐一般。其他都挺好的。', 'star': 5}
{'descr': '网上特地找的，离开工业区近，大堂经理很客气，房间还算干净就是连一次性拖鞋都要收费，希望以后有改进。', 'star': 4}
