{'短评内容': '很干净，在市中心，妙观寺对面，有三餐，感觉不错。', '短评打分': 5}
{'短评内容': '酒店非常干净，设施较新。前台小妹服务热情，总体感觉不错。下次继续入住。', '短评打分': 5}
{'短评内容': '停电一天、房间异味、性价比不高，卫生还一般', '短评打分': 1}
{'短评内容': '只有这家宾馆相对较正规，环境一般。离车站较远', '短评打分': 5}
{'短评内容': '1月28日住过，软硬条件都不错（*^_^*），就是房间偏小  55555', '短评打分': 5}
{'短评内容': '垃圾酒店，房间没纸，用一下用帕子查一下凳子竟然要收取40元钱，说什么洗不干净了要赔，既然我赔了那么你们所谓洗不掉的帕子为何不给我，真是垃圾，酒店前台的那两个女的一看就恶心，强烈不推荐，态度之差第一次遇到！！！1', '短评打分': 1}
{'短评内容': '性价比蛮高的 新的 挺干净  位置好像也比较好呀  可以', '短评打分': 5}
{'短评内容': '服务不错，地理位置也好，有特色小炒餐饮挺好的，就是入住的房间是内侧的，离火车轨道不足10米，晚上睡觉总是被跑火车的声音吵醒', '短评打分': 5}
{'短评内容': '酒店的圆床房感觉还不错，只是电梯里面没有空调，环境不错。', '短评打分': 5}
{'短评内容': '酒店服务很好，环境很好。 总的来说都行。', '短评打分': 5}
{'短评内容': '总体不错，交通方便，停车便利，卫生状况很好。唯一不足的就是离火车道比较近，如果拉汽笛的话会有点吵。', '短评打分': 5}
{'短评内容': '真的不错，很干净，也很舒适，而且交通很方便，免费停车，真是不错的选择，值得推荐', '短评打分': 5}
{'短评内容': '整体环境不错，就是枕头高了点，下次去还会选择', '短评打分': 5}
{'短评内容': '还不错挺干净的，交通也便利就是早餐是不是可以供应时间长一点。。。', '短评打分': 5}
