{'descr': '还可以，就是到了那之后觉得价格有点小贵~~', 'star': 5}
{'descr': '连着住了两天，前面已点评过了就不在多说了。', 'star': 5}
{'descr': '交通方便，环境安静，干净，很好很舒服！以后还要继续住！', 'star': 5}
{'descr': '离美食街很近，就在商城旁边，交通方便，就是价格也高', 'star': 5}
{'descr': '挺好 第三次预定。以后估计都会是它了把·主要是干净。', 'star': 5}
{'descr': '早餐在外面,服务员用一块看上去不太干净的红布擦杯子,好象没看见消毒柜,其余的还行.', 'star': 5}
{'descr': '房间比较干净，服务态度也不错，唯一不足的是电视被磁化了，只有两种颜色！', 'star': 3}
{'descr': '房间太旧，而且空调也不太管用！关键是他们店的会员卡用户159元的房间只要129元，会员卡也是30元。服务太不好！！！', 'star': 5}
{'descr': '一般，冷', 'star': 3}
{'descr': '很整洁很干净 服务态度挺好 第一次来这个城市便因为这家酒店对这里有了很好的印象', 'star': 3}
{'descr': '方便，卫生不错，服务不错，价格适中，但停车不太方便', 'star': 1}
{'descr': '房间很干净的，东西也很新，大堂电脑使用什么的很人性化，不错', 'star': 5}
{'descr': '酒店周边环境优越，吃饭出行方便，酒店住房环境安静！', 'star': 5}
{'descr': '这家酒店，价格和住宿都很不错，尤其是工作人员的负责态度，很好；虽然不是特别高级的那种，但是对于这个价格，我觉得很不错了！！！！', 'star': 5}
