{'短评内容': '靠近火车战 汽车站，一如往常的住在这里！就是无线有点卡。其他都很好', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '早餐丰富。品种很多', '短评打分': 5}
{'短评内容': '床很软 拖鞋不错', '短评打分': 5}
{'短评内容': '早餐不错 丰盛', '短评打分': 5}
{'短评内容': '不错的体验', '短评打分': 5}
{'短评内容': '交通方便，房间内清爽干净，适合商务休闲', '短评打分': 5}
{'短评内容': '商务是可以的', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '去衢州大多数选这家', '短评打分': 5}
{'短评内容': '酒店房间大 价格略贵 网是联通的宽带不好用 卫生干净 早餐没什么东西', '短评打分': 5}
{'短评内容': '酒店特价迷你大床房，充分利用转角空间，很温馨', '短评打分': 4}
{'短评内容': '呵呵不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错啊  服务业好   交通便利   嗯', '短评打分': 5}
