{'短评内容': '房间不错，前台服务不错，就是要12点前退房不好。', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '早餐很好，可以在标间加床，整体效果都不错哦！', '短评打分': 5}
{'短评内容': '酒店位置不错，还有免费的停车场。以后出差可以常过来了，非常不错！', '短评打分': 5}
{'短评内容': '很好很满意真不错', '短评打分': 5}
{'短评内容': '总体来说挺好的，包括服务态度，也比较干净，安全。不过5.1早上上班的一个前台，我们退房，态度超差。说烦，叫另外一位服务员退，本来美美得旅行在最后要走之前心里不爽一下。', '短评打分': 5}
{'短评内容': '为什么要写十个以上的字？', '短评打分': 5}
{'短评内容': '不错，看网上评价不错，位置也还可以，满意哦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '酒店环境不好，哪里有三星的样子，连晾晒衣服都没有，被子特别薄，又破了个洞，房间特别小，格局又差', '短评打分': 1}
{'短评内容': '特别差，而且只有两种房型，没地方晾晒衣服，床上居然还有别人头发，叫换房间都是越换越差，干脆不换了', '短评打分': 1}
{'短评内容': '不错，每次到厦门必住', '短评打分': 5}
{'短评内容': '酒店环境一般 比较旧了 住起来还算舒适吧', '短评打分': 4}
{'短评内容': '酒店很好，服务也不错，下次还来！', '短评打分': 5}
{'短评内容': '很好的酒店，房间很大，下次还会光顾！', '短评打分': 5}
{'短评内容': '很好的酒店，空间较大，阳光充足，还有早餐', '短评打分': 5}
{'短评内容': '环境很好，房间很大，阳光充足，还有早餐', '短评打分': 5}
{'短评内容': '房间很大,装修很时尚，停车很方便，车库就在房间下面', '短评打分': 3}
{'短评内容': '环境还不错。', '短评打分': 3}
{'短评内容': ' 房间很小，早餐不好，位置很偏', '短评打分': 3}
{'短评内容': '位置稍微有点偏，但是总体来说还是物美价廉的！！！', '短评打分': 5}
