{'短评内容': '设施旧了，环境很好，服务不错。', '短评打分': 5}
{'短评内容': '停车场非常大', '短评打分': 5}
{'短评内容': '设施有点旧了，房间窗户关不上，换了一间', '短评打分': 5}
{'短评内容': '大竹最资格的酒店。也是最老的。缺点，设施比较陈旧，我们住的一楼太潮，有刺鼻的霉味。还有一个搞笑事件，房间里有四瓶矿泉水，酒店可以挂个免费的牌子吗？我们喝了单独放吧台的小瓶，第二天给我们说放厕所和贴了自费标签物品旁的大瓶的免费的，这不有坑人的嫌疑吗？优点，安静，安静，安静', '短评打分': 3}
{'短评内容': '老店了，还可以', '短评打分': 5}
{'短评内容': '酒店服务不错，周围环境一般，自助早餐勉强凑合。', '短评打分': 4}
{'短评内容': '酒店设施太差，太陈旧，酒店的用品也很差。周围是公园太吵，窗户也不隔音，完全达不到四星标准。', '短评打分': 3}
{'短评内容': '又人品爆发～能安心住下来不错不错，哈哈哈哈哈哈哈哈！平安健康。。。。。又人品爆发～能安心住下来不错不错，哈哈哈哈哈哈哈哈！平安健康。。。。。', '短评打分': 4}
{'短评内容': '当地最好的酒店了，没什么可比性', '短评打分': 5}
{'短评内容': '前台服务员981态度不错，其它就不行了。', '短评打分': 3}
{'短评内容': '建议换下地毯，有点脏，床很舒服、很大很软，被子也按星级酒店标准配备的羽绒被，很舒服很暖和', '短评打分': 4}
{'短评内容': '清静，环境好。服务好。特别优雅。', '短评打分': 5}
{'短评内容': '大竹老资格，曾经的高大上！', '短评打分': 5}
{'短评内容': '环境安静，适合居住，空气宜人', '短评打分': 3}
{'短评内容': '酒店外部环境不错，在东湖公园内，停车方便。其他都还行，就是房间装修有点老旧，WIFI相当给力！每次回老家都住这里。', '短评打分': 3}
{'短评内容': '刷卡入住扣费后因酒店原因又付现金结账。没给予合理解释，288的房费，共计付款600＋310的费用！', '短评打分': 3}
{'短评内容': '酒店环境不错，在公园里，空气不错，散步方便，感觉服务很一般', '短评打分': 5}
{'短评内容': '感觉房间很一般，应该达不到四星标准，周边环境也不行', '短评打分': 5}
{'短评内容': '+环境挺干净 空气挺不错 就是稍微有点远', '短评打分': 3}
{'短评内容': '感觉挺安静，空气还不错，就是交通有些不太方便。', '短评打分': 5}
{'短评内容': '酒店房间比较大，很宽敞很舒适。周围环境很美。', '短评打分': 5}
{'短评内容': '服务还不错，酒店员工都比较热情，还不错的一家酒店环境很舒适。', '短评打分': 5}
{'短评内容': '酒店的配置很不错，配套设施基本达标，早餐也很好。', '短评打分': 5}
{'短评内容': '酒店环境很漂亮绿化的很好，美丽的竹林，饭后散步很舒适的地方。', '短评打分': 5}
{'短评内容': '酒店位于东湖公园内的酒店，环境非常好。空气清新宜人。', '短评打分': 5}
{'短评内容': ' 酒店房间设施可以，但地理位置较偏。', '短评打分': 5}
{'短评内容': '服务员很专业，能感受到她们的热情与细致，这点很满意，位置也不错，在公园里。', '短评打分': 5}
{'短评内容': '意外的是酒店在东湖公园里，所以环境很好，住着舒适，心情很愉快。', '短评打分': 5}
{'短评内容': '交通便利，环境安静，住了三天，基本满意。', '短评打分': 5}
{'短评内容': '酒店靠近高速公路和工业园，交通便利，出行快捷。', '短评打分': 5}
{'短评内容': '本来以为05年开业的酒店，设备已旧了，但入住后感觉还可以像刚开业没多久一样，周边环境也不错，安静容易入睡。吃早餐时小孩摔坏了一个非常普通的小碟子，可能外面卖也就是一元都不到的，结果非常意外的是酒店索要30元，有点夸张，由于赶着办事故没深究。希望酒店方本着以客为本的服务理念去经营，这样才有长期生意呀。', '短评打分': 5}
