{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 4}
{'短评内容': '没有停车场  服务态度差', '短评打分': 2}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还可以感觉', '短评打分': 5}
{'短评内容': '挺好的，也挺卫生服务态度也好', '短评打分': 5}
{'短评内容': '服务卫生都很好', '短评打分': 5}
{'短评内容': '服务好，地理位置优越', '短评打分': 5}
{'短评内容': '这个酒店感觉差劲，房间墙体不干净', '短评打分': 5}
{'短评内容': '挺棒的！！！！！', '短评打分': 5}
{'短评内容': '非常棒，发货迅速，以后就这家了，很喜欢', '短评打分': 5}
{'短评内容': '房子美的很！！！！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间面积小，窗口小，路边噪音大。空调效果不好噪声也大。', '短评打分': 5}
{'短评内容': '也不知道这是什么，就出现在我的评价单里', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '速度快，只不过我还没有入住。。。', '短评打分': 5}
{'短评内容': '房间很小', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '整体印象较好，因为前两天刚在附近住了汉庭，这次入住七天，感觉很惊喜，最起码是房子大，而且其他设施也不差，还有就是便宜，所以，好评！', '短评打分': 5}
{'短评内容': '最近附近在修路', '短评打分': 5}
{'短评内容': '帮忙预定的，距离医院近，检查方便。已经算是不错的。', '短评打分': 5}
