{'短评内容': '前台接待服务热情，但房间比较简陋。如果只是为了睡觉的话，完全可以胜任，没有其他特点。楼下的餐馆很多，吃货会很开心。', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '方便出行，价格不贵', '短评打分': 5}
{'短评内容': '公寓式酒店，感觉还可以。周边吃饭比较方便。', '短评打分': 4}
{'短评内容': '还可以，就是离地铁口有点远。', '短评打分': 5}
{'短评内容': '挺好的，位置方便，干净整洁', '短评打分': 5}
{'短评内容': '还行，都是不好找', '短评打分': 4}
{'短评内容': '密码门挺好。手写押金条，公寓改成的酒店房间，国庆涨价严重。值不值就不评价了。', '短评打分': 4}
{'短评内容': '房间很干净，服务态度也好，就是停车太贵了！', '短评打分': 5}
{'短评内容': '还行 但感觉卫生不是特别好 空间蛮大的', '短评打分': 4}
{'短评内容': '总体来说还可以，值得推荐。', '短评打分': 4}
{'短评内容': '同事出差，应该不吧', '短评打分': 4}
{'短评内容': '不错，有机会还会来', '短评打分': 4}
{'短评内容': '家庭式公寓，服务好，比我接触的7天好', '短评打分': 4}
{'短评内容': '房间到还干净，洗衣机大赞，找老板要了洗衣粉把衣服洗了。就是装饰有点旧，卫生间太小，总体还行吧。', '短评打分': 4}
