{'短评内容': '此用户未填写评价内容', '短评打分': 1}
{'短评内容': '离广播电视大学很近，设施有些旧，凑合着可以住，讲究些就换其他的吧', '短评打分': 4}
{'短评内容': '来考试的，比较吵。卫生不太好。有很多黑人朋友。吵吵吵。，。，，。，，，，？，，，。。，，，，，，。，', '短评打分': 3}
{'短评内容': '实在没法住', '短评打分': 1}
{'短评内容': '来考试住一晚还行，周边环境还可以，离学校很近，周围有小吃等，在房间也可以点外卖，而且出行方便，有各种共享单车', '短评打分': 4}
{'短评内容': '宾馆位置还是挺不错的，周边是大学和火车站，什么都有，卫生条件很一般，宾馆装修和设施也一般，黑人比较多，整栋楼都是香水儿味儿，晚上有点吵', '短评打分': 3}
{'短评内容': '酒店的走廊都铺的地毯，整个楼道很安静，房间超级大，大床房的床是2米x2米的，床很大也很舒服，卫生间环境一般，有待提高。房间之间是实墙间隔，隔音很好，我这种神经衰弱的人都觉得没有受到打扰。总的来说入住体验还是挺不错的，下次还会去', '短评打分': 5}
{'短评内容': '房内味道太重 受不了 当然配套比较齐全 卫生环境一般 ', '短评打分': 3}
{'短评内容': '订好房，去到只给单人房，不知道什么原因', '短评打分': 3}
{'短评内容': '住的环境不错，前台有咖啡店可以休闲，别忘了酒店提供优惠卷哟', '短评打分': 3}
{'短评内容': '还不错 就是一开始入住系统有点小问题 不过都很好解决了', '短评打分': 3}
{'短评内容': '房子环境不错       就是老外太多       值得推荐', '短评打分': 5}
{'短评内容': '环境不错      服务也不错   值得推荐', '短评打分': 5}
{'短评内容': '整体来说还不错 麻雀虽小 五脏俱全 但是 卫生条件一般 晚上电视比较吵 而且黑人朋友比较多 *', '短评打分': 4}
{'短评内容': '性价比不高，卫生较好吧，环境还不错', '短评打分': 3}
