{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '太差、太脏！', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境一般，普通标准间', '短评打分': 4}
{'短评内容': '前台服务态度太差，老年人不太懂什么渠道什么订单号，就不能帮忙查一下？让帮忙加个微信发下订单信息，再没有其他客人的情况下说很忙没发加，我就想知道你忙什么，忙着发呆吗？去这家店之前请三思！', '短评打分': 3}
{'短评内容': '总体感觉可以，十一期间房费可以接受，隔音不好', '短评打分': 5}
{'短评内容': '前台态度不好，后来打的携程客服，在网上订的结果搞了半天才能入住', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '服务还好啦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较陈旧，枕套有发霉的痕迹，凑合住住吧', '短评打分': 3}
{'短评内容': '这个酒店在路边，交通方便，里面设施齐全，本以为人不多的，因为我不是节日去的啊，但是晚上还是住满了，价格要比万达广场附近的其他酒店便宜，因为是开车去的，也无所谓交通，内部隔音一般，不过还算安静，性价比不错', '短评打分': 4}
{'短评内容': '价位不错，房间不错，房间大光线好半落地窗交通好，推荐！', '短评打分': 5}
