{'短评内容': '酒店位置有点偏，停车方便', '短评打分': 4}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '停车很方便，酒店设施什么的有点老了，早餐种类很少，不如去附近的西部马华吃拉面，还是24小时营业', '短评打分': 3}
{'短评内容': '酒店位置比较偏僻', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错，虽然出了点小意外！估计令你一无所有身外之物，哦热量随心情就洗洗新思路孩子，Ms 大菩提哦让我撒娇岁OK我手机里自以为是了所以心MSN上自习我速速衣衣哦热量随在这里我亏银耳哦嘻嘻破啊可以休息', '短评打分': 5}
{'短评内容': '这个酒店还不错！还几次急急急急急急急急急急急急急急急急急急急急精明猪呼呼呼呼会有人要破破破热热热热热婆婆送仔仔细细早睡早起早睡早起早睡早起早睡早起灾区群众日月如梭我全心全意去去去早睡早起早睡早起要速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速速ysyrzxwrzswsjplplplplplplplplplplplplplplplplplplplp', '短评打分': 5}
{'短评内容': '酒店很干净，前台服务不错，早餐很精致，自己炸的油条很酥，自磨的豆浆味十足', '短评打分': 5}
{'短评内容': '先从酒店硬件说，环境不错对面没有建筑物都是绿化。里面配套也还行，就是软件跟不上，非常不注意细节。问前台有充电器或者充电线吗？说不提供这个服务。在其他城市高级酒店都会有！早餐挺丰富的，就是味道太一般了，白粥就是剩米饭加水，面条就是外面买的速食面，写的热豆浆其实是冷的，然后我最无法理解就是，原来先做出来的早餐是员工先吃，再提供给客人，早上起太早看到的，只能说挺好的酒店，管理没跟上！', '短评打分': 5}
{'短评内容': '很不错，性价比很高，服务很好很热情！非常满意', '短评打分': 5}
{'短评内容': '前台有个小个子男服务员。我就不点名了。此人心里比较阴暗。同样是379元的房间。当时有很多空房间他不给我，骗我说携程订的这个价都在地下2层。到了地下2层迎面扑来潮味烟味。没人带领。独自走过迷宫一样的走廊。房门居然打不开。偌大的楼层没有服务员。后来找到他理论，有位领导模样的女的赶紧道歉给换了楼面上房间。真不知携程哪里得罪他了。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间很好，价格便宜。', '短评打分': 5}
{'短评内容': '房间很好，价格不贵，地点有点偏', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，很卫生，设备齐全，很喜欢，以后还会来的！', '短评打分': 5}
{'短评内容': '前台就2人，入住要等4个小时。接待能力不行', '短评打分': 3}
{'短评内容': '和同事一起住的，各方面都不错', '短评打分': 5}
{'短评内容': '除了位置有点偏，其他都非常好，服务也不错', '短评打分': 5}
{'短评内容': '一如既往不错', '短评打分': 5}
