{'短评内容': '捅破底露额头么了', '短评打分': 4}
{'短评内容': '性價比高，位置雖偏，但鬧中取靜！讚！', '短评打分': 5}
{'短评内容': '性價比高，位置雖偏，但鬧中取靜！讚！', '短评打分': 5}
{'短评内容': '隔音效果不太', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店外面环境真的很差 是一个五金市场 虽然不吵 但是真的很影响心情 我原先定这里是因为离我摄影基地很近 所以才定在这里 第二天就换酒店了 这个房间有点霉味 挺刺鼻的 反正鼻腔特别不舒服 房间干净还算是干净的 ', '短评打分': 3}
{'短评内容': '还不错，一直住这里', '短评打分': 5}
{'短评内容': '还是出差。还是住这儿，还是觉得不错………', '短评打分': 5}
{'短评内容': '服务态度不好，不怎样的', '短评打分': 1}
{'短评内容': '主要还是离办事的地方比较近，方便！', '短评打分': 5}
{'短评内容': '由于是12年建的，所以很新，卫生也不错。坐落的位置还不错，交通挺方便的。本来是订的168的迷你风情房都订好了，到那里却被告知没有了，所以不得不重新订了一下。幸好还有其他房间，要不然就白跑了。交通也方便，还不错。', '短评打分': 5}
{'短评内容': '周边吃饭挺方便的，', '短评打分': 3}
