{'短评内容': '不可以加床', '短评打分': 5}
{'短评内容': '挺好的，环境不错', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店不会错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店不错，经济实惠', '短评打分': 5}
{'短评内容': '住宿条件不错，安静。价格也不高！期待下次入住', '短评打分': 5}
{'短评内容': '还可以吧，就是不太好找。', '短评打分': 5}
{'短评内容': '感觉挺好的挺不错的', '短评打分': 5}
{'短评内容': '果然是自主大床，床确实挺大的，可以睡两个人绰绰有余了，房间也没味道，干净。夏天热，正好有空调，麻雀虽小，五脏俱全呀。', '短评打分': 5}
{'短评内容': '居家旅行好去处', '短评打分': 5}
{'短评内容': '还可以，早餐服务也不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '一段', '短评打分': 5}
{'短评内容': '还可以 太赞了 很方便', '短评打分': 5}
{'短评内容': '当时暑假去长沙玩 订了这家7天 离火车站非常近喔 步行几百米就ok了 对于第二天要一早赶火车来说真的好方便', '短评打分': 4}
{'短评内容': '房间挺新的，但是东西好脏的感觉', '短评打分': 4}
{'短评内容': '真心不错，比旁边的木子酒店好多了，价格也相对实惠，卫生条件很好，这个价格在这个地方真的很不错的，满意！', '短评打分': 5}
{'短评内容': '方便，可以微信支付', '短评打分': 5}
{'短评内容': '离火车站比较近，其他一般，不过对得起价格，总体满意，', '短评打分': 3}
{'短评内容': '一帮帮', '短评打分': 3}
{'短评内容': '马马虎虎', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 3}
