{'短评内容': '位置不错，老板服务也热情，真心推荐。', '短评打分': 5}
{'短评内容': '位置真心好，很方便，老板很客气，服务很周到。不错哦！', '短评打分': 5}
{'短评内容': '比较难找一些，其他都不错', '短评打分': 5}
{'短评内容': '所住的房间由于结构的关系很黑，没有免费接送，收费早餐很简陋。携程上的酒店信息已过时. 酒店位置靠南门，安静。', '短评打分': 3}
{'短评内容': '很好的酒店，只有十个房间，房间干净，温馨，老板态度一流！晚上很安静，很专业的酒店！不比对面的皇冠差，强力推荐。', '短评打分': 5}
{'短评内容': 'yibande jiudiankezhan ,位置还可以，价格偏高，设施一班', '短评打分': 1}
{'短评内容': '在此酒店住了两晚，环境干净，舒服，价钱稍微高点，但店员服务很好。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境干净，舒服，价钱稍微高点，但店员服务很好。', '短评打分': 5}
{'短评内容': '房间没有图片看着好不过到也算干净。地理位置还行。', '短评打分': 3}
{'短评内容': '不错，就是室内没有椅子。', '短评打分': 3}
{'短评内容': '客栈实际情形与图片相符，房间很温馨，精致且干静，卫浴用品档次高。老板娘与客栈的前台服务很到位，很多热情，有种家人的感觉。离古城区很近，有机会下次还会入住。', '短评打分': 5}
{'短评内容': '我觉得在丽江市比较好的客栈，房间干净，用的洗漱品和沐浴露也是贵的。就是价格比较贵。', '短评打分': 5}
{'短评内容': '住宿条件还不错，干净卫生。\n店家服务业很好，周到。就是在这家客栈吃的早餐太简单了。\n地理位置比较方便，就在古城入口不远处。', '短评打分': 5}
{'短评内容': '客栈安静庭院幽雅离四方街五分钟路', '短评打分': 3}
{'短评内容': '还不错啊！挺舒服的感觉，服务也很热情的，下次去还住这。', '短评打分': 5}
{'短评内容': '住宿相当舒服，在丽江古城的南面，属于那种休息起来很安静的地方，北边四方街就是人太多，吵闹得睡不着觉~所以，我建议想到丽江睡个安稳觉的朋友不妨住在南面雅乐居，安静，清爽，环境好，服务也挺不错~~以后再去，我还会住这里~~', '短评打分': 5}
{'短评内容': '非常有特点的客栈，庭院很美，阳光灿烂，服务更好，很贴心。很想在这里多住些日子。下次来还住这里。', '短评打分': 3}
{'短评内容': '来丽江前查看了很久客栈信息，终于选定了雅乐居，果然没有让我失望，宁静洒满阳光的纳西小院，热情淳朴的老板娘和小妹们，干净舒适的房间，简单可口的饭菜，还有免费的陈年普洱，杂志小说，一切的一切让我的丽江之旅如愿以偿，非常庆幸选择了雅乐居，还有，我住的二楼大床房真是很满意哦，面南阳关充足，大多时间都是在门前的藤椅小桌前度过，上网、看书、晒太阳、发呆，呵呵，很惬意。', '短评打分': 5}
{'短评内容': '环境很好，小妹服务也不错，我们在这跟在家一样的感觉，还有自助厨房可以用', '短评打分': 5}
{'短评内容': '酒店的性价比还是很不错的，环境配置很全，老板人很好很热情。', '短评打分': 5}
{'短评内容': '老板和老板娘人超级好，很和善，入住的也很舒心。', '短评打分': 5}
{'短评内容': '很喜欢酒店的汗蒸房，蒸玩以后洗个热水澡舒舒服服睡一晚！', '短评打分': 5}
{'短评内容': '酒店晚上很安静，玩了一天可以好好休息一下，睡个大美觉。', '短评打分': 5}
{'短评内容': '酒店的卫生很好很干净，配置设施都很不错。', '短评打分': 5}
{'短评内容': '房间很安静，晚上回来洗个澡，睡得很安稳。', '短评打分': 5}
{'短评内容': '不光服务员热情，老板也很热情，给我们介绍丽江好玩的地方，很淳朴。', '短评打分': 5}
{'短评内容': '客栈里有个养生房，累了一天回来去蒸蒸，很能缓解疲劳。', '短评打分': 5}
{'短评内容': '老板很认真，随时看到哪里脏了就打扫，让我们对它的卫生挺放心的。', '短评打分': 5}
{'短评内容': '房间布置很有纳西风格，庭院也别具特色，很有味道的一家客栈。', '短评打分': 5}
