{'短评内容': '房间太潮了', '短评打分': 1}
{'短评内容': '酒店年代有些久了，沐浴露像是兑水的，完全没有泡沫，也没有任何味道，可能就是水，停车要看运气，酒店没有自己的停车位', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生间还有虫子 空调不好使 窗户漏风 哎 悲哀', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '卫生一般周围有很多卖土特产的离景点近可步行也可乘公交车总体来说很好', '短评打分': 4}
{'短评内容': '酒店靠近火车站，交通购物便利，整体还是比较满易的！', '短评打分': 4}
{'短评内容': '位置相当好、就在步行街边上、建筑的颜色很醒目、往坡上走两分钟就能坐上去公交车、去广场、海水浴场都很便捷、价钱相对比较适中、要求和预算不是很高的朋友可以选择', '短评打分': 5}
{'短评内容': '距离栈桥、医院比较近，比较方便，周围交通不是很好，路太窄，房间太小，环境较差', '短评打分': 4}
{'短评内容': '史上最差酒店，霉味，臭气，虫子，没有窗户，你还能更差吗', '短评打分': 1}
{'短评内容': '酒店还可以，服务人员很热情，就是装修不是很豪华。', '短评打分': 3}
{'短评内容': '位置很好，就在王姐烤肉旁边，但是房间很小很潮，隔音不好。出行非常方便，前台服务很热情', '短评打分': 5}
{'短评内容': '酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦', '短评打分': 5}
{'短评内容': '房间太小，设施太简陋！更本不符合这个价位！', '短评打分': 3}
{'短评内容': '环境、设备、卫生都和其它同价位的宾馆没法比！！！', '短评打分': 1}
{'短评内容': '这个价位还算可以了吧，比较卫生，环境还可以，位置不错，但是房价隔音效果太差了。不过我们是玩的太累了 每晚回去后累的躺下就睡了。', '短评打分': 5}
{'短评内容': '位置离火车站，栈桥，天主教堂都很近，挺方便，不过环境不是很好，有点潮湿，没有凉拖鞋，我住的房间有虫和蜘蛛网-_-||', '短评打分': 3}
{'短评内容': '设施有点老旧，周边环境虽说比较安静但卫生不太好。价格在靠近栈桥区域还算合适。', '短评打分': 1}
{'短评内容': '房间很潮湿，可能是旺季的过，258的房间真的不怎么样，只能说是凑合能住了。失望', '短评打分': 1}
{'短评内容': '房间没电话（与介绍中不符合），没凳子，没冲凉拖鞋，没空调遥控，电视台节目特少（最要命的）电梯有时也不能用，看到以前店方给其他顾客做出的回应完全是忽悠人，发票听说也没定额的，希望店方整顿，别给顾客失望，价格方面也不便宜。', '短评打分': 1}
{'短评内容': '酒店位置稍微偏了一点，电视不是很好，没有洗澡拖鞋', '短评打分': 5}
{'短评内容': '房间很小，也没窗，房间很闷，椅子也没有，空调遥控器也没，服务员态度也一般，下次来不会住了', '短评打分': 1}
{'短评内容': '还不错…', '短评打分': 3}
{'短评内容': '房间太潮湿了，前台推托说发票用完，我一再要求开，他们又说找到最后一张发票。\n个中原因，大家应该明白。\n请谨慎选择。', '短评打分': 1}
{'短评内容': '在旅游季节性价比不错 卫生间很干净  床被刚开始有点湿 不太习惯。有点不舒服是 隔音效果不好 那时住的是走廊尽头的一间 夜晚走廊走动声音太大。', '短评打分': 5}
{'短评内容': '比较烂，房间服务都很差，价格也不便宜，还不开发票，极不推荐', '短评打分': 1}
{'短评内容': '这一家算是极品，188元的价格，48元的质量，房间很小，没有窗户，床上有很多前客人留下的毛发，到处充斥着84消毒水和被服腐败的', '短评打分': 5}
{'短评内容': '服务人员态度很好，但房间设施很一般，电梯里的味道太难闻了  我们住的是大床房  一进门就看到墙上好大一块发霉的东西  电视几乎没信号  也就能看4个频道吧   这真是我的真实感受  请酒店赶快做些处理  店的位置还是非常好的 离青岛火车站 、栈桥 很近 走个10分钟就能到了 酒店附近还有直接去机场的大巴 去机场也挺方便的   酒店旁边有个 “青岛老馄饨”的小店面  大家有机会可以去尝一下  菜量很', '短评打分': 1}
{'短评内容': '真的很不错，下次还会选择的！地理位置很好！', '短评打分': 3}
{'短评内容': '位置很好，如果你想了解古老的青岛的话，这里真的不错哦！十分钟可以到火车站，十五分钟就能走到海边，五分钟可以到著名的小吃街劈柴院，旁边就是天主教堂。附近的中山商场，中山路购物很方便的，到即墨小商品批发市场也就二十分钟的路。后面有批发海鲜的，你可以买点自己喜欢的，到旁边的小饭店加工一下，也就三五块钱，再来2斤新鲜的崂山啤酒，真的很不错哦！\r\n   不过就是隔音效果不是很好，老觉得有人敲门。老板的服务很', '短评打分': 5}
{'短评内容': '九月三十号入住，夜间入睡，廊道隔音效果非常不好，其他整体不错，卫生间干净好用！', '短评打分': 5}
