{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '总体上划算', '短评打分': 3}
{'短评内容': '差超级差', '短评打分': 1}
{'短评内容': '好不好你说了算', '短评打分': 5}
{'短评内容': '定错日期了没去成，房费也扣了', '短评打分': 3}
{'短评内容': '位置环境很好，还属于LOFT结构。就是青岛夏季的房价啊，说涨就涨，爱住不住。', '短评打分': 5}
{'短评内容': '房间舒服，酒店很好，值得下次继续住', '短评打分': 3}
{'短评内容': '服务态度十分差，房间非常小，房间内的设备非常靠，电视都不能看。向前台反应，前台就说爱住不住，非常不推荐去哪里住，谁去谁后悔。', '短评打分': 3}
{'短评内容': '挺舒服的，周围交通都很方便，也很安静，房间设计挺有个性的', '短评打分': 3}
{'短评内容': '酒店还不错，地理位置还行', '短评打分': 3}
{'短评内容': '酒店设施有点旧，酒店位置还不错', '短评打分': 3}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '住一天还可以', '短评打分': 5}
{'短评内容': '客户满意', '短评打分': 5}
{'短评内容': '整理不错，有家的氛围。\n空调有点小，制冷慢。没有早餐。', '短评打分': 5}
{'短评内容': '性价比不是很高，无窗房有点闷\n天天爬楼梯很锻炼人，但酒店是为了休息。。。。', '短评打分': 1}
{'短评内容': '酒店还是比较干净的,就是卫生间玻璃有些透明,在外面可以看见里面洗澡的人.', '短评打分': 5}
{'短评内容': '还可以 但是房间有点小 隔音很不好 晚上白天说话声音听得清楚 交通便利', '短评打分': 5}
{'短评内容': '非常不好，酒店跟实际差异太大，楼层很低，环境不好，消防不安全。', '短评打分': 1}
{'短评内容': '创意时尚房弄得还不错，就是地方有点不太好找', '短评打分': 5}
{'短评内容': '＋非常温馨…有家的感觉', '短评打分': 3}
{'短评内容': '房间厚厚的一层灰尘，房间低矮，气味难闻，与网站介绍大相径庭', '短评打分': 1}
{'短评内容': '还是挺有创意的酒店，我住的二楼，只是隔音效果差。', '短评打分': 5}
{'短评内容': '房型很有意思，复式结构，楼上是床，楼下是卫生间，可惜没窗户，通风有点不好。价格很便宜。', '短评打分': 5}
{'短评内容': '房间还好,空间有点小,没有照片上的好。总之还行吧。', '短评打分': 3}
{'短评内容': '创意房间太小，空调不好', '短评打分': 3}
{'短评内容': '交通十分方便，就在市中心。房间小了点，隔音也不太好。不过还是值得推荐的！', '短评打分': 5}
{'短评内容': '很创意 很舒适 下次还去', '短评打分': 3}
{'短评内容': '跟家人吵架想自己在外面住一晚静一静离家近又便宜就选它进去了。地脚方便但是环境实在是不怎么样。屋顶低房间小设施旧...感到憋气（可能与本人心情有关）。不过这个价格，没有怨言。', '短评打分': 1}
{'短评内容': '这家酒店不错 价位合理 而且环境也好 唯一不足的地方 就是房间有点小哦 ', '短评打分': 5}
{'短评内容': '我住的是大床房，设施很全，网速很快，小阁楼的设计，一开门就是楼梯，晚上睡觉比较安静。不好的是没有窗户，有点闷，我是一回屋就开着空调换气的', '短评打分': 5}
{'短评内容': '很不错的酒店，服务也不错，准备继续再住两天', '短评打分': 5}
{'短评内容': '在冬天里感觉房间里非常暖和，而且房间也是比较干净的，价格也不贵，非常划算！', '短评打分': 5}
{'短评内容': '挺好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间不是之前去的那样的小阁楼了，虽然这次的也叫创意时尚房...不过房间里布置还不错，比较精致吧。提出几点不太满意的，一个是房间窗户的锁坏了，不安全感啊；热水一般，无论怎么用水温就保持在个40度左右，微冷..再有就是住的房间隔音效果一般，尤其服务人员的休息间离我们不远，清早就好多电话声、嬉闹声，着实影响休息！\n不过总体还算可以吧，值这个价钱了...', '短评打分': 5}
{'短评内容': '跟照片不一样\n我们住的那个屋居然厕所没门，不知道是玻璃碎了还是什么设计理念，设计师不怕臭？\n还有水也不热\n真是毁了我的平安夜。\n', '短评打分': 1}
{'短评内容': '一般。卫生间反味太严重。房间总觉得不干净乌突突的。\n交通还错，到哪去都方便。。', '短评打分': 1}
{'短评内容': '有蟑螂,像个招待所', '短评打分': 3}
{'短评内容': '酒店房间太小，到处都是虫子，卫生状况不太好。', '短评打分': 3}
{'短评内容': '地址比较好找，感觉也不错，离香港中路比较近。', '短评打分': 5}
{'短评内容': '位置不错，就在佳士客旁边，适合购物办事。环境还凑合，价钱也停合理的', '短评打分': 5}
{'短评内容': '比较好的酒店，卫生也是比较好的，房间里的电视', '短评打分': 5}
{'短评内容': '环境很好，很干净，睡的也很舒服，就是缺一个吹风机。', '短评打分': 3}
{'短评内容': '很不错，服务态度很好，交通也便利。下次去青岛还会入住。', '短评打分': 5}
{'短评内容': '酒店环境不错。并且离海边也很近。是个不错的选择。', '短评打分': 3}
{'短评内容': '枕头太软,别的还好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '有创意，够时尚！我们住的一楼，是个小阁楼，特别喜欢！出门就是公交，步行去海边十多分钟，住一天没住够，连着住了三天，依依不舍的走了。', '短评打分': 5}
{'短评内容': '酒店设计的很有特点＇早餐过于简单＇选择性太小', '短评打分': 3}
{'短评内容': '就是房间小了点，网速还可以，早餐差了点。', '短评打分': 5}
{'短评内容': '前台服务差.牛逼,房间小,位置还可以.性价比不高', '短评打分': 1}
{'短评内容': '房间不大,个性,前台服务态度越来越差,以后不住了', '短评打分': 1}
{'短评内容': '还好 就是房间有股闻到 去是让服务员从新打扫的', '短评打分': 5}
{'短评内容': ' 预定后很省心', '短评打分': 3}
{'短评内容': '酒店环境还可以，不过没有停车场比较遗憾，有免费早餐，离奥帆和54广场很近出游比较方便', '短评打分': 5}
{'短评内容': '虽然小了一点，但是环境还是不错，尤其是地理位置，算是在青岛最现代化的地段，去哪儿都比较方便，旁边就有一个美食街，真让人难忘', '短评打分': 5}
{'短评内容': '不知道我住的是不是创业时尚房 和网上说的不一样。。房间很小', '短评打分': 1}
{'短评内容': '不错！很干净！房间装修很时尚！推荐推荐推荐！！', '短评打分': 5}
