{'短评内容': '还可以，和自己想象中的不太一样。', '短评打分': 2}
{'短评内容': '酒店还可以，就是网速差了点', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以哒，谢谢。', '短评打分': 4}
{'短评内容': '下次来还继续住这里！', '短评打分': 5}
{'短评内容': '空调坏了', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店还可以~周边环境也还比较安静~总体来说还对的起这个价格吧~对于廉价出游的朋友~以及不追求住宿的话~还是不错的', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店设施还可以，附近生活设施也比较齐全，交通也比较方便', '短评打分': 4}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '网不行 其他都还行', '短评打分': 4}
{'短评内容': '还不错  主要是便宜   要是卫生间的淋浴水量能大一些   房间里没有很重的烟味就更好了', '短评打分': 5}
