{'短评内容': '离目的地近，交通便利。', '短评打分': 3}
{'短评内容': '无早餐，不适合带孩子。价质有差别。', '短评打分': 2}
{'短评内容': '还可以，没有停车场', '短评打分': 3}
{'短评内容': '无早餐，楼下有早店铺，豆浆油条。交通方便，408法制日报下车即到。房间小，有窗户的房间，临着小区主路，有点噪音。尚干净，够用。', '短评打分': 5}
{'短评内容': '大床房舒服啊', '短评打分': 5}
{'短评内容': '干净卫生，价格实惠，每次都来这里住，洗澡水很好', '短评打分': 5}
{'短评内容': '五好', '短评打分': 5}
{'短评内容': '不怎么样，还很贵。', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '什么他妈的酒店，未入住就确认，去看了说不满意，还他妈的扣费，都说了不住，不满意环境，老板就你妈的值100块钱，希望大家都别再受骗了，告诫大家远离这个地方，就你妈的骗子！', '短评打分': 1}
{'短评内容': '服务很好，去了先看房，也挺干净', '短评打分': 3}
{'短评内容': '不错，挺温馨。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '妈呀破死了', '短评打分': 2}
{'短评内容': '真的很一般，洗浴这些，谁看谁知道', '短评打分': 3}
