{'短评内容': '方便实惠价格合理', '短评打分': 5}
{'短评内容': '卫生条件挺好，早餐12元，稀饭，米干，小馒头，鸡蛋。大家庭房两室一厅，带麻将室，一大两小床，可以住4人，客厅有沙发！', '短评打分': 5}
{'短评内容': '23时入住。一进房间就发现有活物进入椅子下面，马上拎椅子扔到楼道，一只3cm的大蟑螂掉了出来，由于慌乱房门被关上了。然后一人看住蟑螂别让它再进我屋，一人去前台报告。前台服务员听说后，冷静地说你回去吧，一会找人给你开门。五分钟后上来一男性老同志，在距蟑螂30cm处跺脚，蟑螂从房门下爬入202房间，我诧异了。老人告诉我说，它不咬人。随后为我开门后离去。第二日起夜，我又发现2cm一只，拿手机准备照相时，', '短评打分': 2}
{'短评内容': '越来越差了', '短评打分': 2}
{'短评内容': '设备该换新的了，', '短评打分': 3}
{'短评内容': '价格合适，主要是有满反，总体还是不错', '短评打分': 5}
{'短评内容': '价格合适，主要是有满反，总体还是不错', '短评打分': 5}
{'短评内容': '设施简陋，价廉物美', '短评打分': 4}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '马桶盖是坏的，卫生间设施都很破旧了', '短评打分': 4}
{'短评内容': '经济实惠，很干净。', '短评打分': 5}
{'短评内容': '可以吧，还算不错。', '短评打分': 5}
{'短评内容': '酒店不错，但是前台服务很差，连烧水壶是坏的都不给换，前台服务还搞得像大爷是的。', '短评打分': 4}
{'短评内容': '不错.................', '短评打分': 3}
{'短评内容': '还可以吧～离南站不远  附近也有吃的', '短评打分': 3}
{'短评内容': '隔音效果在好点更好了。', '短评打分': 4}
{'短评内容': '酒店车位太少，住宿环境还可以，这个价位在大假还行。', '短评打分': 3}
{'短评内容': '地理位置好，离机场和万达公园都不远，周边环境也还行，都是些事业行政单位。酒店内部环境干净，舒适。', '短评打分': 3}
{'短评内容': '离市景洪市市中心近，停车、出行方便，舒适、清洁，性价比高。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '卫生间该装修了', '短评打分': 3}
{'短评内容': '很有家的感觉', '短评打分': 3}
{'短评内容': '干净明亮', '短评打分': 3}
{'短评内容': '酒店很干净，就是有些潮，总体不错值得住。', '短评打分': 5}
{'短评内容': '干净、整洁，空间比较宽敞，服务人员态度友好，就是热水晚了有点供应不上，估计太阳能的。', '短评打分': 5}
{'短评内容': '简单的很，说不出哪里特别好，说不出哪里不好，停车很便利，睡觉还行。', '短评打分': 5}
{'短评内容': '不错，住好久了', '短评打分': 3}
{'短评内容': '非常好，价格实惠，路段好，吃东西方便。房间卫生。值得推荐！', '短评打分': 5}
{'短评内容': '挺好，厨具居然免费提供', '短评打分': 3}
{'短评内容': '经济型快捷酒店，简单但够用。卫生间设施不太完整，浴帘缺失，淋浴蓬头有点问题。如果住的时间长，可以办张酒店会员卡，一个卡送两份早餐，很合算的。', '短评打分': 5}
{'短评内容': '酒店位置很好，虽不在闹市区，但也不远。房间布局很简单，床铺也较为干净。不足的就是C楼后面离居民楼比较近，整晚上雨水打在铁皮屋顶上，声音很大，有点影响睡眠。', '短评打分': 5}
{'短评内容': '真的很简单。作为经济型快捷酒店，房间够大，配置也基本满足入住要求。有一个院子可以停车，自驾游入住很方便。', '短评打分': 5}
{'短评内容': '非常满意，边上就是风情园，酒店对面卖水果的那家菠萝很甜呵呵', '短评打分': 5}
{'短评内容': '很好，有家的感觉，位置也好', '短评打分': 3}
{'短评内容': '设施比较新，位置还比较好，在市区里面，交通方便，管理业比较专业，算是一家性价比比较好的经济酒店', '短评打分': 5}
{'短评内容': '如期入住西双版纳云之舍，酒店提供接机服务，小周人很热情，介绍旅游，其实就是想让你包车旅游去景点，价钱比出租车稍贵，但是车比出租车好，本店思域。套间三室一厅，非常舒服，值得推荐', '短评打分': 5}
{'短评内容': '优点：地理位置还可以，到哪里都不远，店名也不算小，该有的都有\n缺点：对住宿环境要求较高的不推荐\n总结：性价比还算可以，入住的年轻人相对较多', '短评打分': 5}
{'短评内容': '服务好，效率高', '短评打分': 3}
{'短评内容': '还是一如既往地好', '短评打分': 3}
{'短评内容': '方便，出差入住很方便。方便，出差入住很方便。方便，出差入住很方便。', '短评打分': 5}
{'短评内容': '酒店很好，很干净，酒店的司机也很好，很热情！下回来还住这', '短评打分': 3}
{'短评内容': '还不错   很干净    比较安静  在市区   吃饭逛街都很方便 ', '短评打分': 5}
{'短评内容': '下水道的味道太猛了以后不会来住了。。。', '短评打分': 3}
{'短评内容': '挺干净，交通也算方便，价格也实惠，有机会去还住那里。', '短评打分': 5}
{'短评内容': '酒店设施齐全，交通便利，有免费接机服务。很好，还会选择。', '短评打分': 5}
{'短评内容': '不错，很爽快就换了间房，原马桶堵的厉害，一整天居然没人察觉，很诧异，', '短评打分': 5}
{'短评内容': '网速平均700K/S左右，对于爱好上网的同学不错，设施都很新，电视质量不错，', '短评打分': 5}
{'短评内容': '酒店的地理位置不错  尤其吃饭很方便  租车也很方便  但半夜公鸡叫汽车喇叭鸣和房间的卫生环境和云之舍美名有一定差距', '短评打分': 1}
{'短评内容': '卫生间好大环境不错', '短评打分': 3}
{'短评内容': '很干净，很温馨，天气很热导致屋里蚂蚁有点多', '短评打分': 5}
{'短评内容': '房间很干净，前台服务人员很到位，有问必答，很好~', '短评打分': 5}
{'短评内容': '总体来说还行吧，住了三天，发现了一只小强，然后盖的被子令我的腿脚这些发痒，请改进，谢谢', '短评打分': 5}
{'短评内容': '很方便，交通便利，服务也好，住的舒适。下次还选择。', '短评打分': 5}
{'短评内容': '酒店的设施还是比较新的，可能因为刚刚装修时间短，服务态度很好。半夜11点下长途车还派了免费接车。开始房间是501，挨着楼梯，就换到了505。', '短评打分': 5}
{'短评内容': '不错，服务、卫生条件什么的都挺好的。并且和一些出租车司机有比较熟的关系，叫车比较方便。', '短评打分': 5}
{'短评内容': '一如既往地好', '短评打分': 3}
{'短评内容': '每次来景洪都住这里，干净，安静，实惠，服务也热情', '短评打分': 5}
{'短评内容': '干净，简单，挺好的 ，便捷酒店就是这样的咯，主要是够干净。停车位比较紧张，前台就两个人，客人多了，check in要等很久。周围有很多吃饭的餐馆。', '短评打分': 5}
{'短评内容': '不错，非常满意！环境也很好，旁边就有小吃街', '短评打分': 5}
{'短评内容': '非常有性价比的宾馆，非常适合穷游的来住。\n周围吃饭的地方非常多，离版纳的客运站打车也就是起步价。', '短评打分': 5}
{'短评内容': '酒店位置可以，刚住的房间味道大，当即进行更换，服务员态度好，设施还可以', '短评打分': 5}
{'短评内容': '非常有性价比的酒店，前台态度NICE，交通位置好\n个人觉得很值得推荐', '短评打分': 5}
{'短评内容': '性价比高，前台态度好，房间还算干净，附近吃饭很方便，酒店送接机。\n缺点是A楼晚上有点吵', '短评打分': 5}
{'短评内容': '房间设施卫生都非常好，服务人员都很热情，\n版纳景美，景洪人更热情。', '短评打分': 5}
{'短评内容': '酒店位置很方便出行，卫生不错，服务很好，尤其是提供接送机，但是床上用品可能是有些问题，身上起了很多红肿的包，难受得很，下次也不敢住了呀', '短评打分': 1}
{'短评内容': '晚上11点住进酒店，第2天早上起来身上起了一个大红包，很痒，以为是蚊子咬的，没在意，可是第三天早上起来，背上又多了三个大红的肿包，不知道是不是床单的问题啊，可是，这旅游就没心思了，太难受了呀', '短评打分': 1}
{'短评内容': '酒店位置很方便出行，卫生不错，服务很好，尤其是提供接送机、租车、订车票、景点门票等一条龙服务，而且还有优惠。', '短评打分': 5}
