{'短评内容': '感谢一大早住进酒店，很方便安静', '短评打分': 3}
{'短评内容': '酒店的环境还算可以，服务态度非常好。就是硬件设施不完善，睡的床还下陷，被单不是太干净。早点就像家庭作坊一样吃馒头，咸菜。', '短评打分': 1}
{'短评内容': '房间还OK，被子薄了点，不过提供网线，可以上网，离火车站和汽车站也不是很远，有早餐，性价比还行吧~', '短评打分': 5}
{'短评内容': '其它倒没什么，早餐实在不敢恭维，太垃圾了', '短评打分': 5}
{'短评内容': '酒店还不错，服务也还可以，位置不远不近距离火车站，不大好', '短评打分': 5}
{'短评内容': '房间的装修都还行，服务还是蛮好的，价格还是挺合适的。', '短评打分': 5}
{'短评内容': '酒店不错的啊 卫生状况好,\\房间比较安静,', '短评打分': 5}
{'短评内容': '打车不好打  有时候要等很长很长时间  或者走到大街那边去打 早点也不好', '短评打分': 3}
{'短评内容': '酒店太差劲，性价比完全不行，连个一次性的拖鞋都没有，住的不舒服', '短评打分': 3}
{'短评内容': '位置还行，房间还不错，价格服务都还可以总体看来酒店还是挺好的。', '短评打分': 5}
{'短评内容': '到火车站比较方便', '短评打分': 5}
{'短评内容': '设施很全，收拾也干净，蛮喜欢。', '短评打分': 5}
{'短评内容': '房间布置不错，舒适度挺高的，卫生什么的也到位。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也可以，总的来说还是可以的。', '短评打分': 5}
{'短评内容': '我们住的房间面积很大，宽敞明亮，采光也很好，隔音效果也可以，晚上挺安静的。', '短评打分': 5}
{'短评内容': '酒店早餐太差了，服务环境还可以，地理位置也不错，要是早餐能提高一些就更好了', '短评打分': 3}
