{'短评内容': '房间空间大，设施齐全，前台接待员服务好，服务周到！', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '服务很好 环境不错 价格优惠', '短评打分': 5}
{'短评内容': '酒店环境比较齐全，服务比较周到，酒店设施比较新。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体还行。干净卫生。', '短评打分': 5}
{'短评内容': '不錯吧，深圳的。', '短评打分': 5}
{'短评内容': '酒店不错，物超所值', '短评打分': 5}
{'短评内容': '还算可以吧，就是酒店位置不太理想', '短评打分': 5}
{'短评内容': '干净卫生房间也够大地理位置偏了些', '短评打分': 5}
{'短评内容': '价格少许高了', '短评打分': 5}
{'短评内容': '马路就在枕头边  太吵了', '短评打分': 3}
{'短评内容': '哈哈哈哈', '短评打分': 4}
{'短评内容': '呵呵红红火火', '短评打分': 4}
{'短评内容': '哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '非常好的一次入住体验，服务很好，值得推荐', '短评打分': 3}
{'短评内容': '出行不是很方便 别的都很好', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '酒店位置不错，房间隔音好，卫生也不错，早餐不要点套餐，份量太少，要单独点。', '短评打分': 5}
{'短评内容': '比较陈旧', '短评打分': 4}
{'短评内容': '还不错，值', '短评打分': 3}
{'短评内容': '感觉很不错。环境安静，住的也很舒服，感觉里面很干净。', '短评打分': 5}
{'短评内容': '和市区较远，交通不便，条件不好，不想推荐', '短评打分': 1}
{'短评内容': '服务不错，环境很安静。三楼为休闲楼层，价格也不贵。', '短评打分': 5}
{'短评内容': '酒店的硬件设施还不错，包括电视卫生间都很好，就是交通不是很便利，打车比较麻烦。', '短评打分': 5}
{'短评内容': '对这个酒店的服务真的是无语了，不会再住了。。。。。。', '短评打分': 1}
{'短评内容': '酒店不错的说~~只是前台MM居然对我的第一代未过期身份证很是纠结，我无语~~~~~', '短评打分': 5}
{'短评内容': '环境良好，交通方便，早餐也不错，就是去的时候气温低，采暖不好。', '短评打分': 5}
{'短评内容': '位置比较偏，但机场大巴直接可以到达，酒店的设施一般', '短评打分': 5}
{'短评内容': '位置太偏小，出行不方便！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '在一楼早餐，居然只能点一个肉丸汤，晕倒..................', '短评打分': 5}
{'短评内容': '早餐太差了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净，还可以，就是前台效率太低，态度一般般拉。。。', '短评打分': 5}
{'短评内容': '酒店服务规范很好', '短评打分': 3}
{'短评内容': '酒店不错，位置太偏，早餐不好吃。下次不会住了。', '短评打分': 5}
{'短评内容': '还不错。 就是有点偏僻。价格和环境相符，但没有四星级的服务和设施。', '短评打分': 5}
{'短评内容': '這幾天晚上還比較冷,酒店無煖氣供應,只有冷氣\n\n早餐比較單調,品種太少\n\n位置有點逺\n\n服務態度還是很不錯的', '短评打分': 1}
{'短评内容': '还可以，性价比比较高，有免费的自助早餐，离龙岗中心城也不远', '短评打分': 5}
{'短评内容': '整个感觉还是不错，服务人员比较注意酒店的形象，唯一的美中不足是北面的房间窗户都被封死了，很可惜，酒店方面应该重新把它打开。\n', '短评打分': 5}
{'短评内容': '酒店比较干净，价格合理，交通比较方便，下次还会入住', '短评打分': 5}
{'短评内容': '如果去龙岗出差想住四星，选择这家酒店还是不错的\n', '短评打分': 5}
{'短评内容': '商务套房很豪华，可惜没配电脑。与同等级酒店相比，早餐水平有待提高', '短评打分': 5}
{'短评内容': '房间布置挺温馨，设施挺齐全，打扫也很干净，住的相当舒适。', '短评打分': 5}
{'短评内容': '床上用品很干净很整洁，这点很满意，用的很放心。', '短评打分': 5}
{'短评内容': '位置有些偏，但是交通蛮方便的，性价比还可以。', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通很便利，服务很热情，房间也干净整洁，住的很开心。', '短评打分': 5}
{'短评内容': '酒店位置有些偏，打车还凑合，房间很干净，服务不错，性价比也很好，如果下次在附近出行会考虑的', '短评打分': 5}
{'短评内容': '环境一般，卫生设施还可以，价格的话是偏高了服务挺一般，位置也是挺偏了。', '短评打分': 1}
{'短评内容': '酒店的位置优越，公交车挺多的，出行省时省力。', '短评打分': 5}
{'短评内容': '酒店的配套设施齐全，卫生间里还配有浴缸，收拾的挺干净的，好用又放心。', '短评打分': 5}
{'短评内容': '房间面积比较大，很干净，有足够的活动空间，光线也很充足。', '短评打分': 5}
{'短评内容': '客房弄的很干净，服务人员看起来也很有素质，会主动帮忙拿行李，微笑着跟你打招呼啊，等等~~~~', '短评打分': 5}
{'短评内容': '我感觉这家酒店在服务方面做的很好，对客人的要求能够及时做到回应，很满意。', '短评打分': 5}
