{'短评内容': '这个价格，认了吧。经济', '短评打分': 3}
{'短评内容': '性价比不错，要求不高可入住。', '短评打分': 4}
{'短评内容': '总体感觉还不错', '短评打分': 5}
{'短评内容': '恩', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 4}
{'短评内容': '还可以，价格比较实惠', '短评打分': 3}
{'短评内容': '也许是价格低吧。反正房间设施就是老了。', '短评打分': 2}
{'短评内容': '天冷空调都不给开。房间卫生也不怎么滴', '短评打分': 2}
{'短评内容': '房间还挺干净的，洗澡的水也挺大。暖气很小', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮朋友定的，他们说不错', '短评打分': 5}
{'短评内容': '房间还好吧！就是被子不太好', '短评打分': 3}
{'短评内容': '酒店位置有点偏僻，离公交站有点远，房间卫生一般，无线网络基本无法上网。住宿押金只能收现金，POS机没有预授权功能。', '短评打分': 4}
{'短评内容': '还可以吧  感觉诶哈行', '短评打分': 3}
{'短评内容': '设备简陋，拖鞋都是塑料的。还豪华大床房，够不够一米五都难说。只是为了离清上园近。订单上写的返现，结果退押金时候还是按原价，着急走，懒的理论。那你干脆别写呀，骗子。最不满意的一次。', '短评打分': 3}
