{'短评内容': '酒店住了很多次了 非常不错 重点是特别干净 而且氛围好', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '卫生，和里面环境很差，外面看着光鲜里面很差', '短评打分': 1}
{'短评内容': '酒店算是在相对繁华的地段吧！出行很方便！周边有商场超市等！离火车站页很近！ 酒店内部环境还好！就这些', '短评打分': 5}
{'短评内容': '好，服务好，环境般', '短评打分': 5}
{'短评内容': '很好，房间很大，很宽敞！', '短评打分': 4}
{'短评内容': '挺好的，房间很暖和！', '短评打分': 5}
{'短评内容': '环境没的说，经常住，电影房干净整洁。服务态度各方面满分', '短评打分': 5}
{'短评内容': '干净卫生，环境不错。', '短评打分': 5}
{'短评内容': '环境还可以 ', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '很简单的一个酒店。只能什么说。实在没有什么辞藻去形容。优势就是第一价钱很便宜。第二，就是很方便。楼下设施很齐全', '短评打分': 3}
{'短评内容': '很简单的一个酒店。只能什么说。实在没有什么辞藻去形容。优势就是第一价钱很便宜。第二，就是很方便。楼下设施很齐全', '短评打分': 3}
{'短评内容': '酒店的位置不错，在市中心。房间设施尚可，就是暖气不行需要空调取暖。洗澡水量不行。房间的异味太重。', '短评打分': 5}
{'短评内容': '极差的酒店，还4星？扯吧，碰哪都能掉下来的那种，设计极不合理的卫生间，香皂洗头水都没地放，电视不能看，热水壶线哪个插座都够不到，真不知道怎么想的都是。早上饭都不想吃就走了，太差了', '短评打分': 1}
{'短评内容': '干净，好找，在当地的条件来说相当不错。唯一不喜欢的是在房间里接到骚扰电话。', '短评打分': 5}
{'短评内容': '楼下KTV，半夜骚扰电话，人杂，房间条件差，早餐难吃', '短评打分': 1}
{'短评内容': '在内蒙古西部巴彦淖尔市有这样的酒店，也很好的，地理位置好，办事方便，房间设施比较好，服务有待进一步提高', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '位置比较热闹,房间设施还可以.火车声音比较吵,修理网络速度比较慢.', '短评打分': 5}
{'短评内容': '酒店挺干净就是早餐种类不是很多', '短评打分': 3}
