{'短评内容': '价格不便宜，没早餐，蛮干净的，香水味也好闻', '短评打分': 5}
{'短评内容': '位置不错，距离地铁很近', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '床单不太干净，其余的都很棒', '短评打分': 4}
{'短评内容': '商务出行可以', '短评打分': 5}
{'短评内容': '房间设施还不错，挺新的，位置比较偏，定位导航有误，不好的是酒店水单价格和携程价格相差太大，一个是313一个是263，这点不太好', '短评打分': 4}
{'短评内容': '服务非常差劲，那个服务员都非常不专业，反馈信息前后矛盾，办事效率极低', '短评打分': 1}
{'短评内容': '不错，及时', '短评打分': 5}
{'短评内容': '地方离光谷广场有点远，酒店环境不错，安静整洁', '短评打分': 5}
{'短评内容': '还算不错的啊', '短评打分': 4}
{'短评内容': '环境不错很干净', '短评打分': 5}
{'短评内容': '适合出差', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '真的还不错，下次还去', '短评打分': 5}
{'短评内容': '方便，不错！！！！！', '短评打分': 4}
{'短评内容': '空调什么的 都是酒店控制 要么热死 冬天冷死  房间不大', '短评打分': 5}
{'短评内容': '房间基本干净，但是服务态度不好，水龙头一开跟地震一样声音太大，卫生间比较小，隔音也不好。入住体验不好。', '短评打分': 3}
{'短评内容': '挺好的，算，性价比适中，地理位置也不错', '短评打分': 3}
{'短评内容': '蛮好的，算是性价适中，地理位置也不错', '短评打分': 3}
{'短评内容': '还可以，环境还不错。', '短评打分': 4}
{'短评内容': '交通便利，设施齐全，为发票寄给客人多次联络，说明服务到位，谢谢了！', '短评打分': 5}
{'短评内容': ' 总体非常不错的啦！只是为什么我在网上订的房间在总台那确认直接成了特价房了呢？不过特价房也还是挺满意的，很方便，谢谢啦！', '短评打分': 3}
{'短评内容': '环境不错，住过很多次！', '短评打分': 3}
{'短评内容': '很好，每次入住都很满意.................', '短评打分': 5}
{'短评内容': '，酒店很干净，不错！', '短评打分': 3}
{'短评内容': '经济型酒店的通病，隔音不好，anyway，对得起价格吧', '短评打分': 5}
{'短评内容': ' 入住了，干净价廉服务太度热诚', '短评打分': 3}
{'短评内容': '卫生比较不错，环境好，特别值得一提的是那个给力的吹风机！只是所在的创业街略微荒凉了一点点，但是交通便利弥补了这点不足！', '短评打分': 5}
{'短评内容': '环境还不错，离华中科大的距离也不是太远！', '短评打分': 5}
{'短评内容': '房間裡半夜能聞到不知哪裡來的煙味，把我燻醒！二樓窗外是大平台，很沒安全感。', '短评打分': 1}
{'短评内容': '挺干净，不错！', '短评打分': 3}
{'短评内容': '成功入住，已经入住第三次，价格、卫生条件各方面都非常不错！', '短评打分': 5}
{'短评内容': '    感觉还行，和想像的差不多', '短评打分': 3}
{'短评内容': '说是光谷周边酒店，离光谷太远了，步行根本不可能。位置也比较难找，非常隐蔽。房间没啥问题，很新，周边环境也不错。就是网速太慢了，几乎等于没有。。。。', '短评打分': 5}
{'短评内容': '酒店服务不错，内部设施也挺好的。十分满意', '短评打分': 5}
{'短评内容': '干净，安静，方便，就是服务人员不热情，冷淡，旁边的粥馆推介很好吃呢', '短评打分': 5}
{'短评内容': '入住过很多次了，，离出差的公司比较近。性价比也比较高', '短评打分': 5}
{'短评内容': '挺方便，服务也很周到，快捷酒店，是有点简陋。总的来说不错了', '短评打分': 5}
{'短评内容': '房间挺干净，服务也不错，快捷酒店能做到每个房间都有吹风机，不错。就是房间有点小。总体不错', '短评打分': 5}
{'短评内容': '老住户了，很好，赞一个……楼下的粥馆很好吃的！', '短评打分': 5}
{'短评内容': '基本还可以 属于离光谷开发区比较近也价位也合适的酒店，但是和同价位的如家比起来 条件差了一些 我还是宁愿远一点 住在如家 ', '短评打分': 5}
{'短评内容': '环境比较安静，房间内收拾得很干净，性价比高，但是房型偏小，总体感觉还可以', '短评打分': 5}
{'短评内容': '酒店客服好像不太热情', '短评打分': 3}
{'短评内容': '房间挺干净的。室内设备都很齐全。有网络，很方便。', '短评打分': 5}
