{'descr': '交通方便，交通方便，交通方便。', 'star': 4}
{'descr': '设施有点', 'star': 3}
{'descr': '早饭不错，中午自助也还行，虽然设施较旧但还干净，下次再订', 'star': 5}
{'descr': '服务很好，餐厅也不错', 'star': 5}
{'descr': '火车站附近，交通方便。房间干净整洁，早餐不错。', 'star': 4}
{'descr': '物超所值，升级房', 'star': 5}
{'descr': '不错，无论服务态度还是质量都可以。', 'star': 5}
{'descr': '地理位置靠近车站，其他没有啥好的', 'star': 2}
{'descr': '服务好！房间舒服，很棒', 'star': 5}
{'descr': '挺不错的啊。', 'star': 5}
{'descr': '评价晚了，总之印象很好。', 'star': 5}
{'descr': '淡季价格还可以', 'star': 5}
{'descr': '房间设施一般，房子比较陈旧', 'star': 4}
{'descr': '不错，还可以', 'star': 4}
{'descr': '这价位不如住如家了', 'star': 2}
{'descr': '悠闲的房间，很大，很方便……干净', 'star': 5}
{'descr': '房间整洁，干净，早饭很好，煎饺很好吃，香酥虾很好吃，冬天的牛奶暖暖的，咖啡虽是一般，懒洋洋的起床能喝上也是好的！', 'star': 5}
{'descr': '住了两晚，同事反映不错，下次继续', 'star': 3}
{'descr': '外部看不错，大厅，餐厅也可以，房间有些老旧', 'star': 3}
{'descr': '环境还可以。Wi-Fi信号好。晚上睡觉很安静', 'star': 3}
{'descr': '干净，舒适，不错，我10月1去的，店前在修路，有点不方便。', 'star': 5}
{'descr': '住宿便宜，早餐很好，总体性价比不错，下次应该还倒这里来', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '可以，早餐不错，房间有点旧，刚进屋有点味。', 'star': 5}
{'descr': '房间挺大的，9层还有棋牌室，不过棋牌室空调不太给力，距离火车站较近，晚上睡觉有时候会有火车的声音，车位和房源比较充足，另外夫妻住宿海需要出示结婚证，这个比较麻烦，不过据说是秦皇岛市最近在严打。。', 'star': 5}
{'descr': '酒店还可以！干净，服务到位，生活设施齐全。有宽带，不过还得租电脑！早餐不错！出行还好（可能与秦皇岛站正修有关，要不现在客人可能更多！）', 'star': 5}
