{'短评内容': '这个酒店可以的', '短评打分': 5}
{'短评内容': '还不错。。。。就是房间的马桶太旧了。。。。。', '短评打分': 5}
{'短评内容': '第三次入住了，蛮好的', '短评打分': 5}
{'短评内容': '老四星了，实在是太差了。感觉很脏很脏，马桶都发黄了，淋浴房简陋，也发黄，毛巾被套都有线条和破洞，空调没效果。有股霉味', '短评打分': 3}
{'短评内容': '还行吧，来娄底出差可以考虑一下这里', '短评打分': 5}
{'短评内容': '早餐可以，可以加床，房间宽，酒店位置好，可以停车。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '刚拍了零时去不了竟然不可以取消&hellip;郁闷！与京东客服联系，竟然说找合作方联系，合作方更加卑鄙，就是忽悠你一通了事！强哥啊，京东酒店赶快规范起来吧要不会损人害已', '短评打分': 2}
{'短评内容': '满意满意，干净整洁，只是服务员态度差一点', '短评打分': 4}
{'短评内容': '酒店环境还是可以的，就是不送早餐有点有点⋯', '短评打分': 5}
{'短评内容': '星级酒店，环境还是可以的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '比较旧的酒店，设备设施都比较老式，比较不好用，唯一比较好的就是离火车站比较近。酒店餐厅比较大，用餐比较方便。', '短评打分': 3}
{'短评内容': '位置 服务 装修 性价比 超级棒 ', '短评打分': 5}
{'短评内容': '位置 服务 装修 性价比 超级棒 ', '短评打分': 5}
{'短评内容': '位置 服务 装修 性价比 超级棒 ', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '前台服务热情周到，华天总体不错。 装修有点旧了未升级改造，另外电梯进楼层要来开一扇门不方便', '短评打分': 4}
{'短评内容': '这个价位超值，早餐也丰富，比金和康年服务好多了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很不错，团购超值。', '短评打分': 5}
{'短评内容': '一般  送的果盘都是烂的     结账时等了半个小时', '短评打分': 1}
{'短评内容': '办理入住时身份证都忘记给我了，发现也没告诉我，后来是我自己发现忘记拿身份证后才让我下去拿的.退房时前台只有一个不懂办理退房手续的人在,在我前已经有4位客人在等待办理退房手续了，后来等了近半小时会办手续的前台工作人员才过来.', '短评打分': 1}
{'短评内容': '总体感觉不错，房间很干净。旱餐也还算不错。就是感觉价格有点贵。', '短评打分': 5}
{'短评内容': '＋交通很方便，离办事的地方很近。以后还会住。', '短评打分': 3}
{'短评内容': '卫生间有点小，其他都不错。', '短评打分': 3}
{'短评内容': '位置挺好，出行挺方便，服务挺周到，设施基本齐全，整体感觉不错。', '短评打分': 5}
{'短评内容': '房间不大，采光和通风挺好，感觉很舒适，早餐是自助的，种类挺多的。', '短评打分': 5}
{'短评内容': '酒店各方面都还不错，如果价格能实惠点就更好了。', '短评打分': 3}
{'短评内容': '服务挺好，解决问题挺及时的，房间很干净，洗漱用品挺齐全，用着很方便。', '短评打分': 5}
{'短评内容': '酒店条件还不错,位置好距离我出行办事的地方还是蛮近的,而且服务人员也很热情,周到.', '短评打分': 5}
{'短评内容': '酒店整体给我感觉挺一般化的,从室内到周边环境都不能算是最好,不过住着还算比较舒服.', '短评打分': 3}
{'短评内容': '不好，非常不好，以后不会住了，房间太小了', '短评打分': 3}
{'短评内容': '房间小，不值得啊不值得，差，不好，非常不好', '短评打分': 1}
