{'短评内容': '度假村风景不错，非假期人少。房间宽大舒服。', '短评打分': 5}
{'短评内容': '电视机开不了', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '环境不错，是同学推荐来的，适合聚会拓展训练之类活动。', '短评打分': 4}
{'短评内容': '这里特别适合商务出行，订的双人间，因为是淡季酒店提升成了别墅房。还送了高尔夫体验卷，带着小朋友一起玩的挺开心。度假村设施挺多。就是稍微有点旧咯，如果能够升级一下设施就很不错晚上吃了度假村的饭店。感觉饭店的服务很好，如果住户在别墅，还有酒店人员用餐提醒的温馨提示。两个大人和一个宝宝一共用了203，味道好正，而且食材新鲜，我觉得好值得！', '短评打分': 5}
{'短评内容': '环境很好，宾馆装修升级成别墅。问客服说没有包含门票，但实际上是有包含2张门票的。', '短评打分': 5}
{'短评内容': '没订成功，居然客满了！！', '短评打分': 5}
{'短评内容': '空气非常好，安静。定的标间，安排入住银华楼，房间夠大，舒适干净。整个度假村管理规范，服务到位。有机会再来。', '短评打分': 5}
{'短评内容': '酒店环境非常好，服务也不错，房间干净卫生，每间房都有很多被子，枕头。可以住16人，下次再来', '短评打分': 5}
{'短评内容': '房价虽然不贵，但住的实在太难受，基本没有什么人去，我订的是238的银湖宾馆楼，到了后酒店说自动给我们升级别墅房，实在太差了，门窗都锁死打不开的，房间长时间没法通风一股霉味，和酒店沟通要求换房没有成功，使得大家都一整晚都没有睡好。真心后悔！', '短评打分': 3}
{'短评内容': '房间很干净，舒适，晚上能听见虫鸣，空气非常好！住得很好！', '短评打分': 5}
{'短评内容': '都还可以', '短评打分': 4}
{'短评内容': '环境非常好，树木很多，空气清新得很。沿湖边走半圈，边走边玩用了一个多小时，看到有不少游乐项目。最喜欢晚上，宁静的氛围，草木的清香，很舍意。不足的地方是房间设施有点旧，主要是空调有些吵，还要手动调出风口。总体来说很满意', '短评打分': 5}
