{'短评内容': '不错，出门就可以漂流，有停车场，早餐还比错', '短评打分': 5}
{'短评内容': '品种丰富、早餐很好', '短评打分': 5}
{'短评内容': '太一般了，无非是离九曲溪码头近，院子里及房间里有下水道的味道！', '短评打分': 2}
{'短评内容': '很一般！', '短评打分': 2}
{'短评内容': '个人经验，去武夷山首选的酒店，已第二次入住。', '短评打分': 5}
{'短评内容': '去武夷山第二次入住的酒店，各方面非常满意！', '短评打分': 5}
{'短评内容': '酒店设施齐全，早餐吃的东西多，味道不错，而且房间也非常干净，整洁舒适，酒店位于武夷山景区内，离九曲漂流码头非常近。', '短评打分': 5}
{'短评内容': '房间很大，自助早餐品种丰富。非常满意', '短评打分': 5}
{'短评内容': '房间很大，自助早餐品种丰富。非常满意', '短评打分': 5}
{'短评内容': '房间外观是现代质感的建筑，简洁典雅，造型刚中有柔，尽显青岛地域建筑风情。房间内厅和卧室都是正南向的。', '短评打分': 4}
{'短评内容': '环境好，服务好…周边购物也很方便。很好很好很好很好很好很好很好很好很好很好很好很好很好…………………', '短评打分': 5}
{'短评内容': '环境很好，又靠近风景区，家庭出行亲自旅游好地方，酒店设施一流，服务也好，卫生条件什么的都很好，非常满意', '短评打分': 5}
{'短评内容': '环境很好，又靠近风景区，家庭出行亲自旅游好地方，酒店设施一流，服务也好，卫生条件什么的都很好，非常满意', '短评打分': 5}
{'短评内容': '环境很好，又靠近风景区，家庭出行亲自旅游好地方，酒店设施一流，服务也好，卫生条件什么的都很好，非常满意', '短评打分': 5}
{'短评内容': '环境很好，又靠近风景区，家庭出行亲自旅游好地方，酒店设施一流，服务也好，卫生条件什么的都很好，非常满意', '短评打分': 5}
{'短评内容': '位置靠近景区码头，空调没有开，总台解释管道维修，价格可不底哦', '短评打分': 4}
{'短评内容': '很好，地段很好，适合喜欢人少安静的！出门就是景区巴士，坐漂流船也很方便，酒店能提供票务支持，就是早餐不怎么样。', '短评打分': 5}
{'短评内容': '酒店对面的那家小饭店不错，良心价', '短评打分': 5}
{'短评内容': '酒店很干净，环境也幽静，交通方便，是度假的好选择。', '短评打分': 5}
{'短评内容': '也就这样了 虽然在九曲溪边上  环境和设施不够好', '短评打分': 5}
