{'短评内容': '总体感觉还不错，就是晚上火车鸣笛声有点吵', '短评打分': 4}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉 ', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。价格实惠,环境清幽,吃的选择少。', '短评打分': 5}
{'短评内容': '离火车站比较近', '短评打分': 4}
{'短评内容': '太吵了，靠近火车站。大清早就有清洁机器在工作', '短评打分': 4}
{'短评内容': '总体还好，就是入住房间跟我订的房间照片设备设施不相符差距太大。', '短评打分': 4}
{'短评内容': '房间格局不算大，有点旧， 但是看上去很整齐。没有吹风机，电视年龄太大，拖鞋没有一次性的，酒店提拱的拖鞋都可以扔了，太旧 太旧 太旧！', '短评打分': 3}
{'短评内容': '还好啦，服务很好，环境也没评论的那么夸张', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '价格高，房间太小，电视节目少而且雪花点太多，热水不热，被子还潮，总之是我住的最伤心的一次了。', '短评打分': 3}
{'短评内容': '太吵', '短评打分': 1}
{'短评内容': '太吵', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '表示很不错，很喜欢这个地方', '短评打分': 5}
{'短评内容': '还可以，新装修的酒店，干净，价格不贵下次还可以选 择', '短评打分': 5}
{'短评内容': '宜宾红达商务酒店，一出火车站就到了，挺近的，环境还可以，只是电视怎么打不开啊？', '短评打分': 3}
{'短评内容': '环境还是挺不错了 就是吵了点 而且隔音效果不行 但是总的来说不错~', '短评打分': 5}
{'短评内容': '房间干净，条件不错，临街虽然有点噪音，但是不影响睡眠', '短评打分': 3}
{'短评内容': '还可以，价格便宜，环境一般，自已出行可以考虑。', '短评打分': 5}
{'短评内容': '还可以！还算干净！因为在火车站旁有点嘈杂！！！', '短评打分': 5}
{'短评内容': '比较干净，就是早上太吵了，想睡懒觉的朋友千万不要定。', '短评打分': 5}
{'短评内容': '一般.离火车站近.有点吵.', '短评打分': 3}
{'短评内容': '酒店内部还比较干净，也很新。如果只是短宿，还是比较推荐，但如果出差到宜宾办事，不建议入住该酒店。\n距离市区较远，若在宜宾出差最好还是选择市区的酒店。\n无电梯，距离街道和铁路较近，楼下有一个停车场很吵。', '短评打分': 1}
{'短评内容': '临近火车站，周围环境不好，停车还要交费，而且前台价格是88元，亿龙却要118元，不知怎么沟通的。', '短评打分': 1}
{'短评内容': '很不错，宽敞，明亮，卫生要求不高的话，挺好的，火车站边上，比较方便坐车，还有去各大客运站的公交就在对面。早上熙熙攘攘 人声鼎沸啊，不睡懒觉就没事，总之，适合短期出游，不长期住在房间里的人。', '短评打分': 5}
{'短评内容': '酒店离火车站到挺近，但晚上隔音不好，太嘈。', '短评打分': 1}
{'短评内容': '很吵，还跑小强，周围离火车站太近了，脏乱差。蚊香竟然屋里不给配片', '短评打分': 1}
{'短评内容': '枕头很软。不过隔音很差。外面好吵...', '短评打分': 3}
{'短评内容': '住宿尚可，离火车站很近。但是没电梯，很不方便的', '短评打分': 5}
{'短评内容': '这次这次行程最满意的一家酒店。\n价格优惠。我定的88元的单间，很干净也很舒服，很划算', '短评打分': 5}
{'短评内容': '还可以，新装修的酒店，干净，价格不贵下次还可以选 择', '短评打分': 5}
{'短评内容': '环境还可以，只是离火车站很近，有点吵影响休息。', '短评打分': 5}
{'短评内容': '感觉还不错,比较满意!', '短评打分': 3}
