{'短评内容': '干净整洁；地理位置优越', '短评打分': 5}
{'短评内容': '早餐不错，炒菜，小咸菜，面条，特色的到没什么，干净卫生吧。外部环境是非常好，公园绿地很大。硬件设施不错，服务还有待加强。', '短评打分': 5}
{'短评内容': '虽然位置有点偏，但是有车出行方便，很好的服务，服务生帮提行李到房间，给小费后被拒绝了，说不收小费的，感谢帮我提行李的帅哥！印象超好', '短评打分': 5}
{'短评内容': '很安静很喜欢，盐城最好的一家酒店了，以前不知道，这次看了很喜欢，以后回来就是长住了。早餐也丰盛，价格太便宜了。经济酒店价格。', '短评打分': 5}
{'短评内容': '这是来出差的，环境简直不要太赞，吃完饭还可以在湖边散步，心情简直美丽极了。酒店设施也齐全，有沐浴也有浴盆。', '短评打分': 5}
{'短评内容': '这是来出差的，环境简直不要太赞，吃完饭还可以在湖边散步，心情简直美丽极了。酒店设施也齐全，有沐浴也有浴盆。', '短评打分': 5}
{'短评内容': '这是来出差的，环境简直不要太赞，吃完饭还可以在湖边散步，心情简直美丽极了。酒店设施也齐全，有沐浴也有浴盆。', '短评打分': 5}
{'短评内容': '不错，花园很大，性价比高，值得一住', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '硬件条件没得说，非常好，但是服务员的热情度不高，自助早餐种类不是很多', '短评打分': 5}
{'短评内容': '挺安静的', '短评打分': 4}
{'短评内容': '房间挺安静的', '短评打分': 5}
{'短评内容': '地理位置在开发区，房间有一千多间，高端，大气，上档次，因为开会所以住了这里，都是市领导啥的开会的地方，总体不错，以后来了还会住的，后面还有个公园', '短评打分': 4}
{'短评内容': '非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '离起亚工厂不是很远，比较方便，但是周边比较空旷，还是有待开发和发展的，总体很好，房间很多，有韩式房，很不错，早餐也很丰盛，以后还会来，总体不错', '短评打分': 4}
{'短评内容': '环境优雅，设施齐全，适合会务活动。服务到位，包间菜品不错⊙▽⊙。。。。。。。。\u3000\u3000\u3000\u3000\u3000′●＿＿＿＿＿＿＿＿●`', '短评打分': 5}
{'短评内容': '嗯 酒店很不错的，就是周边没啥商业。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不用说，当然好啦', '短评打分': 5}
{'短评内容': '还行！！！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '服务有待提高', '短评打分': 5}
{'短评内容': '服务有待提高', '短评打分': 5}
{'短评内容': '服务有待提高', '短评打分': 5}
{'短评内容': '服务有待提高', '短评打分': 5}
{'短评内容': '酒店地理位置远了一点，没车很不方便', '短评打分': 5}
{'短评内容': '环境不错，地处开发区，周围啥也没有，所以比较安静。由于楼层不高，所以很多房间都距离大堂很远，走走也要5-10分钟，要是有行李就比较麻烦了。服务不是很主动，基本上你不要求，工作人员是不会出现的，比较适合“低调出行”的人。餐厅一般，价格比较高，菜品质量也一般，主要是政府接待，所以对我们这些平民就不是很待见了，属于可有可无的客人。距离市区有些距离，有车还行，不然出行就不是很方便了。', '短评打分': 5}
{'短评内容': '酒店很大，很新，位置偏远，如自驾车很合适。', '短评打分': 5}
{'短评内容': '环境优雅，安静！就是打车不方便，不过有叫车服务！！', '短评打分': 5}
{'短评内容': '上次入住时遇电梯出问题没有人理会。这次本来是要住市中心的酒店的，但是为了第2天拜访客户方便，就忍了，任然住这里。\n适合到开发区去出差的人员居住。地理位置比较偏，周围没有可以吃饭的酒店和配套设施，出租车困难。\n酒店商场供应的基本是高档商品，买的土特产也是比市场上贵很多。建议以后商场多准备一些日用品以备给出差用不惯酒店用品的人员选买。顺便提一句女士日用品可要备哦！', '短评打分': 5}
{'短评内容': '酒店的设施还够得上五星，就是离市区比较远，离市中心10公里，旁边没有任何娱乐设施。游泳池的水温偏低，不加温，这种天气的话比较受不了。泳池干净、漂亮。早餐还可，花样挺多，服务也可，唯一小朋友另外收费48/位。\n最郁闷的是没有wifi，只有网线，ipad没用啊', '短评打分': 5}
{'短评内容': '酒店环境很好。就是早餐不丰富', '短评打分': 3}
{'短评内容': '可能是市政府宾馆的缘故，酒店员工只认政府官员，没有为普通宾客的服务意识，前台和大厅的员工态度生硬；房间面积小且距离很远；房间里6个顶灯坏了3个，卫生间感应灯总是自灭，卫生间和房间都是黑乎乎的；一次性洗漱用品是劣质的；润肤露干的都挤不出来；拖鞋一打开包装一股刺鼻的味道。\n酒店的管理服务实在对不起如此高的房价，这样的酒店还是让政府去买单吧！\n\n唯一值得赞许的是床品质量很好，睡眠很舒适。', '短评打分': 1}
{'短评内容': '环境很好很安静，装修高档服务不错，休息的很好，推荐', '短评打分': 5}
{'短评内容': '环境还好，安静，装修很好很显档次，服务也好，适合接待贵宾\n', '短评打分': 5}
{'短评内容': '大堂服务很好，早餐一般，地理位置太偏了！', '短评打分': 5}
{'短评内容': '环境很好！就是价格略高些，而且交通偏僻了一些！', '短评打分': 5}
{'短评内容': '整体感觉还不错，二楼是韩式房，有朋友戏称为炮房。。。', '短评打分': 5}
{'短评内容': '属于园林式酒店，环境超好，服务也超棒的。夜晚可以看到运河夜景。安静。价格也不贵的。我们来客人都是带到这里来住宿。一般都很不错。\n包间价150元/位。价格还是蛮高的。不过可以坐大厅也不错的。', '短评打分': 5}
{'短评内容': '名义上的五星级，饮食是典型的盐城特点，咸，味重，', '短评打分': 3}
{'短评内容': '前台工作很糟糕，订了3间房，其中一间朋友入住后，竟然有陌生人也拿着同房间的房卡开门进去！ \n', '短评打分': 1}
{'短评内容': '前台工作很糟糕，订了3间房，其中一间朋友入住后，竟然有陌生人也拿着同房间的房卡开门进去！', '短评打分': 1}
