{'短评内容': '酒店是含早的 起的晚住的五天都没去看过有哪些品种的早餐 但是对于来贵阳旅游的 或者家庭入住是非常不错的选择 客房服务也很好 叫换床单立马就来了 前台的办理工作也很速度 下次来也一定选漫初 （放在桌上的饮料已经过期了 可以加一个吹风机在卫生间）', '短评打分': 5}
{'短评内容': '不能加床，有一个公用停车厂，位置还算好找，门前是单行线', '短评打分': 5}
{'短评内容': '早餐比较清淡，适合，不错', '短评打分': 5}
{'短评内容': '经常住，就不多评价了', '短评打分': 4}
{'短评内容': '早餐一直就是那几样咯', '短评打分': 4}
{'短评内容': '还行。。。。。。', '短评打分': 5}
{'短评内容': '经常入住一家，但是这次给安排的房间有点差，不是很满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '酒店不错   周围交通方便', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '不错的宾馆', '短评打分': 4}
{'短评内容': '不错，每次来贵阳都住这儿', '短评打分': 4}
{'短评内容': '好吧', '短评打分': 5}
{'短评内容': '挺好的，早餐可以再提升一下', '短评打分': 5}
{'短评内容': '墙面到处都是坏的，连锁店，不统一工装，有点怪', '短评打分': 4}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '设施有点老，洗澡的喷头都坏了 ，其他的都还行，价位比较好', '短评打分': 4}
{'短评内容': '环境不错、隔音很好、交通方便。', '短评打分': 5}
