{'短评内容': '位置交通便利', '短评打分': 4}
{'短评内容': '地理位置特别好，而且价格很便宜，适合一个人出差住宿，周围就有大型购物广场或者电影院，很方便。上电梯要刷卡很安全', '短评打分': 5}
{'短评内容': '还行吧，没有地毛毯', '短评打分': 5}
{'短评内容': '酒店的位置确实很不错，离南屏步行街、火车站都很近，楼下就是地铁站公交站，但是还不吵，这个非常好 如家的设施一直以来就是标配，没什么好说的，但是酒店客房还是非常干净的，工作人员打扫卫生也很及时，WiFi信号很好，但是电视机频道略有不足，我住的那间房子湖南卫视一直没有声音，比较讨厌 另外门锁需要加强，我住的是506房间，门锁反锁之后一直会报警，打电话给前台说是让我不要反锁了，只用链条锁，虽然在安全上没', '短评打分': 5}
{'短评内容': '酒店位置很好，交通便利', '短评打分': 4}
{'短评内容': '很好，干净卫生，服务态度很好，性价比高，出行和购买、休闲都很方便，地铁和公交站都很近', '短评打分': 5}
{'短评内容': '是一家出差和旅游居住的酒店，性价比很好，交通方便，出去不远就有地铁和公交，购物休闲也很方便，出去直走不到1000米就是南屏步行街和公园', '短评打分': 5}
{'短评内容': '嗯\n服务好\n效率高\n还挺不错的啦', '短评打分': 5}
{'短评内容': '服務態度不錯呀，本來住的有煙味，後來給我們換了另外一間', '短评打分': 5}
{'短评内容': '酒店服务非常好，刚刚下楼梯，服务员帮我把箱子提下来，很热情，里面环境很不错，还有净水器。11楼空间很大，环境很好', '短评打分': 5}
{'短评内容': '房间不是很大！临时住还可以', '短评打分': 5}
{'短评内容': '地方不错 唯一的缺点就是没窗', '短评打分': 5}
{'短评内容': '服务好好好', '短评打分': 5}
{'短评内容': '太小了', '短评打分': 4}
{'短评内容': '酒店服务很好，前台服务都很热心，帮着注册会员，选择更优惠的会员价格。在五华区，出门逛街也很方便。', '短评打分': 5}
{'短评内容': '交通方便，到火车站步行只要20分钟左右，到南屏步行街10分钟左右，到昆明实验中学坐公交k9可以直接到东部客运站，再转车到石林风景区。到翠湖公园也很近，昆明火车站坐44路可以到民族村。', '短评打分': 4}
{'短评内容': '物美价廉，交通方便', '短评打分': 4}
{'短评内容': '很不错，干净舒适。', '短评打分': 5}
{'短评内容': '很不错，干净舒适。', '短评打分': 5}
{'短评内容': '太它妈的假了，没窗子，房间小，真心不推荐', '短评打分': 5}
{'短评内容': '没有不满意的地方，睡得很舒适', '短评打分': 3}
{'短评内容': '房间不是一般的小，隔音太差，性价比不高，不推荐', '短评打分': 5}
{'短评内容': '\n酒店地理位置很方便，离小吃街很近，离火车站公交车15分钟就到了。酒店门口在修地铁，以后交通会更方便了。赞！', '短评打分': 3}
{'短评内容': '修路造成出行和就餐不太方便！店面门脸及大堂太小、前台服务没见笑脸！其它还可以！', '短评打分': 3}
{'短评内容': '房间不错，一眼看上去就好舒适，地段也很好，要去购物好方便，周边吃的也很多。赞一个，下次到了，还住那！！！！', '短评打分': 3}
{'短评内容': '还行 挺方便找的。之前一早就订下了，所以来的时候比较好找，前台服务还可以的。', '短评打分': 5}
{'短评内容': '如家的标识牌不是很明显。从机场打车过来将近二十块钱，目前正在修地铁，晚上较喧闹！服务态度好！房间干净整洁！网速一般！', '短评打分': 3}
{'短评内容': '酒店位于昆明市中心，到昆明各地都比较方便。但由于修地铁，酒店门口打车比较困难，需要走到三百米外的人民路上去。房间的大小一般，设施已经显得有些陈旧。不过服务态度倒是可以。', '短评打分': 5}
{'短评内容': '员工服务到位，由于修地铁，偶尔有点吵，值得入住', '短评打分': 5}
{'短评内容': '比较干净舒适，以后还会选择如家。', '短评打分': 3}
{'短评内容': '位置便利，房间环境不错', '短评打分': 3}
{'短评内容': '房间不错，进店时楼梯有点高.不太方便。服务还好。', '短评打分': 5}
{'短评内容': '房间挺干净.早上服务员有些吵.叫服务员偶有迟缓现象', '短评打分': 3}
