{'短评内容': '不错，性价比挺高的，前台的服务也很专业', '短评打分': 5}
{'短评内容': '非常好的酒店，设施齐全，干净整洁。尤其印象深刻的是服务的细节，譬如，得知客人入住，服务员提前在房间里烧好了热水，准备了水果，再譬如，我的卡落在了前台，前台服务员特意用标签做了记号，以免混乱丢失。这些暖人的细节，虽说是微不足道的，但是它体现了一个服务行业的尽职尽责，我常年在外住大小酒店，可以说有许多大城市的五星级酒店也很难做到在细节上的这种体贴入微的服务！必须赞！', '短评打分': 5}
{'短评内容': '一般般。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '适合开车的入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '不错。很好。一直忘了过来点评', '短评打分': 4}
{'短评内容': '服务，设施齐全都挺好，整体感觉还可以', '短评打分': 4}
{'短评内容': '这个还行挺不错的服务也周到！', '短评打分': 3}
{'短评内容': '环境卫生还可以也比较安静，就是人少的统一入住推荐入住？', '短评打分': 3}
{'短评内容': '干净卫生，地方偏了点，推荐入住', '短评打分': 3}
{'短评内容': '还可以，房间网速挺快的，', '短评打分': 3}
