{'短评内容': '很好，满心的', '短评打分': 5}
{'短评内容': '這次入住新樓整體不錯', '短评打分': 5}
{'短评内容': '很好 性价比很高', '短评打分': 5}
{'短评内容': '出差两天还可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店环境不错。卫生条件也很好！', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '一个干净舒适的酒店', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '老牌酒店，服务很不错，就是前台效率低些', '短评打分': 4}
{'短评内容': '酒店位置不错，出行蛮方便的，周边花草树木都有，环境很不错，服务很好，随叫随到，总体感觉住着蛮好的', '短评打分': 5}
{'短评内容': '住宿环境很好，绿化做的不错，停车也比较方便，房间装修的不错，有点欧式风格，里面以暖色调为主，房间很大，卫生条件也很好，住着很舒服', '短评打分': 5}
{'短评内容': '餐饮不错，餐厅环境很好，种类多，口味不错，房间里面干净整洁，硬件设施很齐全，服务很到位，住着舒服', '短评打分': 5}
{'短评内容': '酒店交通出行很方便，不论是去福清或者龙田都比较方便，环境相当不错，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店整体感觉很不错，位置很好，交通出行很方便，硬件设施齐全，服务到位，很不错的酒店', '短评打分': 5}
{'短评内容': '房间很干净，电视、空调等都有，质量也不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '服务上挺热情周到的，房间里挺干净整洁的，这样就很不错了。', '短评打分': 5}
{'短评内容': '酒店绿化做得很好，内部空间也挺大的，布置也挺温馨，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店挺不错，出行方便，服务热情，房间里整洁舒适，设施也蛮齐全的，值得推荐。', '短评打分': 5}
{'短评内容': '这家酒店我挺满意的，环境不错，房间挺干净的，我住了好几次了，值得推荐 ', '短评打分': 3}
