{'短评内容': '对这家宾馆还是蛮熟悉的，就是服务不太好..', '短评打分': 5}
{'短评内容': '没有早餐吃', '短评打分': 5}
{'短评内容': '很好的酒店，应该是省接待定点酒店。大气，房间空间也可以。旁边有公园，购物中心。早餐也不错，环境很好。期待下次入住。', '短评打分': 5}
{'短评内容': '自助餐很好', '短评打分': 5}
{'短评内容': '服务下降很多、淋浴头不转换！喷了一头的凉水！细节决定质量呀！晚上的水果牛奶也没有了！', '短评打分': 4}
{'短评内容': '酒店大堂很气派 层高很高 酒店房间设施也不错 很气派 但是石家庄空气实在太差了 根本不是人可以住的 把一切的优点都抹杀了', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '高大上，不错', '短评打分': 5}
{'短评内容': '基本还行，属于政府接待酒店，自己出差旅行不推荐，但是基本设施都挺好，各方面还行，前台办事慢，特别慢，', '短评打分': 4}
{'短评内容': '酒店卫生超级好，服务一流，交通便利。', '短评打分': 5}
{'短评内容': '总体感觉还可以，房间舒适度，卫生设施都还不错，相当满意的一次旅行！', '短评打分': 5}
{'短评内容': '还可以的，很舒适', '短评打分': 4}
{'短评内容': '高大上。什么叫气派？请到太行国宾馆。有一种震撼的感觉。', '短评打分': 5}
{'短评内容': '酒店设施很好，服务很一般，可能是政府单位有关。特别是没有呼叫出租服务，让旅客自己上街找出租车，特别是在雨雪天，是不能接受的。', '短评打分': 4}
{'短评内容': '挺好，挺好，挺好挺好挺好挺好', '短评打分': 5}
{'短评内容': '太行国宾馆非常气派，这个原来的小楼住宿要比新建的部分便宜多了。下次还住，毕竟是省政府的招待处，安全放心。', '短评打分': 5}
{'短评内容': '酒店新盖了大楼，可是网站上没有标注清楚。满怀欣喜的去订了房间，没想到订到的是旧楼。旧楼设施陈旧，房间压抑。性价比太差。', '短评打分': 5}
{'短评内容': '新楼还未营业,旧楼太差了,比新世纪差了很多,可能新楼会好', '短评打分': 1}
{'短评内容': '外表很气派 内部很无奈 开门睡一夜 再不敢回来', '短评打分': 1}
{'短评内容': '还在装修，软件设施很一般。希望装修好后能有所改善。', '短评打分': 5}
{'短评内容': '酒店卫生条件很好，服务也很到位，下次还会选择入住。', '短评打分': 5}
{'短评内容': '房间设施还可以，交通方便，但现在院内进行大装修，环境不是太好。', '短评打分': 5}
{'短评内容': '交通方便，环境很好，很喜欢，下次我还会选择这里', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '院里有一个高层楼房正在装修。房间有直饮水。', '短评打分': 5}
{'短评内容': '房间卫生条件很好，蛮干净的，住着很舒服，房间硬件设施很齐全，而且空间很大，很宽敞，酒店位置不错，门口打车方便', '短评打分': 5}
{'短评内容': '服务很到位，一进去就会主动拎行李，服务员都很客气，酒店24小时热水供应，服务员都是随叫随到的，附近靠近一些大商场和超市，位置也相对来说很好', '短评打分': 5}
{'短评内容': '酒店餐饮很不错，当时在餐厅里吃的日本料理，口味很好，酒店餐饮分中西餐的，这点感觉很好，住宿条件也不错，推荐一下', '短评打分': 5}
{'短评内容': '酒店位置不错，处于繁华地带，出行很方便，酒店内部住宿环境都很不错，下次还会住的', '短评打分': 5}
{'短评内容': '酒店服务很好，周到热情，性价比高，卫生状况不错，房间打扫的很干净，采光好，住的舒服', '短评打分': 5}
{'短评内容': '酒店地理位置不错，附近靠近商场和超市，还有一些小饭馆，蛮方便的，服务不错，感觉各方面都还可以', '短评打分': 5}
{'短评内容': '酒店在市中心繁华地带，出行还是很方便的。看上去很有档次，宾馆绿化做的很好，服务质量和卫生状况都蛮不错的', '短评打分': 5}
{'短评内容': '酒店服务很好，在当地很有名气，接待过很多领导，服务员都是经过专门培训的，蛮有素质的，住的很舒心', '短评打分': 5}
{'短评内容': '位置还可以，距离火车站不太远，房间布置的很合理，餐饮不错，菜的品种丰富，口味很好，交通方便，总之各方面都觉得很好', '短评打分': 5}
{'短评内容': '酒店周边环境不错，很安静，住着很舒服，服务很到位，价格合理，推荐一下', '短评打分': 5}
