{'短评内容': '环境不错啊', '短评打分': 5}
{'短评内容': '无意中找到的农家乐。看来已经开了很多年了，很多室外设施老旧停用了，钓鱼塘也没个人影。乌龟养殖基地不让进，只能远观。房间设施看上去比较新，但卫生间地漏反味厉害，晚上睡觉熏的头晕。餐厅吃饭必须预约，10元1位，有鸡蛋、肉包、粥、油条和面条。廊桥壁画完成了一半，估计生意不好，投资方撤资了。', '短评打分': 3}
{'短评内容': '房间设施有点陈旧了', '短评打分': 4}
{'短评内容': '环境不错，环水小岛。幽静！但房间没有Wi-Fi是个小缺撼。', '短评打分': 5}
{'短评内容': '环境不错，可以划皮划艇', '短评打分': 5}
{'短评内容': '非常非常一般', '短评打分': 4}
{'短评内容': '交通方便、周边环境还行！钩鱼费用太贵啦！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '总的来说还是不错的，周边环境自然清新，农家菜味道也还行，适合懒人出游。', '短评打分': 5}
{'短评内容': '环境不错，下次还要选择这家酒店。', '短评打分': 3}
{'短评内容': '整体环境不错，优雅安静，就在金泽古镇，大观园，淀山湖旁。就是房间显旧了，一楼很是潮湿，有霉味。', '短评打分': 3}
{'短评内容': '离朱家角车距5分钟，适合家庭出游', '短评打分': 4}
{'短评内容': '环境不错，不能和团队住一层楼，太吵，吃的东西稍贵。', '短评打分': 5}
{'短评内容': '房间也太小了点吧...........................', '短评打分': 5}
{'短评内容': '不愧为天然养生氧吧！娱乐活动也比较丰富，尤其是钓鱼，非常精彩。餐饮住宿，都贴近自然。上海周围一级度假选择。', '短评打分': 3}
