{'短评内容': '房间可以   干净整洁', '短评打分': 5}
{'短评内容': '因为一个朋友在附近，所以选择住这里，反正一个人住多天，价格够实惠。就是装修也有点老了，不过算整洁。', '短评打分': 3}
{'短评内容': '总体还行吧', '短评打分': 4}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '这次是定错了，没有住！', '短评打分': 4}
{'短评内容': '房间还可以，就是电视有点小。', '短评打分': 5}
{'短评内容': '不错，价格很低，也很方便，周围吃的也很多', '短评打分': 5}
{'短评内容': '不错，价格很低，也很方便，周围吃的也很多', '短评打分': 5}
{'短评内容': '不错，价格很低，也很方便，周围吃的也很多', '短评打分': 5}
{'短评内容': '不错，价格很低，也很方便，周围吃的也很多', '短评打分': 5}
{'短评内容': '不错，价格很低，也很方便，周围吃的也很多', '短评打分': 5}
{'短评内容': '不错，很方便，价格合理', '短评打分': 5}
{'短评内容': '不错，挺方便，价格合理', '短评打分': 5}
{'短评内容': '不错，挺方便，价格合理', '短评打分': 5}
{'短评内容': '不错，很方便，价格也合理', '短评打分': 5}
{'短评内容': '隔音巨差，简直爆炸，厕所竟然没有抽风，洗完澡烟雾缭绕', '短评打分': 5}
{'短评内容': '作为一家较便宜的快捷酒店还行吧', '短评打分': 4}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '住了两晚，不错', '短评打分': 5}
{'短评内容': '总得来说还是很不错', '短评打分': 5}
{'短评内容': '哈哈，好好', '短评打分': 5}
{'短评内容': '还不错，中规中矩，便宜', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间比较小，太小了，靠着马路，闻着火锅味睡得', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比非常高的酒店', '短评打分': 5}
