{'短评内容': '一般，厕所漏水，上个厕所滴一身的水', '短评打分': 3}
{'短评内容': '服务态度可以的 离高铁站很近附近饭店较少食物单一基本都是面类 房间不错 不过第一晚暖气管里水一直滴答 第二晚上面那根暖气管有近一个小时的刮水管的声音 热水很足 还赠送茶业咖啡和矿泉水饮用', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店的位置很好，离高铁站走路五分钟就到了', '短评打分': 5}
{'短评内容': '酒店地段比较好，就在兰州西站马路对面！房间设施有待提高！服务态度挺好！', '短评打分': 4}
{'短评内容': '总体管理比较差！', '短评打分': 1}
{'短评内容': '位置挺好直线距离离兰州西站近，就在火车站斜对面，但是站前在施工，根本看不到，要绕一大圈才行。房间还可以', '短评打分': 5}
{'短评内容': '很好，经济实惠', '短评打分': 5}
{'短评内容': '酒店住起来不错，靠近车站，很方便。', '短评打分': 5}
{'短评内容': '房间挺好的，最重要的是收房的时候特别方便！', '短评打分': 5}
{'短评内容': '客观的评价一下。优点:1.宾馆对面就是兰州西站，有WiFi,刚需可以考虑；2.价格算比较实惠的；3.有咖啡矿泉水赠送.缺点很多:1.房间设施陈旧简陋，最不能忍受的是褥子只有5毫米厚（有图为证），被子也很薄，这是要把人冻死在春天的节奏；2.电视没几个台且均不清晰，雪花一片；3.管理不够精细，晚上想开个空调，遥控电池没电了，只好把电视机遥控器里的电池拆下来；4.房间感觉很阴暗不亮堂，居住体验不佳，第二天换了个招待所，条件比这个好，招待所价格也贵了40，所以说酒店的价格是实惠的；5.地理位置偏僻，周边吃饭什么的都不方便，在楼下马玲手抓餐厅吃个面，竟然是夹生的，差评', '短评打分': 1}
{'短评内容': '服务还可以服务。', '短评打分': 5}
{'短评内容': '好评好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '感觉不错，住起来很舒服，棒棒哒。', '短评打分': 5}
{'短评内容': '住起来挺好的，很安静，不错。', '短评打分': 5}
{'短评内容': '位置在火车站旁边，基本入住的都是赶火车的。门口在修路，路上脏乱差。发生了不愉快的事情，前台办好入住后，没多久打电话来说我们没交钱，竟然犯这种低级错误。第二天又接到携程客服电话说我们未入住。差错一而再再而三，也是醉了。', '短评打分': 3}
{'短评内容': '给人的感觉挺好的', '短评打分': 5}
{'短评内容': '环境挺好', '短评打分': 4}
{'短评内容': '还可以，离车站近', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '方便快捷便宜', '短评打分': 4}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': ' 酒店房间不大，还算干净，入住的那间房窗户关不上，晚上噪音有点大。', '短评打分': 3}
{'短评内容': '房间太小，但还算干净。', '短评打分': 3}
{'短评内容': '环境很幽静，交通也方便，服务态度也很好！', '短评打分': 5}
{'短评内容': '交通还可以，房间小了点，但很清静！', '短评打分': 3}
{'短评内容': '整体还不错，就是入住的两天，锅炉坏了，供应热水有点麻烦。', '短评打分': 5}
{'短评内容': '虽然就入住了一晚，但感觉还是不错的，设施齐全，方便舒适。', '短评打分': 5}
{'短评内容': '还不错，就是房间没想象中得大，但是很干净，安静，交通还算可以！', '短评打分': 5}
{'短评内容': '来兰州旅游，订了这家酒店，新开的还不错，就是地理位置差了点。', '短评打分': 5}
