{'descr': '还行，屋内设备挺全', 'star': 3}
{'descr': '房间够大，卫生条件一般，没有餐厅，要到外面吃饭。', 'star': 5}
{'descr': '房间够大，卫生条件一般，没有餐厅，要到外面吃饭。', 'star': 5}
{'descr': '便宜的酒店，不过个别房间隔音不好；有味道。空调开了冷不开就非常热。真受不了。', 'star': 5}
{'descr': '房间很干净,睡的很舒服,服务态度很好!对于周末特价房,很实惠!', 'star': 5}
{'descr': '主要是公司新的基地比较近，附近的生活和娱乐设施少一些，主要是开发区。如果不是公务，是不回主动入住的,其他一切条件都好\r\n', 'star': 5}
{'descr': '离公司很近，地理位置较好。下次出差还会选择这里的。', 'star': 5}
{'descr': '去开发区很方便，就是酒店位置有点不好找，司机绕了很久才早到。房间很袖珍…………光说不好的好像不好，好的就是早餐15元，相对不算贵……', 'star': 3}
{'descr': '房间不大，电视迷你不算，还不是放在床中间，严重跑偏。离市区很远……', 'star': 5}
{'descr': '汉庭一如既往的整洁、干净、舒适。这次主要是距离公司比较近。属于浦东新金桥地区，比较偏僻', 'star': 5}
{'descr': '汉庭的性价比都还是不错的，会推荐给其他朋友，值得推荐', 'star': 5}
{'descr': '不错啊', 'star': 5}
{'descr': '服务不错，员工都很有服务意识，态度也不错，虽然是经济型酒店，也挺像那么回事的。\r\n不满意的地方就是房间太小！也就是13-14平，我估计，可介绍里面写的是20平啊！我就是看这个房间大才定的。\r\n放一张双人床，床边离墙只有不到30公分了，放不下电视，只有在墙上挂了一个14寸的液晶电视，看着很不方便。\r\n没有办公桌，也只有一个简易的小桌。没有衣柜，没有行李架。\r\n空调安在床的对面，冷风直吹过来，怎么调也', 'star': 1}
{'descr': '位置确实很偏，不是为了迁就朋友的住地，应该不会住这么远，打车到徐汇和外滩，基本上都是50到80元。但是前台服务生和打扫的大姐，小哥们都很好，很亲和。', 'star': 5}
{'descr': '汉庭，都是统一标准没有什么号评价的，就是这个店很难找~~！！', 'star': 5}
{'descr': '很不错的酒店，如果在世博之后，相信性价比更高，特别要表扬的是酒店的一名前台帅哥，因为有两位两人忘带了身份证，他用了整整一小时陪我们去附近的派出所打证明，服务态度非常好。', 'star': 5}
{'descr': '很不错阿！', 'star': 5}
{'descr': 'bu cuo ', 'star': 5}
{'descr': '价格调整应及时通知，不应该网上预订与入住时价格有差异', 'star': 5}
{'descr': '横向比较 比浦建路店房间小很多 设备也老旧\r\n纵向比较 性价比比motel和homeinns差很多\r\n不推荐此家', 'star': 1}
{'descr': ' 老顾客了', 'star': 3}
{'descr': '汉庭都一样，这家店很安静。', 'star': 5}
{'descr': '金桥开发区核心地段，交通还行。参展比较方便，不过餐厅的咖啡实在难以下咽', 'star': 3}
