{'descr': '一般般的吧', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '楼上一直在装修，从早上6点开始…基本就没法睡', 'star': 3}
{'descr': '哈哈哈哈', 'star': 5}
{'descr': '地下室，无窗，很潮很潮，墙皮已脱落，价格低，自己衡量', 'star': 3}
{'descr': '1', 'star': 5}
{'descr': '房间很小很旧，性价比太低了', 'star': 3}
{'descr': '不错的服务。', 'star': 5}
{'descr': '还行，只是在京东订的不能享受会员待遇', 'star': 5}
{'descr': '酒店很不错，环境，服务都比较满意', 'star': 5}
{'descr': '酒店不错，干净卫生，只是网上订的不能累积到会员里。', 'star': 5}
{'descr': '京东订酒店很好，价格优惠，这家酒店地理位置比较好，服务也不错。', 'star': 5}
{'descr': '房间环境好，收拾的很干净，点赞！', 'star': 5}
{'descr': '还不错，住了几天感觉很舒适，价格也不贵。', 'star': 4}
{'descr': '不错住的还行', 'star': 5}
{'descr': '挺大 环境一般', 'star': 5}
{'descr': '很好的酒店，服务也好，酒店环境干净整洁！！！！！！！！下回还会去的！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '总体感觉不错', 'star': 5}
{'descr': '很棒，早餐也很好，交通也方便', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '卫生很好，服务态度很好，早餐也挺好吃，到冬季了房间的温度也很舒服，住着也非常肃静，24小时的热水供应的很好，随时可以洗澡。', 'star': 5}
{'descr': '交通方便，服务好', 'star': 4}
{'descr': '卫生还不错，环境一般', 'star': 4}
{'descr': '离开会的地方很近，干净', 'star': 5}
{'descr': '挺不错的 就是房间有点旧', 'star': 3}
{'descr': '因为公司临时有事安排北京出差，要求靠近302医院，所以通过携程预订，结果大失所望，花了275元的价格入住大床房，结果像招待所，以图为证。整个酒店装修老旧，房间窄小而且简陋，气味较重。我入住的房间空调制热效果好差，出风口会发出哐当的噪音，一会冷一会热，根本没办法入睡，就连马桶都有问题，摇晃而且还下水不畅，最终还是选择退房了！如果有特惠价格不考虑住宿条件的旅客可以将就，不然我建议宁愿多花点钱找个像样的', 'star': 3}
{'descr': '装修很差，设施老化，不推荐,不推荐，不推荐，不推荐，上当!', 'star': 1}
{'descr': '服务差：超半小时非要半天的钱。硬件差：房间潮湿、电视有雪花看不清、电梯是悬空的、声音不隔音', 'star': 1}
{'descr': '位置挺好找 环境不错 离解放军医院挺近  总体来说不错', 'star': 5}
{'descr': '确实不错，今天住了一次，感觉还是不错的，以后会经常光顾的。', 'star': 5}
{'descr': '酒店很干净，环境也很好，比较好找。电视本来有雪花，不清楚，跟前台联系了，很快派人上来修理好了。', 'star': 3}
{'descr': '卫生服务各方面还不错，交通挺方便，周围有不少餐厅，就是部分房间采光不好。', 'star': 5}
{'descr': '马马虎虎，周围吃饭的地方比较多，交通还算方便', 'star': 5}
{'descr': '服务好，就是附近有点不方便，总体来说还行', 'star': 5}
{'descr': '入住舒适，位置很好。下次来北京一定再来。', 'star': 5}
{'descr': '服务态度好，安全舒心，总体算整洁，服务质量标准还行，微笑服务，安全，所有门都实行门禁，比较安全，位置打的还行，吃的要要走10分钟去大成路附近吃，还是可以，住的比较安静\n\n', 'star': 5}
{'descr': '环境不错，电话，宽带，卫生间满意。离301医院和五棵松地铁站公交3站路。', 'star': 5}
{'descr': '地理位置还是不错的 比较干净整洁  服务态度也很好       ', 'star': 5}
{'descr': '还好，感觉比较安全，也比较安静，就是去地铁口稍微远了点', 'star': 5}
{'descr': '住的高级大床房，房间面积还不错，设施也较齐备，有阳台，对的起这个价格', 'star': 5}
{'descr': '位置靠近五棵松，有停车场 服务还行 附近吃饭的地方很便宜', 'star': 5}
{'descr': '还不错，总体来说还行，离目的地也比较近，值得去住。', 'star': 5}
{'descr': '房间比较小，但蛮干净，服务也蛮贴心，适合小住数日..', 'star': 3}
{'descr': '挺不错的。。早餐也挺好吃。。。以后还会再来 离301医院一站', 'star': 5}
{'descr': '服务，环境都很满意，房间比较小', 'star': 3}
{'descr': '不错。挺好的。位置还可以，周边交通很便利，服务员态度很好，只是目前有施工的稍微吵点。', 'star': 5}
{'descr': '很好，很安静，舒适。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '房间较小，价格公道，还行。在北京还算不错的商务宾馆。', 'star': 5}
{'descr': '真的不错哦，而且房间比较大，设施也比较全，嗯，在北京的汉庭来说，是不错了', 'star': 5}
{'descr': '房间大，很干净，环境很不错。酒店就在路边，打的，坐公车都很方便。', 'star': 5}
{'descr': '环境好，服务态度好.房间设施也很不错，可以免费上网，住着很舒服', 'star': 5}
{'descr': '服务态度不错 只是房间有些小 不过一个人住也足够了。感觉还蛮温馨的 价格也不贵。唯一的一个缺陷就是离地铁口有点距离啊 不过公交两站也就到了。打车也只是个起步价。值得推荐。', 'star': 5}
{'descr': '100元特价房，酒店位置一般，房间太小了。', 'star': 1}
{'descr': '不大好找，离301医院很远.房间条件一般，好像是公寓楼改的', 'star': 1}
