{'短评内容': '每次去长沙都去这家酒店~ 很好', '短评打分': 5}
{'短评内容': '挺不错，一直听说服务设施比较好，果然去过一次之后很满意呢', '短评打分': 5}
{'短评内容': '房间很大，环境很好，住着很宿舍！早餐还行，品种不是很多，当时是一群小朋友比赛，四个小朋友住一个豪华标间，很不错', '短评打分': 5}
{'短评内容': '这个价格很值，周围生活方便，早餐也还行。', '短评打分': 4}
{'短评内容': '不错哦，干净整洁舒适', '短评打分': 5}
{'短评内容': '干净整洁舒适', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '一直都是在这入住。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常满意！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常满意的酒店！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '酒店位置还算可以，出行公共交通也比较方便，总体可以。但在此也提几点不足：1.早餐种类有点少；2.前台应该更热情一点；3.所有一次性用品都要收费，虽然几块钱，感觉怪怪的；4.送餐口味不是很满意，价钱倒是不便宜。希望有所改进', '短评打分': 4}
{'短评内容': '已经住了很多次了，一如既往的好！', '短评打分': 5}
{'短评内容': '已经住了很多次了，一如既往的好！', '短评打分': 5}
{'短评内容': '物美价廉，很棒！下次朋友来长沙还来住这。', '短评打分': 5}
{'短评内容': '房间空间的，服务也不错', '短评打分': 5}
{'短评内容': '酒店干净卫生，交通方便。离高速很近。服务态度也好。', '短评打分': 3}
{'短评内容': '房子空间较大，还行！', '短评打分': 3}
{'短评内容': '预定的是豪华大床房，结果全是靠马路边的，吵得要死，房间其他设施都还可以，准四星的标准，房间蛮大，只是各位千万不要定豪华大床房。', '短评打分': 5}
{'短评内容': '不错，隔壁8就是，湘西部落，吃饭也6方便', '短评打分': 3}
{'短评内容': '入住的大床间，临街有点吵，房间大，整体还可以，唯一的是早晨退房有点慢，三个人的退房时间要了20分钟。不知道是不是人品问题，哈哈。', '短评打分': 5}
{'短评内容': ' 酒店很糟糕啊', '短评打分': 3}
{'短评内容': '位置不错。酒店左右有玉楼东和湘西部落两家湘菜馆。房间较一般经济型宽敞。只是不知道是喜宴宾客还是专门开房打牌的不少。 ', '短评打分': 3}
{'短评内容': '入住的第一晚半夜3點給热醒了，第二天向前台投訴，第二晚好點，但还是觉得热，或是本人怕熱吧，但还希望酒店听听客人意見再作改善。', '短评打分': 5}
{'短评内容': '   还不错,', '短评打分': 3}
{'短评内容': '还可以，就是价格小贵\n还可以，就是价格小贵', '短评打分': 5}
{'短评内容': '环境不错  相当干净', '短评打分': 3}
{'短评内容': '靠马路房间吵得要死，房间地毯湿漉漉的，就是房间很大还不错。', '短评打分': 1}
{'短评内容': '靠马路边的房间吵的要死~白天吵到晚，晚吵到白！以前去的时候空调还好。现在连空调效果也不好了！开了窗户就吵的要死，不开就闷得慌。', '短评打分': 1}
{'短评内容': '服务人员态度非常好，办事效率也挺快的，这点很满意。', '短评打分': 5}
{'短评内容': '酒店很好，服务很周到，出行很方便，周边购物也很便利。', '短评打分': 5}
{'短评内容': '房间采光很好，布置的很人性化，打扫也很干净，住的很舒适。', '短评打分': 5}
{'短评内容': '我觉得面积蛮大的，落地式大窗户，感觉很宽敞明亮，设施也不错。', '短评打分': 5}
{'短评内容': '靠马路边晚上太吵&#183;其他没有很突出的缺点。总体不错', '短评打分': 5}
{'短评内容': '卫生设施都还行，服务态度也不错，价格也算适中，位置挺好找出行什么都很方便，还是很不错的一家酒店，我挺满意的。', '短评打分': 5}
{'短评内容': '这家酒店总体来说是比较不错的，唯一的缺点就是地理位置比较偏，在女子大学对面。入住的时候办理手续比较慢！其他的都是比较不错。如果下次去那边办事，一定会住这家酒店！！！', '短评打分': 5}
{'短评内容': '单人间都是靠马路,晚上非常吵,无法入睡.', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间整体格局还行,就是房间大了点,看起来太空旷了.电视还不是液晶电视.综合性价比有点差.', '短评打分': 1}
{'短评内容': '这家酒店的性价比太高了，很宽敞，我住的大概是31平米吧。\r\n另外应该是2007建造的关系，设施都很新。。。空间很大，靠窗有一个躺椅，舒服啊，呵呵\r\n最重要的是服务态度好，前台的态度很不错，这个是重点！', '短评打分': 5}
{'短评内容': '春节前入住该酒店，感觉不错。房间宽敞，床也够大，性价比令人满意。不足之处：酒店没有自己像样的餐厅，只能是快餐，早餐马马虎虎说得过去；', '短评打分': 5}
{'短评内容': '卫生干净，不错。', '短评打分': 5}
{'短评内容': '房间挺干净的，服务也不错，地理位置有比较方便，就是价格稍微有点高了', '短评打分': 5}
