{'短评内容': '停车还挺方便的', '短评打分': 3}
{'短评内容': '早餐不太好', '短评打分': 3}
{'短评内容': '这家旅社干净.服务态度非常好.服务员和前台热情周到.周边吃饭购物也方便.', '短评打分': 5}
{'短评内容': '比我想象中要干净。喷淋看着是新的，虽然我没用。隔音不好，早上起来有人5点多起床洗漱，把我吵醒。其他还好。门外马路可以停车，是免费的', '短评打分': 5}
{'短评内容': '毕竟是快捷酒店，没什么体验好说的，一般般', '短评打分': 4}
{'短评内容': '汤山附近这家算是比较实惠的了，毕竟快捷酒店，体验一般', '短评打分': 5}
{'短评内容': '早餐是中式的，品种还算丰富，有粥、豆浆、鸡蛋、油条什么的；酒店相比于其他快捷酒店要干净不少；酒店旁边有个串吧，味道还不错～', '短评打分': 4}
{'短评内容': '没订到，居然没房间了', '短评打分': 5}
{'短评内容': '服务员态度非常好，下次还住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境优美 安静', '短评打分': 5}
{'短评内容': '去各个温泉有点远', '短评打分': 4}
{'短评内容': '隔音不好，房间很大，床褥比较新', '短评打分': 4}
{'短评内容': '蛮实惠的', '短评打分': 4}
{'短评内容': '还行…', '短评打分': 5}
{'短评内容': '卫生不错，服务周到，但当中发生了小意外，马上就通知了。', '短评打分': 4}
{'短评内容': '环境不错很显眼，但是一进门异味好大，卫生间看着不顺心。', '短评打分': 4}
{'短评内容': '服务态度很好，空调遥控器开不出，一个电话打到前台，马上来检查，并更换后恢复正常。点个赞。', '短评打分': 5}
