{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店性价比较高', '短评打分': 4}
{'短评内容': '房间比较舒适，干净整洁，洗澡水不错。外部环境安静，楼下附近有小超市，比较方便。楼道窗的房间隔音非常不好。前台接待的服务还不错。', '短评打分': 4}
{'短评内容': '很好，服务装修设施都不错', '短评打分': 5}
{'短评内容': '还算一般可以吧，离火车站距离较好', '短评打分': 4}
{'短评内容': '环境不错，地理位置挺好，周边有大型的超市，还有许多的小吃店。', '短评打分': 5}
{'短评内容': '离火车站3公里多，附近有一家较大的超市，交通便利，就在主干道上。酒店的设施一般，房间有点小，窗户直接对着走廊，还略有些担心安全问题。除此之外，不是特别好，也不是特别差。', '短评打分': 5}
{'短评内容': '离天河机场特别近，适合清早需要出行的旅客，特别方便！', '短评打分': 4}
{'短评内容': '位置相当不错，交通便利，附近吃的东西也多，酒店卫生也蛮好，服务态度满分，酒店的WiFi不是很稳定，时有时无', '短评打分': 5}
{'短评内容': '只能说是中规中矩。前台接待人员的服务水平有待提高。', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '一般般，靠近马路，晚上杂音比较重，隔音效果不好……', '短评打分': 3}
{'短评内容': '酒店环境很好，很干净，最主要是隔音效果很好，适合考试住', '短评打分': 5}
{'短评内容': '非常好，一直住在那边退的钱呢？', '短评打分': 5}
{'短评内容': '不错 支持京东', '短评打分': 4}
{'短评内容': '干净，整洁。清爽。服务好，下次我还会住这里的。', '短评打分': 5}
{'短评内容': '酒店设备都很新，距瘦西湖、文昌阁都不远，周边交通很便利，房间都很干净，服务员态度不错，以后来还会住这家酒店。', '短评打分': 5}
{'短评内容': '消费平實,適合一般出遊民眾', '短评打分': 3}
{'短评内容': '\n到了，环境挺好。很方便', '短评打分': 3}
{'短评内容': '  酒店很好找,离风景区也近,出行很方便。前台服务不错,入住的房间挺干净的，订的比较早,还送小礼物,不错不错。下次还选择这家!', '短评打分': 3}
