{'短评内容': '还可以。就是找电梯上去找到头晕', '短评打分': 4}
{'短评内容': '每次到广州都会入住玉城酒店，环境好，交通方便，一如既往的好评', '短评打分': 5}
{'短评内容': '哈婆去医院做舞台', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '在玉器批发市场上面，离上下九步行街，沙面近，吃住还行。', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '还不错，就是价格略高点。', '短评打分': 5}
{'短评内容': '味道不好，空气不好，老外太多，', '短评打分': 4}
{'短评内容': '地理环境好，出地铁口近，离上下九行街近，周边小吃很好吃，酒店设施齐全，房间明亮卫生，前台服务很棒！', '短评打分': 4}
{'短评内容': '还不错，环境棒棒哒。比较温馨，主要干净，出门第三天，感觉可以睡个好觉啦。 有一点，排风可能需要改善一下', '短评打分': 4}
{'短评内容': '一般出行方便', '短评打分': 3}
{'短评内容': '一般 方便出行', '短评打分': 3}
{'短评内容': '住了一个星期，酒店设备差就不说了。前台服务超级差。以后不会再来。迟了一点时间退房，被酒店罚款近200人民币。建议去附近酒店吧。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '문제많음  방청소 잘안함  한마디 말하면 더럽고 지저분함  직원 불친절 영어로 통화 할려면  무조건 끊음 냄새가 심해서 방을바꾸어도 같은상황 창문있는 방이 이러니 값이 싼방은 어떨지?  아침식사 먹을것도 없지안 비위생적임.  값대비 오고싶지않음', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '出差方便', '短评打分': 5}
{'短评内容': '总体来说不错啦！没有让我失望哦。比较喜欢它那里的格局，比较温馨！', '短评打分': 5}
