{'短评内容': '各方面都挺好的呀', '短评打分': 5}
{'短评内容': '没有早餐，楼下饭店消费比较高，周边几乎没有其它吃饭的地方，酒店就是高层住宅改造的，房间东西全是新的。房型也不错。周围很安静', '短评打分': 3}
{'短评内容': '服务态度好 设施齐全', '短评打分': 5}
{'短评内容': '房间很舒服！床软度适中，周围环境挺好。安静。', '短评打分': 5}
{'短评内容': '到定安这边整理装修好的房子。和妈妈住这里。从丽景酒店过来的。都是离自己买的房子近，什么事情方便。首先这是一家公寓式酒店，房间就是在小区里。小区环境不错，周围安静。床很舒适！枕头软硬适度。浴室喷头有点陈旧，但是洗澡水很好。下水也够快。总体入住还不错。', '短评打分': 5}
{'短评内容': '一般般，服务水平有待加强', '短评打分': 5}
{'短评内容': '位置较偏，僻静，能休息好', '短评打分': 4}
{'短评内容': '位置偏，吃点小吃难', '短评打分': 4}
{'短评内容': '位置较偏僻，吃个小吃难', '短评打分': 4}
{'短评内容': '房间还可以', '短评打分': 4}
{'短评内容': '感觉还行', '短评打分': 4}
{'短评内容': '整体还可以，值这个价钱', '短评打分': 3}
{'短评内容': '大概中午到的，挺好找的，下高速再开个10分钟左右就到，就在海南飞禽时间旁边，环境很不错，周边都比较安静，离市区还是比较远的，房间设施不错，算齐全，还有免费网络。可是到了晚上睡觉好多蚊子，我们住的二楼！第二天早上不急退房，早早起来把酒店小区逛了个遍，环境和规划真的很棒，真想直接安居了，还误打误撞的走进了飞禽世界，省了门票！哈哈，这次住的很开心，下次有空非常愿意再去！', '短评打分': 3}
{'短评内容': '安静，环境挺好的，床也挺舒服。', '短评打分': 3}
{'短评内容': '有大厅、厨房，浪费空间，卧室小了，不含早是硬伤', '短评打分': 3}
{'短评内容': '总体还行，安静', '短评打分': 4}
