{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '还可以吧。早餐一般。', '短评打分': 5}
{'短评内容': '酒店在市中心，地理位置优越，装修比较新，前台和客房服务人员非常专业热情，早餐比较丰富，性价比蛮高的。', '短评打分': 5}
{'短评内容': '不知道为什么，这个酒店进入就有一种杂乱的感觉。大厅里面什么都有。', '短评打分': 4}
{'短评内容': '房间很小 设备旧 东西摆放不合理', '短评打分': 3}
{'短评内容': '房间好小 东西摆放不合理', '短评打分': 2}
{'短评内容': '酒店设施不错，服务很好；离地铁口近，周边餐饮很多；晚上的自助餐很好', '短评打分': 5}
{'短评内容': '酒店设施维护得不错，就是浴室窗帘私密性差一些；位置挺好的，交通便利，离地铁口很近；周边环境还行，餐饮很多；服务不错', '短评打分': 5}
{'短评内容': '早餐很好，房间的卫生间很大，很好。', '短评打分': 5}
{'短评内容': '酒店很好很舒服，住的舒心', '短评打分': 5}
{'短评内容': '酒店服务很好的，办入住时，大堂美女态度很好。酒店大堂不像别的那样一眼就能看见，一眼看见的是展台摆一个汽车。进门右手边才是前台。房间设施很不错，浴室里有浴缸还准备了浴盐，方便泡澡。不好的是纸巾盒就一个放在洗手台，办公桌或者床头应该放个。电吹风不好用，特容易把头发绞进去，用手感觉吸力很大的。办公用品只有纸和笔，剪刀橡皮擦都没有。偏偏我需要用剪刀和胶带，没找着。房间用品在细节上还是不细致，跟不上别家的。', '短评打分': 5}
{'短评内容': '服务快捷，硬件环境整洁，视野好，值得再住!', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一斑斑', '短评打分': 3}
{'短评内容': '好。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错，就是比较难找吃的，除了酒店餐厅。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '订了大床房，錢已付帳。最后没有大床房，錢也不能取消。', '短评打分': 3}
{'短评内容': '酒店环境很好，服务人员态度热情、周到！由于原订的行政房满了，前台接待立即升级了套房，很人性化。下次一定会再来！', '短评打分': 5}
{'短评内容': ' 环境好，服务佳。', '短评打分': 3}
{'短评内容': '地理位置方便。。房间设计欠合理。。。我预定要个大床房。结果安排的是个没有浴缸的残疾人房间。。有点不满意。。酒店方也没有跟我沟通。', '短评打分': 5}
{'短评内容': '该酒店的地理位置一般，房间很不错，卫生间也很大，床也挺舒服的。', '短评打分': 5}
{'短评内容': '非常好的感受，相信下次·還會入住這裡，感受服務人員很有親切感。。。', '短评打分': 5}
{'短评内容': '到深圳就会住这家酒店，服务都相当不错，非常满意，值得推荐。', '短评打分': 5}
{'短评内容': '酒店非常豪华 \n交通非常方便\n服务质量很好\n值得推荐入住', '短评打分': 5}
{'短评内容': '相当不诚信的五星级酒店，check in后发现给了残障人士房间，真是百思不得其解。以后有这钱也不住这酒店了。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '给老外住的，觉得还可以，最主要是有特价，可以用80元消费券', '短评打分': 5}
