{'短评内容': '早餐一般吃的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '值得点赞', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比不错，房间干净卫生', '短评打分': 4}
{'短评内容': '服务热情，位置号找，热闹，非常大，当年很豪华气派，周边吃的多，房间价格便宜现在，早餐不错，丰盛，服务热情', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '中央空调 调控 晚上有点冷 隔音一般 到那里有60块一晚的 不过 便宜的那个条件比较差', '短评打分': 5}
{'短评内容': '房间花洒竟然生锈了，还四处喷水。。。', '短评打分': 4}
{'短评内容': '封闭停车场方便安全，服务热情。', '短评打分': 4}
{'短评内容': '设施齐全，干净卫生，暖气不好，睡觉真哆嗦。', '短评打分': 5}
{'短评内容': '热水有渣滓', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '是西楼的房间，挺破旧的房间，干净和暖气尚可，实际上也就值这个钱，一星也算不上。', '短评打分': 3}
{'短评内容': '性价比超高的性价比超高', '短评打分': 3}
{'短评内容': '不错的酒店，干净卫生，服务好。', '短评打分': 3}
{'短评内容': '这家酒店的服务态度很好，房间有家的温馨，我和朋友很满意，下次来滨州我还会订这家的，我会介绍给我的朋友哦。', '短评打分': 5}
{'短评内容': ' 价格比较合理，非常好，房价也不错，给免费换了个大房间', '短评打分': 5}
{'短评内容': '酒店房间内可点餐，味道很不错。', '短评打分': 3}
{'短评内容': '不知道怎么评为三星的，不管是服务态度、服务质量还是服务设施，典型的快捷酒店配套，早餐是7-9点的，8点去就已经凉了，房间隔音非常不好，隔壁说话都能听到。唯一值得肯定的地方就是网速非常好', '短评打分': 1}
{'短评内容': '可以可以可以可以可以可以可以可以可以可以', '短评打分': 3}
{'短评内容': '可以可以可以可以可以可以可以后可以后可以后可以后可以后可以后可以后', '短评打分': 3}
{'短评内容': '感觉还比不上快捷酒店，房间太简易，餐厅也旧旧的，感觉也不太好（但饭菜没有问题）。但是，价格摆在那里，算还成吧。', '短评打分': 5}
{'短评内容': '  每次去滨州出差都会选这家酒店，日式的榻榻米还不错，酒店的基本设施也可以。主要是价格也比较适中。酒店里面还有餐厅，吃饭方便。', '短评打分': 5}
{'短评内容': '服务很热情，环境也还可以，交通很方便，价格比较公道，就是设置有些陈旧', '短评打分': 5}
{'短评内容': '总的来说还不错 ，性价比很好，下次来的话还会选择入住', '短评打分': 5}
{'短评内容': '服务和早餐都不错，缺点就是房屋的面积小了点。', '短评打分': 5}
{'短评内容': '酒店很好，服务不错，早餐也很好，以后会常来的。', '短评打分': 5}
{'短评内容': '房间还行房间还行房间还行房间还行房间还行房间还行房间还行房间还行', '短评打分': 5}
{'短评内容': '网上写的10平米，到了一看其实比10平米大多了，住起来不错，服务员也挺好，网速、早餐都行；缺点是隔音效果一般，而且天天有结婚的很早放鞭炮，睡梦中被吵醒。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，交通、停车都很方便。我每次来滨州，除了陪较高级别的客人住到贵苑酒店外，几乎都住这里。', '短评打分': 5}
{'短评内容': '离老站较近，饭餐质量很好，以后就住这家了', '短评打分': 5}
{'短评内容': '不错的商务酒店，我每次来滨州除了陪客户住贵苑以外，都住这里，性价比较高。 \n', '短评打分': 5}
{'短评内容': '不错的商务酒店，我每次来滨州除了陪客户住贵苑以外，都住这里，性价比较高。', '短评打分': 5}
{'短评内容': '酒店性价比比较高，比较安静，交通也很方便，下次还会入住。', '短评打分': 5}
{'短评内容': '服务不错，网络也挺快。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '滨州和佳饭店性价比很高，房间布置很方便实用，下次还住和佳。', '短评打分': 5}
{'短评内容': '酒店性价比高，服务员的态度也很好，总之，好', '短评打分': 5}
{'短评内容': '环境还行 就是房间太小了，餐厅也不好！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '墙板为轻质隔墙。半夜被隔壁叫床声吵醒。\r\n郁闷了一夜。', '短评打分': 1}
{'短评内容': '还可以...很便宜...............................', '短评打分': 5}
{'短评内容': '整体感觉还错，但我住的3001房间洗手间抽风机噪音很大，早餐觉得很一般，番茄炒蛋里面的番茄不新鲜，吃着味道就不一样。怪不得就番茄炒蛋的菜多呢。。。', '短评打分': 5}
{'短评内容': '和佳饭店，总体来说性价比是不错的~而且房间里面的热水也是比较大，温度也是比较好的~~因为这十几天每天都在换酒店，然后就会有很多对比和感慨\r\n虽然现在车站已经搬到渤海20路了，但是和佳饭店的地理位置也还是不错，要去新车站出门100米就有公交站（体育场和华联超市），公交或者的士都是比较多的\r\n小背篓餐厅的菜也是不错的~~就是早餐菜种有点少', '短评打分': 3}
