{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '好。老板很好', '短评打分': 5}
{'短评内容': '很好  服务不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '老扳拐了一个弯，加了房费', '短评打分': 3}
{'短评内容': '老板态度好好，怕我们找不到，还特意出来接我们，看我们一个人带着二个小孩，有房间了后还特意给我们升级，就是为了我们能休息好点，还提醒我们要提早订去鼓浪屿的票', '短评打分': 5}
{'短评内容': '还可以，但是卫生不是每天打扫，连住四天，床单被套都是自己换的，卫生间太小了。老板健谈，他会给你很多旅游的建议，省钱又好玩。门口有早餐店，坐车也比较方便，出去就是海。海边湿度大，衣服干的慢。', '短评打分': 5}
{'短评内容': '老板人很热情友好，房间卫生比较干净整洁。好多房型可以选择，晚上睡觉也比较安静。很赞的民宿哦！', '短评打分': 5}
{'短评内容': '环境还好-_-！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地方非常好，五折后非常便宜，离海边很近。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '这家店应该是比较新的，入住的时候还在往墙上画各种有趣美丽的图（全是现场创作，相当有才）。全是全新的呀，订的家庭房，一张一米五的床真的很大，还有一张小一些的，很干净。也是因为是新的，所以很多东西都没有，只能找老板拿，老板很nice，基本是有求必应型的，我们手机太多要借插线板充电，他都把他电脑在用的直接给我们了，呵呵。希望有机会再去，能够有更完善的设备。还是很推荐的，交通也很方便，不用像有些店要绕很村', '短评打分': 5}
{'短评内容': '房间太小,基本上没啥设施,实际提供的设施和付完完全值不了这个价格.', '短评打分': 1}
