{'短评内容': '没去住，飞机晚了，退不了，感觉一般般', '短评打分': 3}
{'短评内容': '酒店周边吃的地方很多，离酒店不远有个水果批发市场，买水果很方便。离火车站打车13元左右。好像不能加床。', '短评打分': 5}
{'短评内容': '离酒店不远有个水果批发市场，离火车站不远打车13元。周围好多吃饭的地方。酒店有停车服务，前台的小姑娘挺可爱的！', '短评打分': 5}
{'短评内容': '房间还不错，价格也实惠，', '短评打分': 5}
{'短评内容': '酒店位置明显，前台处理速度很快，服务态度也很好，客房很干净，房间没有异味，停车很方便，WIFI快，热水给力，周围吃饭的地方多，，电视好，设施完善很好，沐浴露很好，房间空间大，墙面美观，前台服务很好，隔音效果非常好，很安静，房间都很用心的打扫，，方便快捷，被套舒适，地板好，大堂明亮视觉好，强烈推荐', '短评打分': 5}
{'短评内容': '酒店位置明显，前台处理速度很快，服务态度也很好，客房很干净，房间没有异味，停车很方便，WIFI快，热水给力，周围吃饭的地方多，，电视好，设施完善很好，沐浴露很好，房间空间大，墙面美观，前台服务很好，隔音效果非常好，很安静，房间都很用心的打扫，，方便快捷，被套舒适，暖气给力，地板好', '短评打分': 5}
{'短评内容': '服务挺好，设施差一点', '短评打分': 4}
{'短评内容': '经济实惠，停车方便！', '短评打分': 5}
{'短评内容': '去的时候还有回来都住的这家店、临街吃饭方便、停车场稍微小了点儿、服务不错', '短评打分': 5}
{'短评内容': '不错，就是房子小了点。', '短评打分': 5}
{'短评内容': '环境优雅、干净卫生、交通便利、服务员服务态度真不错、有居家的感觉！', '短评打分': 5}
{'短评内容': '卫生干净，服务好，还是独立的WiFi，挺好的', '短评打分': 5}
{'短评内容': '环境优雅，设施齐全，服务态度很好', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '交通便利，环境优雅，服务热情周到。', '短评打分': 5}
{'短评内容': '卫生还可以的，不过服务就很一般了，看中写着机场大巴站才预定的房间，结果去到问才知道离机场大巴不太近哦，十分钟根本就去不到，咨询前台的美女，问多几句就不想搭理人了。', '短评打分': 4}
{'短评内容': '不错，性价比挺好的，吃饭出行方便。', '短评打分': 4}
