{'短评内容': '很干净，很多次入住了，空调暖气不够，房间很难热起来，不过整体很好，希望优惠多多吧！在整体房价算很实惠了', '短评打分': 5}
{'短评内容': '学生介绍的，具体银泰超市很近，交通大道边，稍走一点路便可以寻得若干餐厅，从便利的角度来说还是值得推荐的。另外，相对来说价格也可以。房间设施基本齐全。但是如果能提示洗漱用具需收费、总台就餐时间请勿入住等就更好了。', '短评打分': 4}
{'短评内容': '服务还行，设施可以考虑升级了', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 4}
{'短评内容': '说几点，一房间灯太暗，设备旧，二电梯也旧，三走廊弄那么多镜子干嘛？四 床太硬  句句属实，不信自己体验下', '短评打分': 2}
{'短评内容': '热水温度不够', '短评打分': 4}
{'短评内容': '酒店设施陈旧有异味', '短评打分': 3}
{'短评内容': '房间干净整洁 附近银泰城就在边上，不远出有个小广场 能感受下当地人的生活习惯 附近买点东西还算方便。', '短评打分': 5}
{'短评内容': '还不错，就是电梯待着有些不舒服。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我经常入住亿代酒店，客房比较干净，下次再来！', '短评打分': 5}
{'短评内容': '总体不错的，就是12点就退房这个有点烦', '短评打分': 4}
{'短评内容': '感觉不错，房间舒服，推荐下', '短评打分': 3}
{'短评内容': '前台服务员态度很差，欠她钱一样', '短评打分': 3}
{'短评内容': '挺不错的，', '短评打分': 5}
