{'短评内容': '停车方便，周边生活设施也很好，免费升级了商务单间，房间超大', '短评打分': 5}
{'短评内容': '要不是为了方便去景区，肯定不会住这里，当天的携程房价与我提前半个月订居然差很多，如果满房应该显示满房，而不是可预定状态', '短评打分': 3}
{'短评内容': '早餐不错，吃的花样挺多的。服务挺好，咨询旅游问题也耐心解答。停车方便。位置好找。房间比较干净卫生。推荐入住！', '短评打分': 4}
{'短评内容': '房间很多，携程价500，挂牌300多，其实房间很多，根本不用预定', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 4}
{'短评内容': '环境优雅，硬件设施在当地算是比较好的，服务质量还算可以，周边当地小吃店也水果店挺多', '短评打分': 5}
{'短评内容': '挺好的，通行的朋友也觉得好。', '短评打分': 5}
{'短评内容': '第二次住，觉得很好', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '房间没有想象中的那么好，性价比不太高', '短评打分': 4}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '设施一般，这个价也就这样了。', '短评打分': 4}
{'短评内容': '有很明显的异味', '短评打分': 4}
{'短评内容': '酒店内部环境不错，卫生也好，挺新的\n早餐很丰富', '短评打分': 5}
{'短评内容': '一，每天早晨五点不到周围一片喧闹，扰人清梦，原来是本地最大的农贸集市。\n二，晚上在酒店用餐，一定要进包厢，因为没有散客席位，价格符合该酒店自称的\n星级，但完全不符其所处的地域水准，且质量也无可称道之处。\n三，酒店是全新的，人员则更新，似乎毫无接客经验，常遇到一问三不不知和答非 所问的应对。\n建议再隔一两年待其更成熟一点以后再去。', '短评打分': 1}
