{'短评内容': '床户不能开，是全部封住的。', '短评打分': 5}
{'短评内容': '环境还是不错的', '短评打分': 4}
{'短评内容': '环境不错。推荐去', '短评打分': 5}
{'短评内容': '还可以 酒店离展馆进 方便。。在', '短评打分': 4}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店不错，虽然旧了，但依然很豪华。打扫的也比较干净，离会展中心很近，走路就到。比较方便，旁边有个商城，吃饭问题可以解决。是会展附近最高级的酒店了', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '这家酒店挺不错的，服务很细致也比较人性化，房间比较干净', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店干净，周边方便', '短评打分': 5}
{'短评内容': '位置很好，方便。', '短评打分': 4}
{'短评内容': '第二次去了，非常满意。', '短评打分': 5}
{'短评内容': '挺好的挺好的', '短评打分': 4}
{'短评内容': '还可以不错！', '短评打分': 5}
{'短评内容': '环境不错，大堂气派。', '短评打分': 5}
{'短评内容': '酒店整体不错，开业有点年头了，风格有些旧了。服务还是比较有水准。', '短评打分': 5}
{'短评内容': '很温馨的服务，设施稍有陈旧，但酒店的食物值得称赞，服务员都很热情', '短评打分': 5}
{'短评内容': '设施很好，很晚入住的，服务还可以。', '短评打分': 5}
{'短评内容': '环境很好，服务也不错，干净卫生', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体感觉不错，服务很周道，送水果和热牛奶', '短评打分': 4}
{'短评内容': '住店客人，在中餐就餐还有折扣可以打，而且口味还行！', '短评打分': 5}
{'短评内容': '酒店有很多蛮温馨的服务，每天都有一定额的免费洗衣劵送！', '短评打分': 5}
{'短评内容': '地理位置非常好，环境也不错，还有早餐也是不错的！', '短评打分': 5}
{'短评内容': '早餐很丰盛，简直可以称作大餐', '短评打分': 3}
{'短评内容': 'The room is not very big but comfortable. The breakfast and the service is good. ', '短评打分': 5}
{'短评内容': 'The breakfast is good but the room decor is dated and soundproof is not ideal.', '短评打分': 5}
{'短评内容': '酒店外观不错,大堂比较复杂,居然找了半天才找到约朋友吃饭的地方.房间比较干净,设施还不错了.', '短评打分': 5}
{'短评内容': '酒店很好 设施齐全 喜欢', '短评打分': 3}
{'短评内容': '出差住，方便，干净就行。出差住，方便，干净就行。出差住，方便，干净就行。出差住，方便，干净就行。', '短评打分': 5}
{'短评内容': '推荐~~特别是精英房，客人指定的，真的很精致，很漂亮....要是价格也能优惠点就好了', '短评打分': 5}
{'短评内容': '每次经理出差都要求预定这个酒店，虽然价格还是有点高，但是在东莞来说就差不多了...里面的装修还是蛮精致', '短评打分': 5}
{'短评内容': '环境不错，交通方便，房间卫生整洁，服务态度好，不过空调不是很凉', '短评打分': 5}
{'短评内容': '酒店装修很豪华，但电视机太落后了吧，早餐很不错很丰富，性价比还可以。', '短评打分': 5}
{'短评内容': '住过很多次了 蛮不错的 老板好像是台湾人', '短评打分': 5}
{'短评内容': '房间不错，性价比高。但酒店的自助餐性价比不高。', '短评打分': 5}
{'短评内容': '环境很好，服务也不错，是为我们的外国客人定的，他们说还不错。距离广东国际展览中心很近，对于在此参展的人来说很方便', '短评打分': 5}
{'短评内容': '酒店很豪华，很气派，新干净，设施也比较先进，早餐非常不错！', '短评打分': 5}
{'短评内容': '，感觉好旧', '短评打分': 3}
{'短评内容': '环境优美，价格合适，内部设施也相当好，值得推荐。', '短评打分': 5}
{'短评内容': '不错，环境优美，价格合理，内部设施也还不错。', '短评打分': 5}
{'短评内容': '还行 电视老了点  房间隔音一般 但是总体还是不错的', '短评打分': 5}
{'短评内容': '酒店地理位置很好，停车也很方便，中餐也很有特色！', '短评打分': 5}
{'短评内容': '酒店早餐也不错，住宿环境也很优雅，比附近所谓的国际连锁酒店那可以讲绝不会差', '短评打分': 5}
{'短评内容': '没感觉出特色,五星级酒店的电视居然还是平面直角,哎!', '短评打分': 5}
{'短评内容': '设施有些老旧，全密封的房间，感觉不太舒服，服务还可以', '短评打分': 3}
{'短评内容': '酒店大是够大，但房间窗户全部封闭，无法开窗换气，即使是出于安全考虑，也完全可以安装限位器达到目的。另外，服务员的服务水准等软件方面离国际级五星酒店尚有不少距离。其次，由于地理位置所限，周围环境实在一般。', '短评打分': 5}
{'短评内容': '豪华大气，房间干净，很大。只是早餐品种太少了。', '短评打分': 5}
{'短评内容': '酒店还可以，早餐不错，房间也很安静，服务态度也挺好的。', '短评打分': 3}
{'短评内容': '很豪华的酒店,一定是厚街数一数二的酒店了。设施新,服务好,特别是那张大床,又大又舒适。还会关注和支持。', '短评打分': 3}
{'短评内容': '每次去厚街参加展会都是住这家酒店，方便。', '短评打分': 5}
{'短评内容': '性价比比较高，服务比较热情，早餐很丰富。设施的话，按照10分制算的话，我打8.5分。', '短评打分': 5}
{'短评内容': 'The decoration seems old. The breakfast choices are limited.', '短评打分': 1}
{'短评内容': '酒店早餐非常的丰富，唯一缺陷是没有标识禁止吸烟', '短评打分': 5}
{'短评内容': '酒店不错，干净气派大，早餐丰盛。但地理位置不在镇中心，洗澡水太小。', '短评打分': 5}
{'短评内容': '酒店很好，早餐没有传说中的好，只能算是一般吧，品种不算多。再就是酒店里面不错，附近就很一般了，不是卖家具的就是做五金的，没啥逛的，下次试试国际去。', '短评打分': 5}
{'短评内容': '酒店的设施很全，有游泳池，健身房，服务很到位。早餐是超级的好。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比好！', '短评打分': 3}
{'短评内容': '酒店卫生很好，服务很不错，早餐吃的东西很多，下次来还住这里，嘻嘻', '短评打分': 5}
{'短评内容': '酒店非常棒，就是交通不太方便，打车很困难。', '短评打分': 5}
{'短评内容': '房间不错，很干净', '短评打分': 3}
{'短评内容': '环境很是不错，价格也公道，参加现代会展中心展会的主宰此地仅一步之遥，只是暂时前面在修路，影响了交通和美观', '短评打分': 5}
{'短评内容': '前台接待热情，房间整洁不错，入住人还是比较满意！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '前台招待处的服务员服务很热情，环境很好，住得很温馨，对我来说交通也算很方便，下次还会再选择这家酒店。', '短评打分': 5}
{'短评内容': '厚街众多五星酒店中性价比最好的酒店，酒店内中餐也非常不错！', '短评打分': 5}
{'短评内容': '住的副楼，虽然没主楼的好，但这个价格，这个位置，还是不错的选择了', '短评打分': 5}
{'短评内容': '每次客户都是住这个酒店，离我们公司很近，早餐也比较好', '短评打分': 5}
{'短评内容': '还不错！！！！！！！！！！！！！！！！!!!!!!!!!!', '短评打分': 5}
{'短评内容': '订的是高级大床房。这个价格是安排在旧楼，即A或B楼。我住在A座16楼。换了两次房间，改到15楼。原因是房间制冷不好。开到最大风速反而没风，用手探了探没有冷风吹出来反而是吸进去。开到最小风速才感到一点凉意。到深圳机场规定要用酒店车，300元。也可以叫外来车但都要议价就算了。除此之外酒店豪华壮观，简直就是一个小区。房间虽然是旧楼保养还是挺好的，上网也免费。就是淋浴间下水太慢，都淹到脚面了。还有注意摆在', '短评打分': 5}
{'短评内容': '老外非常满意，内部环境整洁！只是入住有点速度慢！', '短评打分': 5}
{'短评内容': '真是性价比超好的酒店，老外很喜欢！对面就是家具博览中心！', '短评打分': 5}
{'短评内容': '很好的酒店。舒适性很好\n下次再有机会来住。', '短评打分': 5}
{'短评内容': '帮客人订的，他说早餐非常好吃!!!!!!!', '短评打分': 5}
{'短评内容': '酒店宽敞大气，服务热情，下次还会入住。', '短评打分': 3}
{'短评内容': '酒店干净', '短评打分': 3}
{'短评内容': '还不错，早餐丰富，服务好，下次去应该还会住吧。', '短评打分': 5}
